"","lambda","mu","nu","q","seed","crown_age","cond","ess_likelihood","site_model","clock_model","tree_prior","best_or_gen","burn_in_fraction","sample_interval","tree"
"26",0.2,0.15,1.5,0.1,7,6,1,1001,"JC69","strict","birth_death","best",0.1,1000,"true"
"27",0.2,0.15,1.5,0.1,7,6,1,15,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"28",0.2,0.15,1.5,0.1,7,6,1,226,"JC69","strict","birth_death","best",0.1,1000,"twin"
"29",0.2,0.15,1.5,0.1,8,6,1,890,"JC69","strict","birth_death","gen",0.1,1000,"true"
"30",0.2,0.15,1.5,0.1,8,6,1,4,"JC69","strict","birth_death","best",0.1,1000,"true"
"31",0.2,0.15,1.5,0.1,8,6,1,804,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"32",0.2,0.15,1.5,0.1,8,6,1,7,"JC69","strict","yule","best",0.1,1000,"twin"
"33",0.2,0,2,0.1,9,6,1,787,"JC69","strict","birth_death","gen",0.1,1000,"true"
"34",0.2,0,2,0.1,9,6,1,224,"JC69","strict","birth_death","best",0.1,1000,"true"
"35",0.2,0,2,0.1,9,6,1,770,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"36",0.2,0,2,0.1,9,6,1,198,"JC69","strict","birth_death","best",0.1,1000,"twin"
"37",0.2,0,2,0.1,10,6,1,943,"JC69","strict","birth_death","gen",0.1,1000,"true"
"38",0.2,0,2,0.1,10,6,1,127,"JC69","strict","birth_death","best",0.1,1000,"true"
"39",0.2,0,2,0.1,10,6,1,14,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"40",0.2,0,2,0.1,10,6,1,874,"JC69","strict","birth_death","best",0.1,1000,"twin"
"41",0.2,0.15,2,0.1,11,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"42",0.2,0.15,2,0.1,11,6,1,1001,"JC69","strict","yule","best",0.1,1000,"true"
"43",0.2,0.15,2,0.1,11,6,1,44,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"44",0.2,0.15,2,0.1,11,6,1,103,"GTR","strict","birth_death","best",0.1,1000,"twin"
"45",0.2,0.15,2,0.1,12,6,1,9,"JC69","strict","birth_death","gen",0.1,1000,"true"
