"","lambda","mu","nu","q","crown_age","cond","seed","site_model","clock_model","tree_prior","marg_log_lik","marg_log_lik_sd","weight","gen_model"
"210",0.2,0.15,1.5,0.2,6,1,39,"GTR","strict","birth_death",-14923.2279349766,11.3981116389639,2.68127060112556e-27,"mbd"
"211",0.2,0.15,1.5,0.2,6,1,40,"JC69","strict","birth_death",-22698.6676330238,12.2931095027038,0.999991351288959,"bd"
"212",0.2,0.15,1.5,0.2,6,1,40,"JC69","strict","yule",-22710.3257246358,12.8811424976027,0.00000864871104019935,"bd"
"213",0.2,0.15,1.5,0.2,6,1,40,"GTR","strict","birth_death",-22733.3359541712,14.666033610149,8.78487674795215e-16,"bd"
"214",0.2,0.15,1.5,0.2,6,1,40,"JC69","strict","birth_death",-26998.3817591851,11.1843749424421,0.000000881664180030537,"mbd"
"215",0.2,0.15,1.5,0.2,6,1,40,"JC69","strict","yule",-26984.440305465,13.4044109826124,0.99999911833582,"mbd"
"216",0.2,0.15,1.5,0.2,6,1,40,"GTR","strict","birth_death",-27036.8549714119,12.8035246927508,1.72424678767106e-23,"mbd"
"217",0.2,0.15,2,0.1,6,1,11,"JC69","strict","birth_death",-8318.13982876597,0.459587051160563,0.0733559856940807,"bd"
"218",0.2,0.15,2,0.1,6,1,11,"JC69","strict","yule",-8317.96806761641,0.368134772668441,0.0871024711934851,"bd"
"219",0.2,0.15,2,0.1,6,1,11,"GTR","strict","birth_death",-8315.70229691095,0.387259909687583,0.839541543112434,"bd"
"220",0.2,0.15,2,0.1,6,1,11,"JC69","strict","birth_death",-8318.12520213414,0.445079610923185,0,"mbd"
"221",0.2,0.15,2,0.1,6,1,11,"JC69","strict","yule",-5197.20674417505,4.57161567559466,1,"mbd"
"222",0.2,0.15,2,0.1,6,1,11,"GTR","strict","birth_death",-8319.75630042741,0.377851085534292,0,"mbd"
"223",0.2,0.15,2,0.1,6,1,12,"JC69","strict","birth_death",-4018.25974791108,1.53051549721097,1.40504448449398e-44,"bd"
"224",0.2,0.15,2,0.1,6,1,12,"JC69","strict","yule",-4159.27973838471,0.437522509550162,8.00730504655303e-106,"bd"
"225",0.2,0.15,2,0.1,6,1,12,"GTR","strict","birth_death",-3917.28607278319,4.72044119675042,1,"bd"
"226",0.2,0.15,2,0.1,6,1,12,"JC69","strict","birth_death",-4159.23715575069,0.406952148696612,2.6026509811646e-231,"mbd"
"227",0.2,0.15,2,0.1,6,1,12,"JC69","strict","yule",-4159.20739923482,0.382767716097144,2.68126057995453e-231,"mbd"
"228",0.2,0.15,2,0.1,6,1,12,"GTR","strict","birth_death",-3628.29652980278,3.10574472307229,1,"mbd"
"229",0.2,0.15,2,0.15,6,1,27,"JC69","strict","birth_death",-19942.2357037328,14.0048231044446,0.000000126193181837743,"bd"
"230",0.2,0.15,2,0.15,6,1,27,"JC69","strict","yule",-19926.3505520816,11.6048234214335,0.99969978136309,"bd"
"231",0.2,0.15,2,0.15,6,1,27,"GTR","strict","birth_death",-19934.4616718029,13.7230617419978,0.000300092443728171,"bd"
"232",0.2,0.15,2,0.15,6,1,27,"JC69","strict","birth_death",-20366.3231495477,11.4733991718574,0.999999999999975,"mbd"
"233",0.2,0.15,2,0.15,6,1,27,"JC69","strict","yule",-20397.641659817,13.4320717284379,2.50347816914058e-14,"mbd"
"234",0.2,0.15,2,0.15,6,1,27,"GTR","strict","birth_death",-20407.4364625646,12.7370578959302,1.39545239050101e-18,"mbd"
"235",0.2,0.15,2,0.15,6,1,28,"JC69","strict","birth_death",-23567.3743550198,0.41672669586181,0,"bd"
"236",0.2,0.15,2,0.15,6,1,28,"JC69","strict","yule",-12591.6842427825,8.27512394349835,0.999999152294587,"bd"
"237",0.2,0.15,2,0.15,6,1,28,"GTR","strict","birth_death",-12605.6649745863,8.9223602576322,0.000000847705413234289,"bd"
"238",0.2,0.15,2,0.15,6,1,28,"JC69","strict","birth_death",-23567.3743550193,0.416726695767288,0,"mbd"
"239",0.2,0.15,2,0.15,6,1,28,"JC69","strict","yule",-13037.1057279757,7.68120956386204,0.999999999994646,"mbd"
"240",0.2,0.15,2,0.15,6,1,28,"GTR","strict","birth_death",-13063.0588973055,9.9077486690853,5.35404198089846e-12,"mbd"
"241",0.2,0.15,2,0.2,6,1,43,"JC69","strict","birth_death",-24953.685197749,0.399629000952072,0,"bd"
"242",0.2,0.15,2,0.2,6,1,43,"JC69","strict","yule",-13358.2754745284,9.20942328595893,1,"bd"
"243",0.2,0.15,2,0.2,6,1,43,"GTR","strict","birth_death",-13396.4950285683,10.1120246412844,2.52033679393453e-17,"bd"
"244",0.2,0.15,2,0.2,6,1,43,"JC69","strict","birth_death",-24953.6638947722,0.380984904764563,0,"mbd"
"245",0.2,0.15,2,0.2,6,1,43,"JC69","strict","yule",-13035.2577206543,7.59434368533376,1,"mbd"
"246",0.2,0.15,2,0.2,6,1,43,"GTR","strict","birth_death",-13076.3451540269,9.79538292027585,1.43203756571541e-18,"mbd"
"247",0.2,0.15,2,0.2,6,1,44,"JC69","strict","birth_death",-4727.70077325451,4.42016945293729,0.999988641513906,"bd"
"248",0.2,0.15,2,0.2,6,1,44,"JC69","strict","yule",-4739.0863073159,5.41735743830176,0.0000113584860938569,"bd"
"249",0.2,0.15,2,0.2,6,1,44,"GTR","strict","birth_death",-8315.19797664293,2.40788611444487,0,"bd"
"250",0.2,0.15,2,0.2,6,1,44,"JC69","strict","birth_death",-4824.89389129612,4.40995311579033,0.0443515525842566,"mbd"
"251",0.2,0.15,2,0.2,6,1,44,"JC69","strict","yule",-4821.82364889921,4.29629096504411,0.955648447412761,"mbd"
"252",0.2,0.15,2,0.2,6,1,44,"GTR","strict","birth_death",-4848.31668662418,7.46607462431665,2.98207159338821e-12,"mbd"
"253",0.2,0.15,2.5,0.1,6,1,15,"JC69","strict","birth_death",-3807.1297917343,4.81892987653762,0.999877541556706,"bd"
"254",0.2,0.15,2.5,0.1,6,1,15,"JC69","strict","yule",-5545.51276020909,0.426161943578005,0,"bd"
"255",0.2,0.15,2.5,0.1,6,1,15,"GTR","strict","birth_death",-3816.13740809231,5.73237940513724,0.000122458443294041,"bd"
"256",0.2,0.15,2.5,0.1,6,1,15,"JC69","strict","birth_death",-3675.97116157716,3.15809591113828,0.999916440396709,"mbd"
"257",0.2,0.15,2.5,0.1,6,1,15,"JC69","strict","yule",-5545.55106367785,0.483514466403612,0,"mbd"
"258",0.2,0.15,2.5,0.1,6,1,15,"GTR","strict","birth_death",-3685.36102838296,4.66468359360873,0.0000835596032905319,"mbd"
"259",0.2,0.15,2.5,0.1,6,1,16,"JC69","strict","birth_death",-3461.31962927127,3.86140796913012,0.0300637889577325,"bd"
"260",0.2,0.15,2.5,0.1,6,1,16,"JC69","strict","yule",-3457.84572038704,4.20162933624912,0.969936210637746,"bd"
"261",0.2,0.15,2.5,0.1,6,1,16,"GTR","strict","birth_death",-3479.44351155227,6.26028649953293,0.00000000040452153709647,"bd"
"262",0.2,0.15,2.5,0.1,6,1,16,"JC69","strict","birth_death",-3668.89875594095,4.48869139417254,0.0092591962792789,"mbd"
"263",0.2,0.15,2.5,0.1,6,1,16,"JC69","strict","yule",-3664.22592024106,3.42745609524465,0.990740803720721,"mbd"
"264",0.2,0.15,2.5,0.1,6,1,16,"GTR","strict","birth_death",-3702.77506550793,7.04457348011454,1.79588688259913e-17,"mbd"
"265",0.2,0.15,2.5,0.15,6,1,31,"JC69","strict","birth_death",-12798.1302600278,9.06282858039517,0.0124451403323212,"bd"
"266",0.2,0.15,2.5,0.15,6,1,31,"JC69","strict","yule",-12793.7563614451,8.27173037403776,0.987551645550286,"bd"
"267",0.2,0.15,2.5,0.15,6,1,31,"GTR","strict","birth_death",-12806.3917927267,9.43059445156875,0.0000032141173926534,"bd"
"268",0.2,0.15,2.5,0.15,6,1,31,"JC69","strict","birth_death",-13135.2489124953,8.28969425959525,0.00000416855716813498,"mbd"
"269",0.2,0.15,2.5,0.15,6,1,31,"JC69","strict","yule",-13122.860976079,7.30699232706114,0.999995831442819,"mbd"
"270",0.2,0.15,2.5,0.15,6,1,31,"GTR","strict","birth_death",-13154.851325834,9.80242204942139,1.27869161365374e-14,"mbd"
"271",0.2,0.15,2.5,0.15,6,1,32,"JC69","strict","birth_death",-18679.8768094736,10.7443406044763,0.99415168239199,"bd"
"272",0.2,0.15,2.5,0.15,6,1,32,"JC69","strict","yule",-18685.0125452621,11.1485059701396,0.00584831744990532,"bd"
"273",0.2,0.15,2.5,0.15,6,1,32,"GTR","strict","birth_death",-18702.4387057543,10.7517651547001,0.000000000158104996838926,"bd"
"274",0.2,0.15,2.5,0.15,6,1,32,"JC69","strict","birth_death",-17885.8071539419,12.1680467402875,0.0473846036852696,"mbd"
"275",0.2,0.15,2.5,0.15,6,1,32,"JC69","strict","yule",-17882.8063034812,10.9325405063857,0.952554973163111,"mbd"
"276",0.2,0.15,2.5,0.15,6,1,32,"GTR","strict","birth_death",-17892.4718342436,11.532581649096,0.0000604231516194931,"mbd"
"277",0.2,0.15,2.5,0.2,6,1,47,"JC69","strict","birth_death",-26491.4707860424,18.2933455366974,0.999999975081639,"bd"
"278",0.2,0.15,2.5,0.2,6,1,47,"JC69","strict","yule",-26508.9797723402,18.4526813769579,0.0000000248853559059837,"bd"
"279",0.2,0.15,2.5,0.2,6,1,47,"GTR","strict","birth_death",-26515.6051354962,20.7448149347673,3.30054149439544e-11,"bd"
"280",0.2,0.15,2.5,0.2,6,1,47,"JC69","strict","birth_death",-29975.8544124583,19.059615949961,7.5526800253014e-37,"mbd"
"281",0.2,0.15,2.5,0.2,6,1,47,"JC69","strict","yule",-29892.680666488,17.1035262352185,1,"mbd"
"282",0.2,0.15,2.5,0.2,6,1,47,"GTR","strict","birth_death",-29997.2407272259,20.3983809774193,3.89172903099395e-46,"mbd"
"283",0.2,0.15,2.5,0.2,6,1,48,"JC69","strict","birth_death",-36896.9603782055,20.5178198639985,0.999999785939878,"bd"
"284",0.2,0.15,2.5,0.2,6,1,48,"JC69","strict","yule",-36912.3173966448,16.4005118134265,0.000000214058037951739,"bd"
"285",0.2,0.15,2.5,0.2,6,1,48,"GTR","strict","birth_death",-36923.857064102,20.4113979156488,2.08409561920832e-12,"bd"
"286",0.2,0.15,2.5,0.2,6,1,48,"JC69","strict","birth_death",-43270.6328174512,17.7757908176532,0.000000546563801655598,"mbd"
"287",0.2,0.15,2.5,0.2,6,1,48,"JC69","strict","yule",-43256.2132032076,19.4259671730993,0.999999453436198,"mbd"
"288",0.2,0.15,2.5,0.2,6,1,48,"GTR","strict","birth_death",-43294.908708321,20.7361557880451,1.56586896786371e-17,"mbd"
