"","lambda","mu","nu","q","crown_age","cond","seed","site_model","clock_model","tree_prior","marg_log_lik","marg_log_lik_sd","weight","gen_model"
"60",0.2,0,1.5,0.15,6,1,22,"GTR","strict","birth_death",-35512.4223914508,19.4724844750202,2.08517099372108e-21,"mbd"
"61",0.2,0,1.5,0.2,6,1,37,"JC69","strict","birth_death",-11587.0203230202,6.92927030310817,0.999926956806038,"bd"
"62",0.2,0,1.5,0.2,6,1,37,"JC69","strict","yule",-11596.5447112004,7.30782861107164,0.0000730430747290395,"bd"
"63",0.2,0,1.5,0.2,6,1,37,"GTR","strict","birth_death",-11609.8701942331,8.48284503947852,0.000000000119232677494632,"bd"
"64",0.2,0,1.5,0.2,6,1,37,"JC69","strict","birth_death",-11218.7470707063,7.75341200043759,4.01247905216842e-11,"mbd"
"65",0.2,0,1.5,0.2,6,1,37,"JC69","strict","yule",-11194.8080439512,5.84852429289592,0.999999999959875,"mbd"
"66",0.2,0,1.5,0.2,6,1,37,"GTR","strict","birth_death",-11241.7776332397,9.04014912783033,3.99361830879153e-21,"mbd"
"67",0.2,0,1.5,0.2,6,1,38,"JC69","strict","birth_death",-9980.14942260049,9.63173177429896,0.999745672960998,"bd"
"68",0.2,0,1.5,0.2,6,1,38,"JC69","strict","yule",-9988.42605780511,8.43056402500511,0.000254327039001666,"bd"
"69",0.2,0,1.5,0.2,6,1,38,"GTR","strict","birth_death",-10036.1980525092,11.5192971082024,4.55280286117893e-25,"bd"
"70",0.2,0,1.5,0.2,6,1,38,"JC69","strict","birth_death",-10139.5687282118,9.40136121704402,0.999999573960952,"mbd"
"71",0.2,0,1.5,0.2,6,1,38,"JC69","strict","yule",-10154.2374626473,9.18615283447753,0.000000426039035813709,"mbd"
"72",0.2,0,1.5,0.2,6,1,38,"GTR","strict","birth_death",-10171.6377189486,9.67342857260979,1.18199080420622e-14,"mbd"
"73",0.2,0,2,0.1,6,1,10,"JC69","strict","birth_death",-11434.6382487455,6.9317152287948,0.918855147579782,"bd"
"74",0.2,0,2,0.1,6,1,10,"JC69","strict","yule",-11437.0651413768,7.36678290037716,0.0811448524193558,"bd"
"75",0.2,0,2,0.1,6,1,10,"GTR","strict","birth_death",-11462.3326014193,9.01896998735788,8.62467038988056e-13,"bd"
