"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0.1/1","JC69","strict","birth_death","twin",-1648.90635313079,2.34914599612678,1.407038907219e-15,3.93136260950458
"2","data/0.2-0-0-0.1/1","JC69","strict","yule","twin",-1614.70906416624,2.65431766294316,0.999999999999999,3.46139245171952
"3","data/0.2-0-0-0.1/1","HKY","strict","yule","twin",-2079.1603224697,0.339095611225451,1.9560565482298e-202,4.4349503744582
"4","data/0.2-0-0-0.1/1","HKY","strict","birth_death","twin",-2080.47176533664,0.745562664974102,5.27022316202789e-203,6.04145463336476
"5","data/0.2-0-0-0.1/1","JC69","strict","birth_death","true",-1505.9707424912,3.17095585615438,1.21254932983013e-18,3.67530053327848
"6","data/0.2-0-0-0.1/1","JC69","strict","yule","true",-1464.7169358447,4.09643582508916,1,2.9563642018064
"7","data/0.2-0-0-0.1/1","HKY","strict","yule","true",-2077.31194480651,0.175987290955354,8.98189484775064e-267,3.53212078942957
"8","data/0.2-0-0-0.1/1","HKY","strict","birth_death","true",-2078.59359375625,0.294408930317493,2.49318726455717e-267,4.42598798867405
"9","data/0.2-0-0-0.1/2","JC69","strict","birth_death","twin",-1386.29436145132,2.740791687698e-06,0.28494622046498,2.78060551763794
"10","data/0.2-0-0-0.1/2","JC69","strict","yule","twin",-1386.29436157529,3.39152590001815e-06,0.284946185140383,2.74102525049593
"11","data/0.2-0-0-0.1/2","HKY","strict","yule","twin",-1386.57726498412,0.0946988274372511,0.21473332931904,3.2408431094992
"12","data/0.2-0-0-0.1/2","HKY","strict","birth_death","twin",-1386.57428463112,0.0662203765978243,0.215374265075597,3.00445002767606
"13","data/0.2-0-0-0.1/2","JC69","strict","birth_death","true",-1386.29436145132,2.740791687698e-06,0.28494622046498,2.78060551763794
"14","data/0.2-0-0-0.1/2","JC69","strict","yule","true",-1386.29436157529,3.39152590001815e-06,0.284946185140383,2.74102525049593
"15","data/0.2-0-0-0.1/2","HKY","strict","yule","true",-1386.57726498412,0.0946988274372511,0.21473332931904,3.2408431094992
"16","data/0.2-0-0-0.1/2","HKY","strict","birth_death","true",-1386.57428463112,0.0662203765978243,0.215374265075597,3.00445002767606
"17","data/0.2-0-0-0.15/17","JC69","strict","birth_death","twin",-1386.29436280904,1.36124688187992e-05,0.336718601655843,2.86006448525793
"18","data/0.2-0-0-0.15/17","JC69","strict","yule","twin",-1386.29436120794,3.9656465398229e-07,0.33671914077656,2.79830650887727
"19","data/0.2-0-0-0.15/17","HKY","strict","yule","twin",-1386.36822939044,0.226587262190712,0.312742757065143,3.80251698116463
"20","data/0.2-0-0-0.15/17","HKY","strict","birth_death","twin",-1389.48752970606,1.60657202734146,0.0138195005024541,5.20994214477495
