"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-0-0.1/1",901,"true","gen"
"2","data/0.2-0-0-0.1/1",742,"true","best"
"3","data/0.2-0-0-0.1/1",788,"twin","gen"
"4","data/0.2-0-0-0.1/1",117,"twin","best"
"5","data/0.2-0-0-0.1/2",2,"true","gen"
"6","data/0.2-0-0-0.1/2",2,"true","best"
"7","data/0.2-0-0-0.1/2",2,"twin","gen"
"8","data/0.2-0-0-0.1/2",2,"twin","best"
"9","data/0.2-0-0-0.15/17",901,"true","gen"
"10","data/0.2-0-0-0.15/17",901,"true","best"
"11","data/0.2-0-0-0.15/17",901,"twin","gen"
"12","data/0.2-0-0-0.15/17",901,"twin","best"
"13","data/0.2-0-0-0.15/18",901,"true","gen"
"14","data/0.2-0-0-0.15/18",105,"true","best"
"15","data/0.2-0-0-0.15/18",823,"twin","gen"
"16","data/0.2-0-0-0.15/18",130,"twin","best"
"17","data/0.2-0-0-0.2/33",839,"true","gen"
"18","data/0.2-0-0-0.2/33",139,"true","best"
"19","data/0.2-0-0-0.2/33",722,"twin","gen"
"20","data/0.2-0-0-0.2/33",105,"twin","best"
"21","data/0.2-0-0-0.2/34",831,"true","gen"
"22","data/0.2-0-0-0.2/34",90,"true","best"
"23","data/0.2-0-0-0.2/34",826,"twin","gen"
"24","data/0.2-0-0-0.2/34",901,"twin","best"
"25","data/0.2-0-0.5-0.1/5",783,"true","gen"
"26","data/0.2-0-0.5-0.1/5",74,"true","best"
"27","data/0.2-0-0.5-0.1/5",901,"twin","gen"
"28","data/0.2-0-0.5-0.1/5",96,"twin","best"
"29","data/0.2-0-0.5-0.1/6",703,"true","gen"
"30","data/0.2-0-0.5-0.1/6",857,"true","best"
"31","data/0.2-0-0.5-0.1/6",685,"twin","gen"
"32","data/0.2-0-0.5-0.1/6",901,"twin","best"
"33","data/0.2-0-0.5-0.15/21",618,"true","gen"
"34","data/0.2-0-0.5-0.15/21",140,"true","best"
"35","data/0.2-0-0.5-0.15/21",857,"twin","gen"
"36","data/0.2-0-0.5-0.15/21",83,"twin","best"
"37","data/0.2-0-0.5-0.15/22",901,"true","gen"
"38","data/0.2-0-0.5-0.15/22",901,"true","best"
"39","data/0.2-0-0.5-0.15/22",765,"twin","gen"
"40","data/0.2-0-0.5-0.15/22",901,"twin","best"
"41","data/0.2-0-0.5-0.2/37",901,"true","gen"
"42","data/0.2-0-0.5-0.2/37",838,"true","best"
"43","data/0.2-0-0.5-0.2/37",745,"twin","gen"
"44","data/0.2-0-0.5-0.2/37",835,"twin","best"
"45","data/0.2-0-0.5-0.2/38",807,"true","gen"
"46","data/0.2-0-0.5-0.2/38",136,"true","best"
"47","data/0.2-0-0.5-0.2/38",901,"twin","gen"
"48","data/0.2-0-0.5-0.2/38",132,"twin","best"
"49","data/0.2-0-1-0.1/10",641,"true","gen"
"50","data/0.2-0-1-0.1/10",901,"true","best"
"51","data/0.2-0-1-0.1/10",666,"twin","gen"
"52","data/0.2-0-1-0.1/10",73,"twin","best"
"53","data/0.2-0-1-0.1/9",901,"true","gen"
"54","data/0.2-0-1-0.1/9",901,"true","best"
"55","data/0.2-0-1-0.1/9",865,"twin","gen"
"56","data/0.2-0-1-0.1/9",77,"twin","best"
"57","data/0.2-0-1-0.15/25",901,"true","gen"
"58","data/0.2-0-1-0.15/25",94,"true","best"
"59","data/0.2-0-1-0.15/25",901,"twin","gen"
"60","data/0.2-0-1-0.15/25",94,"twin","best"
"61","data/0.2-0-1-0.15/26",901,"true","gen"
"62","data/0.2-0-1-0.15/26",901,"true","best"
"63","data/0.2-0-1-0.15/26",785,"twin","gen"
"64","data/0.2-0-1-0.15/26",859,"twin","best"
"65","data/0.2-0-1-0.2/41",901,"true","gen"
"66","data/0.2-0-1-0.2/41",89,"true","best"
"67","data/0.2-0-1-0.2/41",901,"twin","gen"
"68","data/0.2-0-1-0.2/41",703,"twin","best"
"69","data/0.2-0-1-0.2/42",877,"true","gen"
"70","data/0.2-0-1-0.2/42",732,"true","best"
"71","data/0.2-0-1-0.2/42",740,"twin","gen"
"72","data/0.2-0-1-0.2/42",789,"twin","best"
"73","data/0.2-0-2-0.1/13",901,"true","gen"
"74","data/0.2-0-2-0.1/13",821,"true","best"
"75","data/0.2-0-2-0.1/13",901,"twin","gen"
"76","data/0.2-0-2-0.1/13",901,"twin","best"
"77","data/0.2-0-2-0.1/14",901,"true","gen"
"78","data/0.2-0-2-0.1/14",768,"true","best"
"79","data/0.2-0-2-0.1/14",683,"twin","gen"
"80","data/0.2-0-2-0.1/14",692,"twin","best"
"81","data/0.2-0-2-0.15/29",901,"true","gen"
"82","data/0.2-0-2-0.15/29",107,"true","best"
"83","data/0.2-0-2-0.15/29",854,"twin","gen"
"84","data/0.2-0-2-0.15/29",901,"twin","best"
"85","data/0.2-0-2-0.15/30",901,"true","gen"
"86","data/0.2-0-2-0.15/30",849,"true","best"
"87","data/0.2-0-2-0.15/30",900,"twin","gen"
"88","data/0.2-0-2-0.15/30",167,"twin","best"
"89","data/0.2-0-2-0.2/45",901,"true","gen"
"90","data/0.2-0-2-0.2/45",880,"true","best"
"91","data/0.2-0-2-0.2/45",862,"twin","gen"
"92","data/0.2-0-2-0.2/45",901,"twin","best"
"93","data/0.2-0-2-0.2/46",901,"true","gen"
"94","data/0.2-0-2-0.2/46",867,"true","best"
"95","data/0.2-0-2-0.2/46",689,"twin","gen"
"96","data/0.2-0-2-0.2/46",878,"twin","best"
"97","data/0.2-0.15-0-0.1/3",901,"true","gen"
"98","data/0.2-0.15-0-0.1/3",901,"true","best"
"99","data/0.2-0.15-0-0.1/3",901,"twin","gen"
"100","data/0.2-0.15-0-0.1/3",901,"twin","best"
"101","data/0.2-0.15-0-0.1/4",621,"true","gen"
"102","data/0.2-0.15-0-0.1/4",130,"true","best"
"103","data/0.2-0.15-0-0.1/4",901,"twin","gen"
"104","data/0.2-0.15-0-0.1/4",852,"twin","best"
"105","data/0.2-0.15-0-0.15/19",2,"true","gen"
"106","data/0.2-0.15-0-0.15/19",2,"true","best"
"107","data/0.2-0.15-0-0.15/19",2,"twin","gen"
"108","data/0.2-0.15-0-0.15/19",2,"twin","best"
"109","data/0.2-0.15-0-0.15/20",901,"true","gen"
"110","data/0.2-0.15-0-0.15/20",901,"true","best"
"111","data/0.2-0.15-0-0.15/20",822,"twin","gen"
"112","data/0.2-0.15-0-0.15/20",901,"twin","best"
"113","data/0.2-0.15-0-0.2/35",828,"true","gen"
"114","data/0.2-0.15-0-0.2/35",901,"true","best"
"115","data/0.2-0.15-0-0.2/35",684,"twin","gen"
"116","data/0.2-0.15-0-0.2/35",100,"twin","best"
"117","data/0.2-0.15-0-0.2/36",854,"true","gen"
"118","data/0.2-0.15-0-0.2/36",162,"true","best"
"119","data/0.2-0.15-0-0.2/36",848,"twin","gen"
"120","data/0.2-0.15-0-0.2/36",901,"twin","best"
"121","data/0.2-0.15-0.5-0.1/7",801,"true","gen"
"122","data/0.2-0.15-0.5-0.1/7",119,"true","best"
"123","data/0.2-0.15-0.5-0.1/7",901,"twin","gen"
"124","data/0.2-0.15-0.5-0.1/7",295,"twin","best"
"125","data/0.2-0.15-0.5-0.1/8",901,"true","gen"
"126","data/0.2-0.15-0.5-0.1/8",901,"true","best"
"127","data/0.2-0.15-0.5-0.1/8",820,"twin","gen"
"128","data/0.2-0.15-0.5-0.1/8",901,"twin","best"
"129","data/0.2-0.15-0.5-0.15/23",2,"true","gen"
"130","data/0.2-0.15-0.5-0.15/23",112,"true","best"
"131","data/0.2-0.15-0.5-0.15/23",2,"twin","gen"
"132","data/0.2-0.15-0.5-0.15/23",112,"twin","best"
"133","data/0.2-0.15-0.5-0.15/24",2,"true","gen"
"134","data/0.2-0.15-0.5-0.15/24",127,"true","best"
"135","data/0.2-0.15-0.5-0.15/24",2,"twin","gen"
"136","data/0.2-0.15-0.5-0.15/24",901,"twin","best"
"137","data/0.2-0.15-0.5-0.2/39",901,"true","gen"
"138","data/0.2-0.15-0.5-0.2/39",901,"true","best"
"139","data/0.2-0.15-0.5-0.2/39",901,"twin","gen"
"140","data/0.2-0.15-0.5-0.2/39",164,"twin","best"
"141","data/0.2-0.15-0.5-0.2/40",901,"true","gen"
"142","data/0.2-0.15-0.5-0.2/40",79,"true","best"
"143","data/0.2-0.15-0.5-0.2/40",873,"twin","gen"
"144","data/0.2-0.15-0.5-0.2/40",901,"twin","best"
"145","data/0.2-0.15-1-0.1/11",786,"true","gen"
"146","data/0.2-0.15-1-0.1/11",121,"true","best"
"147","data/0.2-0.15-1-0.1/11",901,"twin","gen"
"148","data/0.2-0.15-1-0.1/11",901,"twin","best"
"149","data/0.2-0.15-1-0.1/12",901,"true","gen"
"150","data/0.2-0.15-1-0.1/12",95,"true","best"
"151","data/0.2-0.15-1-0.1/12",901,"twin","gen"
"152","data/0.2-0.15-1-0.1/12",95,"twin","best"
"153","data/0.2-0.15-1-0.15/27",811,"true","gen"
"154","data/0.2-0.15-1-0.15/27",901,"true","best"
"155","data/0.2-0.15-1-0.15/27",901,"twin","gen"
"156","data/0.2-0.15-1-0.15/27",108,"twin","best"
"157","data/0.2-0.15-1-0.15/28",591,"true","gen"
"158","data/0.2-0.15-1-0.15/28",83,"true","best"
"159","data/0.2-0.15-1-0.15/28",901,"twin","gen"
"160","data/0.2-0.15-1-0.15/28",901,"twin","best"
"161","data/0.2-0.15-1-0.2/43",901,"true","gen"
"162","data/0.2-0.15-1-0.2/43",872,"true","best"
"163","data/0.2-0.15-1-0.2/43",901,"twin","gen"
"164","data/0.2-0.15-1-0.2/43",759,"twin","best"
"165","data/0.2-0.15-1-0.2/44",726,"true","gen"
"166","data/0.2-0.15-1-0.2/44",120,"true","best"
"167","data/0.2-0.15-1-0.2/44",726,"twin","gen"
"168","data/0.2-0.15-1-0.2/44",120,"twin","best"
"169","data/0.2-0.15-2-0.1/15",901,"true","gen"
"170","data/0.2-0.15-2-0.1/15",99,"true","best"
"171","data/0.2-0.15-2-0.1/15",901,"twin","gen"
"172","data/0.2-0.15-2-0.1/15",99,"twin","best"
"173","data/0.2-0.15-2-0.1/16",569,"true","gen"
"174","data/0.2-0.15-2-0.1/16",200,"true","best"
"175","data/0.2-0.15-2-0.1/16",770,"twin","gen"
"176","data/0.2-0.15-2-0.1/16",701,"twin","best"
"177","data/0.2-0.15-2-0.15/31",901,"true","gen"
"178","data/0.2-0.15-2-0.15/31",738,"true","best"
"179","data/0.2-0.15-2-0.15/31",726,"twin","gen"
"180","data/0.2-0.15-2-0.15/31",277,"twin","best"
"181","data/0.2-0.15-2-0.15/32",901,"true","gen"
"182","data/0.2-0.15-2-0.15/32",256,"true","best"
"183","data/0.2-0.15-2-0.15/32",854,"twin","gen"
"184","data/0.2-0.15-2-0.15/32",901,"twin","best"
"185","data/0.2-0.15-2-0.2/47",828,"true","gen"
"186","data/0.2-0.15-2-0.2/47",901,"true","best"
"187","data/0.2-0.15-2-0.2/47",586,"twin","gen"
"188","data/0.2-0.15-2-0.2/47",302,"twin","best"
"189","data/0.2-0.15-2-0.2/48",771,"true","gen"
"190","data/0.2-0.15-2-0.2/48",901,"true","best"
"191","data/0.2-0.15-2-0.2/48",901,"twin","gen"
"192","data/0.2-0.15-2-0.2/48",886,"twin","best"
