"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0.1/1","JC69","strict","birth_death","twin",-1945.14881411674,4.22602832920301,0.0019083551104308,4.425471205922
"2","data/0.2-0-0-0.1/1","JC69","strict","yule","twin",-2000.68393370708,1.84316511181023,1.45232295693248e-27,4.05027154752396
"3","data/0.2-0-0-0.1/1","HKY","strict","yule","twin",-2012.70917229435,3.22351988392855,8.70098540768172e-33,9.43057464409638
"4","data/0.2-0-0-0.1/1","HKY","strict","birth_death","twin",-1938.88921068838,2.6246802959875,0.998091644889569,5.41644450327102
"5","data/0.2-0-0-0.1/1","JC69","strict","birth_death","true",-1846.86213918033,3.39103304055689,0.0381489374550206,3.01737206465332
"6","data/0.2-0-0-0.1/1","JC69","strict","yule","true",-1843.67043519677,2.1389735898939,0.928157918524184,2.93742069992441
"7","data/0.2-0-0-0.1/1","HKY","strict","yule","true",-2079.89648272697,0.567813663883438,2.37658280170946e-103,5.35361304960921
"8","data/0.2-0-0-0.1/1","HKY","strict","birth_death","true",-1846.98634271076,2.5988263813165,0.0336931440207957,5.21100449053322
"9","data/0.2-0-0-0.1/2","JC69","strict","birth_death","twin",-1386.29436123009,5.75241670354668e-07,0.294009439612707,2.79275860738308
"10","data/0.2-0-0-0.1/2","JC69","strict","yule","twin",-1386.29436131587,1.03376897311549e-06,0.294009414392005,2.80792802173478
"11","data/0.2-0-0-0.1/2","HKY","strict","yule","twin",-1386.64005829408,0.0855267581880371,0.208078374738724,3.12122588794394
"12","data/0.2-0-0-0.1/2","HKY","strict","birth_death","twin",-1386.66032983569,0.0903024420682984,0.203902771256564,3.0061909043812
"13","data/0.2-0-0-0.1/2","JC69","strict","birth_death","true",-1386.29436123009,5.75241670354668e-07,0.294009439612707,2.79275860738308
"14","data/0.2-0-0-0.1/2","JC69","strict","yule","true",-1386.29436131587,1.03376897311549e-06,0.294009414392005,2.80792802173478
"15","data/0.2-0-0-0.1/2","HKY","strict","yule","true",-1386.64005829408,0.0855267581880371,0.208078374738724,3.12122588794394
"16","data/0.2-0-0-0.1/2","HKY","strict","birth_death","true",-1386.66032983569,0.0903024420682984,0.203902771256564,3.0061909043812
"17","data/0.2-0-0-0.15/17","JC69","strict","birth_death","twin",-1386.29436255548,1.18141706175493e-05,0.336243162823798,2.94171034435442
"18","data/0.2-0-0-0.15/17","JC69","strict","yule","twin",-1386.29436121535,3.99859491452908e-07,0.336243613432956,2.795312982825
"19","data/0.2-0-0-0.15/17","HKY","strict","yule","twin",-1386.38883643245,0.216403220636262,0.305931346866461,3.85187288285868
"20","data/0.2-0-0-0.15/17","HKY","strict","birth_death","twin",-1389.04034322356,1.47109673110059,0.0215818768767854,4.84270108273732
"21","data/0.2-0-0-0.15/17","JC69","strict","birth_death","true",-1386.29436255548,1.18141706175493e-05,0.336243162823798,2.94171034435442
"22","data/0.2-0-0-0.15/17","JC69","strict","yule","true",-1386.29436121535,3.99859491452908e-07,0.336243613432956,2.795312982825
"23","data/0.2-0-0-0.15/17","HKY","strict","yule","true",-1386.38883643245,0.216403220636262,0.305931346866461,3.85187288285868
"24","data/0.2-0-0-0.15/17","HKY","strict","birth_death","true",-1389.04034322356,1.47109673110059,0.0215818768767854,4.84270108273732
"25","data/0.2-0-0-0.15/18","JC69","strict","birth_death","twin",-2027.76022309035,1.83063876892081,1.15689639537987e-26,3.66527023703929
