"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",3
"2","data/0.2-0-0-0.1/2",2
"3","data/0.2-0-0-0.15/17",2
"4","data/0.2-0-0-0.15/18",3
"5","data/0.2-0-0-0.2/33",3
"6","data/0.2-0-0-0.2/34",2
"7","data/0.2-0-0.5-0.1/5",3
"8","data/0.2-0-0.5-0.1/6",8
"9","data/0.2-0-0.5-0.15/21",3
"10","data/0.2-0-0.5-0.15/22",8
"11","data/0.2-0-0.5-0.2/37",9
"12","data/0.2-0-0.5-0.2/38",3
"13","data/0.2-0-1-0.1/10",3
"14","data/0.2-0-1-0.1/9",3
"15","data/0.2-0-1-0.15/25",2
"16","data/0.2-0-1-0.15/26",3
"17","data/0.2-0-1-0.2/41",5
"18","data/0.2-0-1-0.2/42",18
"19","data/0.2-0-2-0.1/13",7
"20","data/0.2-0-2-0.1/14",19
"21","data/0.2-0-2-0.15/29",7
"22","data/0.2-0-2-0.15/30",3
"23","data/0.2-0-2-0.2/45",4
"24","data/0.2-0-2-0.2/46",10
"25","data/0.2-0.15-0-0.1/3",3
"26","data/0.2-0.15-0-0.1/4",5
"27","data/0.2-0.15-0-0.15/19",2
"28","data/0.2-0.15-0-0.15/20",4
"29","data/0.2-0.15-0-0.2/35",3
"30","data/0.2-0.15-0-0.2/36",7
"31","data/0.2-0.15-0.5-0.1/7",8
"32","data/0.2-0.15-0.5-0.1/8",3
"33","data/0.2-0.15-0.5-0.15/23",2
"34","data/0.2-0.15-0.5-0.15/24",2
"35","data/0.2-0.15-0.5-0.2/39",4
"36","data/0.2-0.15-0.5-0.2/40",5
"37","data/0.2-0.15-1-0.1/11",3
"38","data/0.2-0.15-1-0.1/12",2
"39","data/0.2-0.15-1-0.15/27",8
"40","data/0.2-0.15-1-0.15/28",2
"41","data/0.2-0.15-1-0.2/43",2
"42","data/0.2-0.15-1-0.2/44",2
"43","data/0.2-0.15-2-0.1/15",2
"44","data/0.2-0.15-2-0.1/16",4
"45","data/0.2-0.15-2-0.15/31",9
"46","data/0.2-0.15-2-0.15/32",8
"47","data/0.2-0.15-2-0.2/47",15
"48","data/0.2-0.15-2-0.2/48",3
