"","folder","n_taxa"
"1","data/0.2-0-0-0/1",9
"2","data/0.2-0-0-0/2",4
"3","data/0.2-0-0.5-0.1/5",9
"4","data/0.2-0-0.5-0.1/6",42
"5","data/0.2-0-0.5-0.15/17",16
"6","data/0.2-0-0.5-0.15/18",7
"7","data/0.2-0-0.5-0.2/29",8
"8","data/0.2-0-0.5-0.2/30",3
"9","data/0.2-0-1-0.1/10",17
"10","data/0.2-0-1-0.1/9",12
"11","data/0.2-0-1-0.15/21",23
"12","data/0.2-0-1-0.15/22",47
"13","data/0.2-0-1-0.2/33",34
"14","data/0.2-0-1-0.2/34",28
"15","data/0.2-0-1.5-0.1/13",22
"16","data/0.2-0-1.5-0.1/14",49
"17","data/0.2-0-1.5-0.15/25",6
"18","data/0.2-0-1.5-0.15/26",44
"19","data/0.2-0-1.5-0.2/37",37
"20","data/0.2-0-1.5-0.2/38",33
"21","data/0.2-0.1-0-0/3",14
"22","data/0.2-0.1-0-0/4",14
"23","data/0.2-0.1-0.5-0.1/7",4
"24","data/0.2-0.1-0.5-0.1/8",5
"25","data/0.2-0.1-0.5-0.15/19",38
"26","data/0.2-0.1-0.5-0.15/20",30
"27","data/0.2-0.1-0.5-0.2/31",15
"28","data/0.2-0.1-0.5-0.2/32",8
"29","data/0.2-0.1-1-0.1/11",13
"30","data/0.2-0.1-1-0.1/12",23
"31","data/0.2-0.1-1-0.15/23",9
"32","data/0.2-0.1-1-0.15/24",21
"33","data/0.2-0.1-1-0.2/35",10
"34","data/0.2-0.1-1-0.2/36",34
"35","data/0.2-0.1-1.5-0.1/15",22
"36","data/0.2-0.1-1.5-0.1/16",17
"37","data/0.2-0.1-1.5-0.15/27",112
"38","data/0.2-0.1-1.5-0.15/28",18
"39","data/0.2-0.1-1.5-0.2/39",32
"40","data/0.2-0.1-1.5-0.2/40",76
