"","folder","n_mb_species","f_mb_species"
"1","data/0.2-0-0-0/1",0,0
"2","data/0.2-0-0-0/2",0,0
"3","data/0.2-0-0.5-0.1/5",0,0
"4","data/0.2-0-0.5-0.1/6",7,0.166666666666667
"5","data/0.2-0-0.5-0.15/17",2,0.125
"6","data/0.2-0-0.5-0.15/18",0,0
"7","data/0.2-0-0.5-0.2/29",2,0.25
"8","data/0.2-0-0.5-0.2/30",0,0
"9","data/0.2-0-1-0.1/10",2,0.117647058823529
"10","data/0.2-0-1-0.1/9",2,0.166666666666667
"11","data/0.2-0-1-0.15/21",2,0.0869565217391304
"12","data/0.2-0-1-0.15/22",13,0.276595744680851
"13","data/0.2-0-1-0.2/33",9,0.264705882352941
"14","data/0.2-0-1-0.2/34",15,0.535714285714286
"15","data/0.2-0-1.5-0.1/13",2,0.0909090909090909
"16","data/0.2-0-1.5-0.1/14",16,0.326530612244898
"17","data/0.2-0-1.5-0.15/25",0,0
"18","data/0.2-0-1.5-0.15/26",26,0.590909090909091
"19","data/0.2-0-1.5-0.2/37",20,0.540540540540541
"20","data/0.2-0-1.5-0.2/38",10,0.303030303030303
"21","data/0.2-0.1-0-0/3",0,0
"22","data/0.2-0.1-0-0/4",0,0
"23","data/0.2-0.1-0.5-0.1/7",0,0
"24","data/0.2-0.1-0.5-0.1/8",0,0
"25","data/0.2-0.1-0.5-0.15/19",0,0
"26","data/0.2-0.1-0.5-0.15/20",11,0.366666666666667
"27","data/0.2-0.1-0.5-0.2/31",2,0.133333333333333
"28","data/0.2-0.1-0.5-0.2/32",2,0.25
"29","data/0.2-0.1-1-0.1/11",0,0
"30","data/0.2-0.1-1-0.1/12",4,0.173913043478261
"31","data/0.2-0.1-1-0.15/23",0,0
"32","data/0.2-0.1-1-0.15/24",0,0
"33","data/0.2-0.1-1-0.2/35",0,0
"34","data/0.2-0.1-1-0.2/36",9,0.264705882352941
"35","data/0.2-0.1-1.5-0.1/15",2,0.0909090909090909
"36","data/0.2-0.1-1.5-0.1/16",4,0.235294117647059
"37","data/0.2-0.1-1.5-0.15/27",64,0.571428571428571
"38","data/0.2-0.1-1.5-0.15/28",4,0.222222222222222
"39","data/0.2-0.1-1.5-0.2/39",19,0.59375
"40","data/0.2-0.1-1.5-0.2/40",37,0.486842105263158
