"","log_filename","param_filename","status","lowest_ess","gen_model_ess","lambda","mu","nu","q","crown_age"
"1","/home/richel/data/razzo_project_20190808/run_r_cmd_7089623.log","/home/richel/data/razzo_project_20190808/data/0.2-0-1.5-0.2/37/parameters.RDa","COMPLETED",NA,NA,0.2,0,1.5,0.2,6
"2","/home/richel/data/razzo_project_20190808/run_r_cmd_7089624.log","/home/richel/data/razzo_project_20190808/data/0.2-0-1.5-0.2/38/parameters.RDa","COMPLETED",NA,NA,0.2,0,1.5,0.2,6
"3","/home/richel/data/razzo_project_20190808/run_r_cmd_7089625.log","/home/richel/data/razzo_project_20190808/data/0.2-0-2-0.2/42/parameters.RDa","COMPLETED",NA,NA,0.2,0,2,0.2,6
"4","/home/richel/data/razzo_project_20190808/run_r_cmd_7089626.log","/home/richel/data/razzo_project_20190808/data/0.2-0-2-0.2/41/parameters.RDa","COMPLETED",NA,NA,0.2,0,2,0.2,6
"5","/home/richel/data/razzo_project_20190808/run_r_cmd_7089627.log","/home/richel/data/razzo_project_20190808/data/0.2-0-2-0.1/10/parameters.RDa","COMPLETED",NA,NA,0.2,0,2,0.1,6
"6","/home/richel/data/razzo_project_20190808/run_r_cmd_7089628.log","/home/richel/data/razzo_project_20190808/data/0.2-0-2-0.1/9/parameters.RDa","COMPLETED",NA,NA,0.2,0,2,0.1,6
"7","/home/richel/data/razzo_project_20190808/run_r_cmd_7089629.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-2-0.2/44/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,2,0.2,6
"8","/home/richel/data/razzo_project_20190808/run_r_cmd_7089630.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-2-0.2/43/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,2,0.2,6
"9","/home/richel/data/razzo_project_20190808/run_r_cmd_7089631.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-1.5-0.15/23/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,1.5,0.15,6
"10","/home/richel/data/razzo_project_20190808/run_r_cmd_7089632.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-1.5-0.15/24/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,1.5,0.15,6
"11","/home/richel/data/razzo_project_20190808/run_r_cmd_7089633.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-2-0.1/12/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,2,0.1,6
"12","/home/richel/data/razzo_project_20190808/run_r_cmd_7089634.log","/home/richel/data/razzo_project_20190808/data/0.2-0.15-2-0.1/11/parameters.RDa","COMPLETED",NA,NA,0.2,0.15,2,0.1,6
