Sample	posterior	likelihood	prior	treeLikelihood.file28dd219a93c4	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-689.4606784350568	-678.0382618583833	-11.422416576673582	-678.0382618583833	15.000721221853986	0.09071072730812854	4.958261934797406E-4	0.09073646681938086	2.3838177796612027E-9	5.381584956753296E-4	-20.674272010895102	0.21919816178280055	0.4424859193652211	5.728736264443772	15.000721221853986	
1	-689.4606784350568	-678.0382618583833	-11.422416576673582	-678.0382618583833	15.000721221853986	0.09071072730812854	4.958261934797406E-4	0.09073646681938086	2.3838177796612027E-9	5.381584956753296E-4	-20.674272010895102	0.21919816178280055	0.4424859193652211	5.728736264443772	15.000721221853986	
2	-689.4606784350568	-678.0382618583833	-11.422416576673582	-678.0382618583833	15.000721221853986	0.09071072730812854	4.958261934797406E-4	0.09073646681938086	2.3838177796612027E-9	5.381584956753296E-4	-20.674272010895102	0.21919816178280055	0.4424859193652211	5.728736264443772	15.000721221853986	
3	-687.5313683094039	-677.92789190511	-9.60347640429396	-677.92789190511	15.000721221853986	0.12929099462412233	5.165449810978039E-4	0.1292847824691408	4.490247523051563E-9	5.182322225307126E-4	-18.836430226790753	0.12193478170409809	0.6034605055911528	5.728736264443772	15.000721221853986	
4	-687.4523001927224	-676.3443904939763	-11.107909698746077	-676.3443904939763	15.000721221853986	0.11829843351603925	0.0013161742950296902	0.11834638988437214	2.6294955289067672E-8	0.0013706532145136559	-19.90814737417359	0.10670474130573165	0.215677330190921	5.728736264443772	15.000721221853986	
5	-687.4523001927224	-676.3443904939763	-11.107909698746077	-676.3443904939763	15.000721221853986	0.11829843351603925	0.0013161742950296902	0.11834638988437214	2.6294955289067672E-8	0.0013706532145136559	-19.90814737417359	0.10670474130573165	0.215677330190921	5.728736264443772	15.000721221853986	
6	-689.0701369194175	-676.0857023526937	-12.984434566723747	-676.0857023526937	15.000721221853986	0.10293687787932769	0.031230435803166687	0.10315685845966394	1.617353539366356E-5	0.038921464937538945	-20.248410111262842	0.21905718138016939	0.4174472858090185	5.728736264443772	15.000721221853986	
7	-689.0701369194175	-676.0857023526937	-12.984434566723747	-676.0857023526937	15.000721221853986	0.10293687787932769	0.031230435803166687	0.10315685845966394	1.617353539366356E-5	0.038921464937538945	-20.248410111262842	0.21905718138016939	0.4174472858090185	5.728736264443772	15.000721221853986	
8	-688.275299379356	-675.1514805420359	-13.123818837320231	-675.1514805420359	15.000721221853986	0.10293687787932769	0.05174381844233801	0.10909752756664932	4.03630318161206E-5	0.060204491036329036	-20.101618950862374	0.13628047972895171	0.7259075612325073	5.728736264443772	15.000721221853986	
