Sample	posterior	likelihood	prior	treeLikelihood.file66a54de85737	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-4032.2719819935905	-3921.4644418465205	-110.80754014707028	-3921.4644418465205	14.999508554616177	-116.67559761020752	0.16818655143192018	0.28960660624268453	5.868057463137238	14.999508554616177	0.06812365944540738	
1	-4034.376656318126	-3921.0719731645295	-113.30468315359644	-3921.0719731645295	14.999508554616177	-119.17274061673368	0.13913551439500013	0.1510255868640694	5.868057463137238	14.999508554616177	0.07154118730652509	
2	-4032.707159378449	-3919.4830791055583	-113.2240802728908	-3919.4830791055583	14.999508554616177	-119.09213773602804	0.14169109567013152	0.40269310254705865	5.868057463137238	14.999508554616177	0.06619237311528588	
3	-4032.5755317190606	-3919.4602727243864	-113.11525899467433	-3919.4602727243864	14.999508554616177	-118.98331645781157	0.24085558381720984	0.21271345939032762	5.868057463137238	14.999508554616177	0.0731971604663775	
4	-4030.413164694424	-3918.3327936583946	-112.08037103602918	-3918.3327936583946	14.999508554616177	-117.94842849916641	0.1508117689068764	0.26579484182042706	5.868057463137238	14.999508554616177	0.06666533651469822	
5	-4030.413164694424	-3918.3327936583946	-112.08037103602918	-3918.3327936583946	14.999508554616177	-117.94842849916641	0.1508117689068764	0.26579484182042706	5.868057463137238	14.999508554616177	0.06666533651469822	
6	-4027.6637068000014	-3915.6089207175028	-112.05478608249864	-3915.6089207175028	14.999508554616177	-117.92284354563587	0.11951188881159368	0.35226336427714133	5.868057463137238	14.999508554616177	0.07564898713468174	
7	-4025.942320396777	-3914.92599832953	-111.01632206724695	-3914.92599832953	14.999508554616177	-116.88437953038418	0.14346391188115093	0.29939875073470174	5.868057463137238	14.999508554616177	0.07241971372012201	
8	-4025.6432685059162	-3913.7072457754666	-111.93602273044979	-3913.7072457754666	14.999508554616177	-117.80408019358703	0.08503532130350404	0.6284165179369718	5.868057463137238	14.999508554616177	0.0682456799512863	
9	-4025.6432685059162	-3913.7072457754666	-111.93602273044979	-3913.7072457754666	14.999508554616177	-117.80408019358703	0.08503532130350404	0.6284165179369718	5.868057463137238	14.999508554616177	0.0682456799512863	
10	-4025.6432685059162	-3913.7072457754666	-111.93602273044979	-3913.7072457754666	14.999508554616177	-117.80408019358703	0.08503532130350404	0.6284165179369718	5.868057463137238	14.999508554616177	0.0682456799512863	
11	-4025.6432685059162	-3913.7072457754666	-111.93602273044979	-3913.7072457754666	14.999508554616177	-117.80408019358703	0.08503532130350404	0.6284165179369718	5.868057463137238	14.999508554616177	0.0682456799512863	
12	-4026.8792984813053	-3913.5277463913785	-113.35155208992674	-3913.5277463913785	14.999508554616177	-119.21960955306398	0.15474853489121518	0.3777108946737394	5.868057463137238	14.999508554616177	0.06471690195362066	
13	-4026.8792984813053	-3913.5277463913785	-113.35155208992674	-3913.5277463913785	14.999508554616177	-119.21960955306398	0.15474853489121518	0.3777108946737394	5.868057463137238	14.999508554616177	0.06471690195362066	
14	-4023.323042883742	-3912.138710506456	-111.18433237728598	-3912.138710506456	14.999508554616177	-117.05238984042322	0.1424319935925654	0.25396127528637885	5.868057463137238	14.999508554616177	0.0703129799195707	
15	-4023.323042883742	-3912.138710506456	-111.18433237728598	-3912.138710506456	14.999508554616177	-117.05238984042322	0.1424319935925654	0.25396127528637885	5.868057463137238	14.999508554616177	0.0703129799195707	
16	-4021.90869006639	-3911.4426509783007	-110.46603908808967	-3911.4426509783007	14.999508554616177	-116.3340965512269	0.2182455576644068	0.0553768525703005	5.868057463137238	14.999508554616177	0.07076935922664815	
