Sample	posterior	likelihood	prior	treeLikelihood.file6a6f7d485320	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-3869.0728990080493	-3744.2378258397366	-124.83507316831252	-3744.2378258397366	15.00129835402563	0.8396890100706027	0.8589260191255355	0.8837146065722422	0.7430590905433561	0.8489738471577896	0.23254200034616276	0.24707971904817025	0.2809787440845543	0.23939953652111282	-115.01740642187063	0.20106337068443797	0.16983636596317206	5.145955157842147	15.00129835402563	0.06477555986525371	
1	-3861.1023491560786	-3737.7808283589893	-123.3215207970892	-3737.7808283589893	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7439865776767646	0.7801487549752268	0.680711789188116	0.23466937177245423	0.2409682053242471	0.28496288638218603	0.23939953652111282	-113.97908248191729	0.16818333173627295	0.4223412393925579	5.145955157842147	15.00129835402563	0.06786695340153769	
2	-3858.6760007352273	-3732.729580324604	-125.94642041062333	-3732.729580324604	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2888203209015577	0.2445705184750342	-116.55832257090414	0.18456901649328852	0.18282678937043215	5.145955157842147	15.00129835402563	0.061389911812345765	
3	-3856.795770272628	-3729.7831133017794	-127.01265697084871	-3729.7831133017794	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2888203209015577	0.2445705184750342	-117.6245591311295	0.16080250967379148	0.20878981644476383	5.145955157842147	15.00129835402563	0.06574299357488776	
4	-3856.795770272628	-3729.7831133017794	-127.01265697084871	-3729.7831133017794	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2888203209015577	0.2445705184750342	-117.6245591311295	0.16080250967379148	0.20878981644476383	5.145955157842147	15.00129835402563	0.06574299357488776	
5	-3856.795770272628	-3729.7831133017794	-127.01265697084871	-3729.7831133017794	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2888203209015577	0.2445705184750342	-117.6245591311295	0.16080250967379148	0.20878981644476383	5.145955157842147	15.00129835402563	0.06574299357488776	
6	-3856.795770272628	-3729.7831133017794	-127.01265697084871	-3729.7831133017794	15.00129835402563	0.8114115427592146	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2888203209015577	0.2445705184750342	-117.6245591311295	0.16080250967379148	0.20878981644476383	5.145955157842147	15.00129835402563	0.06574299357488776	
7	-3856.867238845162	-3729.689016284528	-127.17822256063393	-3729.689016284528	15.00129835402563	0.9975653036582832	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2821871672301835	0.2512036721464084	-117.57529421915778	0.12749794823786956	0.5022136198286485	5.145955157842147	15.00129835402563	0.06049652653144128	
8	-3856.867238845162	-3729.689016284528	-127.17822256063393	-3729.689016284528	15.00129835402563	0.9975653036582832	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2821871672301835	0.2512036721464084	-117.57529421915778	0.12749794823786956	0.5022136198286485	5.145955157842147	15.00129835402563	0.06049652653144128	
9	-3856.867238845162	-3729.689016284528	-127.17822256063393	-3729.689016284528	15.00129835402563	0.9975653036582832	0.7877861632941958	0.7594045243419457	0.768775533199727	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2821871672301835	0.2512036721464084	-117.57529421915778	0.12749794823786956	0.5022136198286485	5.145955157842147	15.00129835402563	0.06049652653144128	
10	-3857.4950851639574	-3729.412369869547	-128.0827152944104	-3729.412369869547	15.00129835402563	0.8944956921405737	0.7877861632941958	0.7594045243419457	0.7760477869304074	0.7077584402487068	0.2368534328602326	0.22975572776317568	0.2821871672301835	0.2512036721464084	-118.58402702576637	0.15252035284748527	0.12038997810820964	5.145955157842147	15.00129835402563	0.06556873215630474	
11	-3857.2240658668793	-3727.706440857287	-129.51762500959254	-3727.706440857287	15.00129835402563	0.8944956921405737	0.7877861632941958	0.7594045243419457	0.6499256148654672	0.7305425333626817	0.2281113575400507	0.23911997514406286	0.2794238980244022	0.2533447692914844	-120.16765854661512	0.24271106766700068	0.024971521070399415	5.145955157842147	15.00129835402563	0.06120421123850446	
