Sample	posterior	likelihood	prior	treeLikelihood.file60fc144cac37	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-3965.25016774784	-3870.6640309473123	-94.58613680052748	-3870.6640309473123	14.997459655513866	0.10146606376680692	0.016960183577338785	0.10102549696787577	2.8030612980267484E-6	0.016529323743970828	-99.2019697940092	0.2206266805972151	0.2672913730581649	2.762141691662758	14.997459655513866	
1	-3961.752645164817	-3866.008409804793	-95.74423536002418	-3866.008409804793	14.997459655513866	0.10466234104818119	0.035652916252887905	0.10496300087664591	1.5009349771585962E-5	0.03702297737176188	-99.96906175403021	0.18705021007523148	0.24822484602539782	2.762141691662758	14.997459655513866	
2	-3957.9227763723557	-3861.8484351239986	-96.07434124835709	-3861.8484351239986	14.997459655513866	0.10271419261720297	0.03772319932453886	0.10294514598611627	1.4395421349482437E-5	0.03683583472873627	-100.26775966634365	0.24699581847479943	0.19524044232419513	2.762141691662758	14.997459655513866	
3	-3955.635415123635	-3860.189553875221	-95.44586124841413	-3860.189553875221	14.997459655513866	0.10073958355984446	0.024131847461191257	0.10048259969042501	6.209343006025042E-6	0.024705721488728436	-99.88054883798743	0.2438610028869426	0.15845212726723598	2.762141691662758	14.997459655513866	
4	-3955.635415123635	-3860.189553875221	-95.44586124841413	-3860.189553875221	14.997459655513866	0.10073958355984446	0.024131847461191257	0.10048259969042501	6.209343006025042E-6	0.024705721488728436	-99.88054883798743	0.2438610028869426	0.15845212726723598	2.762141691662758	14.997459655513866	
5	-3955.635415123635	-3860.189553875221	-95.44586124841413	-3860.189553875221	14.997459655513866	0.10073958355984446	0.024131847461191257	0.10048259969042501	6.209343006025042E-6	0.024705721488728436	-99.88054883798743	0.2438610028869426	0.15845212726723598	2.762141691662758	14.997459655513866	
6	-3955.635415123635	-3860.189553875221	-95.44586124841413	-3860.189553875221	14.997459655513866	0.10073958355984446	0.024131847461191257	0.10048259969042501	6.209343006025042E-6	0.024705721488728436	-99.88054883798743	0.2438610028869426	0.15845212726723598	2.762141691662758	14.997459655513866	
7	-3955.916532501566	-3859.029253800431	-96.88727870113487	-3859.029253800431	14.997459655513866	0.09327089165805778	0.043618352595850576	0.09471485132810711	2.0787323277093018E-5	0.04828863154194239	-100.99840940703238	0.21357422644727392	0.20174506038201853	2.762141691662758	14.997459655513866	
8	-3955.916532501566	-3859.029253800431	-96.88727870113487	-3859.029253800431	14.997459655513866	0.09327089165805778	0.043618352595850576	0.09471485132810711	2.0787323277093018E-5	0.04828863154194239	-100.99840940703238	0.21357422644727392	0.20174506038201853	2.762141691662758	14.997459655513866	
9	-3952.767559898227	-3858.279653413597	-94.4879064846301	-3858.279653413597	14.997459655513866	0.103539141004588	0.037987450693380505	0.10330263250189793	1.3625216175426536E-5	0.03563110284140958	-98.67741910108055	0.27171995324864856	0.160733017721643	2.762141691662758	14.997459655513866	
10	-3947.4231826460473	-3852.3463468293294	-95.07683581671812	-3852.3463468293294	14.997459655513866	0.10257304524744258	0.03222644663086903	0.10272638927922986	1.4201233143653096E-5	0.03660124708342688	-99.35715480559293	0.31341222787700296	0.2516557671948873	2.762141691662758	14.997459655513866	
11	-3947.4231826460473	-3852.3463468293294	-95.07683581671812	-3852.3463468293294	14.997459655513866	0.10257304524744258	0.03222644663086903	0.10272638927922986	1.4201233143653096E-5	0.03660124708342688	-99.35715480559293	0.31341222787700296	0.2516557671948873	2.762141691662758	14.997459655513866	
12	-3947.4231826460473	-3852.3463468293294	-95.07683581671812	-3852.3463468293294	14.997459655513866	0.10257304524744258	0.03222644663086903	0.10272638927922986	1.4201233143653096E-5	0.03660124708342688	-99.35715480559293	0.31341222787700296	0.2516557671948873	2.762141691662758	14.997459655513866	
13	-3947.515463178111	-3852.0054509000943	-95.51001227801676	-3852.0054509000943	15.003055791504154	0.10362751291798487	0.0392363346494199	0.10342385612412877	1.1367549376974148E-5	0.03248849995131524	-98.2391061791023	0.2328147106144043	0.2180665326111246	1.3198858873461443	15.003055791504154	
14	-3943.2843287899323	-3850.165011983099	-93.11931680683325	-3850.165011983099	15.003055791504154	0.10646660997945674	0.006511830158706879	0.10652180819001145	4.698514220887669E-7	0.006435896721457033	-96.76096980507552	0.2335537903037932	0.253473643461158	1.3198858873461443	15.003055791504154	
