Sample	posterior	likelihood	prior	treeLikelihood.file5f146e51f3de	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-3912.9194493394098	-3788.4921069148572	-124.4273424245526	-3788.4921069148572	14.998725652281056	0.9155061034265901	0.8910473110450051	0.969933812974829	0.847657098035735	0.9509808254518183	0.22359412166011364	0.2793718719658735	0.25537532041569316	0.24165868595831977	0.07025328677473974	0.1873698053559908	0.07244614902355227	1.1366102274413796E-4	0.1528830268058987	-114.46523290965656	0.13872083725766846	0.3973407149227123	5.176835691388757	14.998725652281056	
1	-3909.0756764486687	-3781.9607398250487	-127.11493662361985	-3781.9607398250487	14.998725652281056	0.7648166327882355	0.8910473110450051	1.1330481576032077	0.7313153481728797	0.9479324991517182	0.22570550757695002	0.2793718719658735	0.25629508761291675	0.23862753284425983	0.06602979073950842	0.3018732734484877	0.0675053249526792	3.7825346862352036E-4	0.29452871653061224	-116.81060428260598	0.14310880982125634	0.4022313604488057	5.176835691388757	14.998725652281056	
2	-3906.4183160694993	-3781.2144423680957	-125.20387370140354	-3781.2144423680957	14.998725652281056	0.8985422103527133	0.8910473110450051	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22570550757695002	0.2793718719658735	0.25629508761291675	0.23862753284425983	0.06602979073950842	0.2285604367672402	0.06878062440942363	2.3512279919171955E-4	0.23037433743580737	-115.10932088434885	0.15652491410736466	0.253617336773856	5.176835691388757	14.998725652281056	
3	-3906.4183160694993	-3781.2144423680957	-125.20387370140354	-3781.2144423680957	14.998725652281056	0.8985422103527133	0.8910473110450051	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22570550757695002	0.2793718719658735	0.25629508761291675	0.23862753284425983	0.06602979073950842	0.2285604367672402	0.06878062440942363	2.3512279919171955E-4	0.23037433743580737	-115.10932088434885	0.15652491410736466	0.253617336773856	5.176835691388757	14.998725652281056	
4	-3904.5124598331	-3780.274152838958	-124.23830699414196	-3780.274152838958	14.998725652281056	0.8985422103527133	0.8910473110450051	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22570550757695002	0.2793718719658735	0.25833647299161755	0.23658614746555903	0.07094859368667421	0.23063864679292967	0.0730664399289711	3.348069656990878E-4	0.2542228162496391	-114.13414509361493	0.1483727041581143	0.3831582742695349	5.176835691388757	14.998725652281056	
5	-3904.707030852591	-3780.2508155709747	-124.45621528161597	-3780.2508155709747	14.998725652281056	0.8985422103527133	0.8910473110450051	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22570550757695002	0.2793718719658735	0.2667699615848169	0.22815265887235966	0.07094859368667421	0.20404828426707736	0.07206219937268277	2.2376091129576488E-4	0.21056588418074956	-114.4780768300452	0.1359897774496795	0.28255323805658933	5.176835691388757	14.998725652281056	
6	-3903.599830655671	-3778.2637807606748	-125.33604989499625	-3778.2637807606748	14.998725652281056	0.8985422103527133	0.981076840771523	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22509241744413272	0.2793718719658735	0.2680503326974158	0.22748537789257808	0.07128265240147547	0.1753824180288087	0.0698886938467084	1.4964599460920826E-4	0.17464060295249087	-115.40672950482096	0.15725803204920447	0.5092221957369312	5.176835691388757	14.998725652281056	
7	-3903.599830655671	-3778.2637807606748	-125.33604989499625	-3778.2637807606748	14.998725652281056	0.8985422103527133	0.981076840771523	1.0965704737347908	0.7261920468874916	0.9350824193259277	0.22509241744413272	0.2793718719658735	0.2680503326974158	0.22748537789257808	0.07128265240147547	0.1753824180288087	0.0698886938467084	1.4964599460920826E-4	0.17464060295249087	-115.40672950482096	0.15725803204920447	0.5092221957369312	5.176835691388757	14.998725652281056	
8	-3901.6846329006876	-3777.354658096787	-124.32997480390058	-3777.354658096787	14.998725652281056	0.9546038577680064	0.981076840771523	1.0965704737347908	0.9807575724794738	0.9350824193259277	0.22509241744413272	0.2793718719658735	0.2680503326974158	0.22748537789257808	0.07128265240147547	0.18588731765981675	0.06773554567923985	1.3730573135891484E-4	0.17359727018347768	-113.9723205624686	0.19091865126379934	0.2090667909452425	5.176835691388757	14.998725652281056	
9	-3901.6040863861745	-3775.618298329509	-125.9857880566658	-3775.618298329509	14.998725652281056	0.9546038577680064	0.7626442616235362	1.0965704737347908	0.9807575724794738	0.9350824193259277	0.22509241744413272	0.2793718719658735	0.2680503326974158	0.22748537789257808	0.0704287328246375	0.2347638397403937	0.06603805662399324	2.582714004015279E-4	0.23392158240057206	-115.64286357464486	0.14244432676436827	0.1816820548679339	5.176835691388757	14.998725652281056	
10	-3901.6040863861745	-3775.618298329509	-125.9857880566658	-3775.618298329509	14.998725652281056	0.9546038577680064	0.7626442616235362	1.0965704737347908	0.9807575724794738	0.9350824193259277	0.22509241744413272	0.2793718719658735	0.2680503326974158	0.22748537789257808	0.0704287328246375	0.2347638397403937	0.06603805662399324	2.582714004015279E-4	0.23392158240057206	-115.64286357464486	0.14244432676436827	0.1816820548679339	5.176835691388757	14.998725652281056	
