Sample	posterior	likelihood	prior	treeLikelihood.file57894bee3cc8	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-737.95327359222	-732.6129462213804	-5.3403273708394785	-732.6129462213804	15.000202358958653	-11.308669542543413	0.0912598935003436	0.9514060250579348	5.968342171703934	15.000202358958653	1.5346446855220715	
1	-738.825403639205	-725.9318525309059	-12.893551108299135	-725.9318525309059	15.000202358958653	-18.86189328000307	0.13299643405800998	0.3783100923676794	5.968342171703934	15.000202358958653	0.13880717018941427	
2	-738.3049299519221	-723.7695760553067	-14.535353896615312	-723.7695760553067	15.000202358958653	-20.503696068319247	0.11782593521021155	0.4671368176802286	5.968342171703934	15.000202358958653	0.0990293064074216	
3	-738.3049299519221	-723.7695760553067	-14.535353896615312	-723.7695760553067	15.000202358958653	-20.503696068319247	0.11782593521021155	0.4671368176802286	5.968342171703934	15.000202358958653	0.0990293064074216	
4	-738.3049299519221	-723.7695760553067	-14.535353896615312	-723.7695760553067	15.000202358958653	-20.503696068319247	0.11782593521021155	0.4671368176802286	5.968342171703934	15.000202358958653	0.0990293064074216	
5	-737.2663522081232	-722.8610659287864	-14.405286279336849	-722.8610659287864	15.000202358958653	-20.373628451040783	0.11264434261368127	0.33972556776064694	5.968342171703934	15.000202358958653	0.09901669157095032	
6	-737.2663522081232	-722.8610659287864	-14.405286279336849	-722.8610659287864	15.000202358958653	-20.373628451040783	0.11264434261368127	0.33972556776064694	5.968342171703934	15.000202358958653	0.09901669157095032	
7	-737.2663522081232	-722.8610659287864	-14.405286279336849	-722.8610659287864	15.000202358958653	-20.373628451040783	0.11264434261368127	0.33972556776064694	5.968342171703934	15.000202358958653	0.09901669157095032	
8	-737.2663522081232	-722.8610659287864	-14.405286279336849	-722.8610659287864	15.000202358958653	-20.373628451040783	0.11264434261368127	0.33972556776064694	5.968342171703934	15.000202358958653	0.09901669157095032	
9	-736.0904445139979	-722.6222829204751	-13.468161593522854	-722.6222829204751	15.000202358958653	-19.43650376522679	0.1034538689801108	0.6997931601252251	5.968342171703934	15.000202358958653	0.12299895577753535	
10	-737.5362128530439	-722.5234107030908	-15.01280214995315	-722.5234107030908	14.99846551012662	-19.824289309977036	0.15069370251436845	0.6377502923854588	4.811487160023888	14.99846551012662	0.12140083092807151	
11	-737.5362128530439	-722.5234107030908	-15.01280214995315	-722.5234107030908	14.99846551012662	-19.824289309977036	0.15069370251436845	0.6377502923854588	4.811487160023888	14.99846551012662	0.12140083092807151	
