Sample	posterior	likelihood	prior	treeLikelihood.file51e34130376a	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-692.4024854722712	-652.9802357962108	-39.42224967606041	-652.9802357962108	15.00703327689742	0.05511495144148282	0.1732195620694718	0.05652063881574391	7.65161515520104E-5	0.1502175162914594	-21.052275132848706	0.06287939651102038	0.5147260394967286	-18.74467521211625	15.00703327689742	
1	-664.0418685059833	-647.193613452163	-16.848255053820203	-647.193613452163	15.001073841683658	0.0627543427559244	0.8241062952877516	0.06523027448457627	0.0024521175217840107	0.6998979239355235	-20.21276224873619	0.12063669620445525	0.4139906467426285	5.412248764996996	15.001073841683658	
2	-664.0418685059833	-647.193613452163	-16.848255053820203	-647.193613452163	15.001073841683658	0.0627543427559244	0.8241062952877516	0.06523027448457627	0.0024521175217840107	0.6998979239355235	-20.21276224873619	0.12063669620445525	0.4139906467426285	5.412248764996996	15.001073841683658	
3	-664.0418685059833	-647.193613452163	-16.848255053820203	-647.193613452163	15.001073841683658	0.0627543427559244	0.8241062952877516	0.06523027448457627	0.0024521175217840107	0.6998979239355235	-20.21276224873619	0.12063669620445525	0.4139906467426285	5.412248764996996	15.001073841683658	
4	-664.0418685059833	-647.193613452163	-16.848255053820203	-647.193613452163	15.001073841683658	0.0627543427559244	0.8241062952877516	0.06523027448457627	0.0024521175217840107	0.6998979239355235	-20.21276224873619	0.12063669620445525	0.4139906467426285	5.412248764996996	15.001073841683658	
5	-660.9274678498962	-646.6364775486247	-14.290990301271485	-646.6364775486247	15.001073841683658	0.0705371622543361	0.19388494846227838	0.06438279251504114	2.048088280588595E-4	0.2197227383797705	-19.971938317924725	0.15113859123327925	0.3518786273718221	5.412248764996996	15.001073841683658	
6	-660.9274678498962	-646.6364775486247	-14.290990301271485	-646.6364775486247	15.001073841683658	0.0705371622543361	0.19388494846227838	0.06438279251504114	2.048088280588595E-4	0.2197227383797705	-19.971938317924725	0.15113859123327925	0.3518786273718221	5.412248764996996	15.001073841683658	
7	-660.9274678498962	-646.6364775486247	-14.290990301271485	-646.6364775486247	15.001073841683658	0.0705371622543361	0.19388494846227838	0.06438279251504114	2.048088280588595E-4	0.2197227383797705	-19.971938317924725	0.15113859123327925	0.3518786273718221	5.412248764996996	15.001073841683658	
