Sample	posterior	likelihood	prior	treeLikelihood.file64c327bd57f6	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-4010.094684869815	-3903.067750671181	-107.02693419863422	-3903.067750671181	15.000157910161981	-113.00328313478325	0.13391028778570904	0.571002046324061	5.976348936149019	15.000157910161981	0.07141451793451956	
1	-4008.99032290327	-3899.7136457909637	-109.27667711230664	-3899.7136457909637	15.000157910161981	-115.25302604845567	0.20983059195154258	0.1633908249403127	5.976348936149019	15.000157910161981	0.06860258891885365	
2	-4007.1582162603067	-3899.143068583323	-108.01514767698366	-3899.143068583323	15.000157910161981	-113.99149661313268	0.15370371740171232	0.25166916304209264	5.976348936149019	15.000157910161981	0.06951046410453118	
3	-4002.1519416134806	-3895.6586026653763	-106.49333894810415	-3895.6586026653763	15.000157910161981	-112.46968788425318	0.10260889617791143	0.5976261786608961	5.976348936149019	15.000157910161981	0.07257062249899551	
4	-3999.652418219276	-3895.2280534042916	-104.4243648149844	-3895.2280534042916	15.000157910161981	-110.40071375113342	0.12260297008630806	0.5826775186807425	5.976348936149019	15.000157910161981	0.07613575779978927	
5	-3996.2924236412	-3894.213732061701	-102.07869157949877	-3894.213732061701	15.000157910161981	-108.05504051564779	0.1798648752387952	0.4530598849610929	5.976348936149019	15.000157910161981	0.0820866214761389	
6	-3997.9327834107376	-3892.992231015043	-104.94055239569444	-3892.992231015043	15.000157910161981	-110.91690133184346	0.21445563162327305	0.2818529008603593	5.976348936149019	15.000157910161981	0.08004639388425114	
7	-3997.9327834107376	-3892.992231015043	-104.94055239569444	-3892.992231015043	15.000157910161981	-110.91690133184346	0.21445563162327305	0.2818529008603593	5.976348936149019	15.000157910161981	0.08004639388425114	
8	-3997.9327834107376	-3892.992231015043	-104.94055239569444	-3892.992231015043	15.000157910161981	-110.91690133184346	0.21445563162327305	0.2818529008603593	5.976348936149019	15.000157910161981	0.08004639388425114	
9	-3997.9327834107376	-3892.992231015043	-104.94055239569444	-3892.992231015043	15.000157910161981	-110.91690133184346	0.21445563162327305	0.2818529008603593	5.976348936149019	15.000157910161981	0.08004639388425114	
10	-4001.8965443345483	-3892.7050813800274	-109.19146295452104	-3892.7050813800274	15.000157910161981	-115.16781189067007	0.14462382603674964	0.15817363829640746	5.976348936149019	15.000157910161981	0.07046618644257266	
11	-4001.8965443345483	-3892.7050813800274	-109.19146295452104	-3892.7050813800274	15.000157910161981	-115.16781189067007	0.14462382603674964	0.15817363829640746	5.976348936149019	15.000157910161981	0.07046618644257266	
12	-4001.745753418178	-3892.0289715797917	-109.71678183838632	-3892.0289715797917	15.000157910161981	-115.69313077453535	0.18042908835542468	0.5502450832525566	5.976348936149019	15.000157910161981	0.06780841974366224	
13	-4001.745753418178	-3892.0289715797917	-109.71678183838632	-3892.0289715797917	15.000157910161981	-115.69313077453535	0.18042908835542468	0.5502450832525566	5.976348936149019	15.000157910161981	0.06780841974366224	
14	-3996.0609837590905	-3889.2168605659467	-106.8441231931439	-3889.2168605659467	15.000157910161981	-112.82047212929292	0.21613651131244913	0.2161512149019926	5.976348936149019	15.000157910161981	0.06952551987367103	
15	-3991.203000414891	-3887.698536422716	-103.50446399217485	-3887.698536422716	15.000157910161981	-109.48081292832387	0.20597319280775714	0.23053296043646232	5.976348936149019	15.000157910161981	0.07386254816248208	
16	-3989.5531834632034	-3884.7567581475937	-104.79642531560987	-3884.7567581475937	15.000157910161981	-110.77277425175889	0.1359670657956567	0.3959082662615114	5.976348936149019	15.000157910161981	0.07394934417635513	
17	-3989.5531834632034	-3884.7567581475937	-104.79642531560987	-3884.7567581475937	15.000157910161981	-110.77277425175889	0.1359670657956567	0.3959082662615114	5.976348936149019	15.000157910161981	0.07394934417635513	
18	-3989.5531834632034	-3884.7567581475937	-104.79642531560987	-3884.7567581475937	15.000157910161981	-110.77277425175889	0.1359670657956567	0.3959082662615114	5.976348936149019	15.000157910161981	0.07394934417635513	
19	-3989.5531834632034	-3884.7567581475937	-104.79642531560987	-3884.7567581475937	15.000157910161981	-110.77277425175889	0.1359670657956567	0.3959082662615114	5.976348936149019	15.000157910161981	0.07394934417635513	
20	-3988.066131457005	-3883.9545315401488	-104.1115999168566	-3883.9545315401488	15.000157910161981	-110.08794885300563	0.20179174883377962	0.34072771222781584	5.976348936149019	15.000157910161981	0.07699926160320852	
21	-3988.066131457005	-3883.9545315401488	-104.1115999168566	-3883.9545315401488	15.000157910161981	-110.08794885300563	0.20179174883377962	0.34072771222781584	5.976348936149019	15.000157910161981	0.07699926160320852	
22	-3988.066131457005	-3883.9545315401488	-104.1115999168566	-3883.9545315401488	15.000157910161981	-110.08794885300563	0.20179174883377962	0.34072771222781584	5.976348936149019	15.000157910161981	0.07699926160320852	
23	-3987.64262714027	-3879.7429574354683	-107.89966970480195	-3879.7429574354683	15.000157910161981	-113.87601864095097	0.11847245187370592	0.41916888511539147	5.976348936149019	15.000157910161981	0.07187305782820474	
