Sample	posterior	likelihood	prior	treeLikelihood.file500174aa0b6	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-780.6236820734682	-751.397092690473	-29.22658938299525	-751.397092690473	15.002844594048508	0.7369457013339866	1.9854798622167533	2.996332940233322	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.26429918240063066	0.2584456852580295	0.23263805005967939	0.33362258225277097	0.10282303261411216	0.3375501673389015	0.001529997882015037	0.11581944934962825	-14.769722174355413	0.10978894611856055	0.8887332101759545	1.942959095374504	15.002844594048508	
1	-781.3306223064105	-749.9162502406504	-31.41437206576019	-749.9162502406504	15.002844594048508	0.7369457013339866	1.9854798622167533	1.5379310864303593	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.2646939426626073	0.25805092499605287	0.23263805005967939	0.23858510739538447	0.233937541691687	0.2394991411511409	0.003418094697374953	0.23218565222120752	-17.01515761902696	0.11188535773967183	0.5675497810154765	1.942959095374504	15.002844594048508	
2	-778.2029145714113	-748.2864034714169	-29.916511099994405	-748.2864034714169	15.002844594048508	0.7369457013339866	1.9854798622167533	2.0303249048769305	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.27489884327329556	0.03171589166851333	0.272067396571019	7.353267668305945E-5	0.031527680615218615	-16.653690044190085	0.10894820971456978	0.6940379671996761	1.942959095374504	15.002844594048508	
3	-778.2029145714113	-748.2864034714169	-29.916511099994405	-748.2864034714169	15.002844594048508	0.7369457013339866	1.9854798622167533	2.0303249048769305	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.27489884327329556	0.03171589166851333	0.272067396571019	7.353267668305945E-5	0.031527680615218615	-16.653690044190085	0.10894820971456978	0.6940379671996761	1.942959095374504	15.002844594048508	
4	-778.2029145714113	-748.2864034714169	-29.916511099994405	-748.2864034714169	15.002844594048508	0.7369457013339866	1.9854798622167533	2.0303249048769305	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.27489884327329556	0.03171589166851333	0.272067396571019	7.353267668305945E-5	0.031527680615218615	-16.653690044190085	0.10894820971456978	0.6940379671996761	1.942959095374504	15.002844594048508	
5	-778.2029145714113	-748.2864034714169	-29.916511099994405	-748.2864034714169	15.002844594048508	0.7369457013339866	1.9854798622167533	2.0303249048769305	1.4937922679817497	0.47341134296632414	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.27489884327329556	0.03171589166851333	0.272067396571019	7.353267668305945E-5	0.031527680615218615	-16.653690044190085	0.10894820971456978	0.6940379671996761	1.942959095374504	15.002844594048508	
6	-777.298920249018	-747.0552220565216	-30.24369819249631	-747.0552220565216	15.002844594048508	0.6297584335304943	1.966511716006041	2.0303249048769305	1.4937922679817497	0.4472806444174454	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.28862496293470896	0.13049329640303475	0.2901340276861003	0.0011285873162940204	0.11651775159869007	-16.29765030402272	0.08452552166930356	0.7314316631677862	1.942959095374504	15.002844594048508	
7	-777.2449143548672	-746.987413636814	-30.257500718053123	-746.987413636814	15.002844594048508	0.7149658036513659	1.966511716006041	1.2155662386165433	1.4937922679817497	0.4472806444174454	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.28862496293470896	0.4193938418172536	0.2693742695663157	0.012226869025473378	0.3776208649335459	-15.457197080906761	0.062468288181442365	0.8446836708845682	1.942959095374504	15.002844594048508	
8	-777.8614559991865	-746.2532270008438	-31.608228998342693	-746.2532270008438	15.002844594048508	0.7149658036513659	1.966511716006041	1.2155662386165433	0.8862358954710996	1.0761819735652125	0.24461708228166046	0.25950830184104073	0.26323656581761945	0.23263805005967939	0.22927715063893547	0.17614378908593642	0.2190938186284489	0.0016464563624149892	0.1868408523780907	-17.50403581830815	0.15727235894794686	0.47418133806546214	1.942959095374504	15.002844594048508	
9	-776.8115068065325	-744.8349447408071	-31.976562065725393	-744.8349447408071	15.002844594048508	0.8525417127284334	1.966511716006041	1.2155662386165433	1.026685610699946	1.0761819735652125	0.23104271632863102	0.2653154314134709	0.264694922915816	0.2389469293420821	0.22426784656009352	0.034479024933717045	0.22569492971383656	3.0855230598357895E-5	0.024858504325818986	-18.659462203206463	0.22789892140152457	0.14042737418884474	1.942959095374504	15.002844594048508	
