Sample	posterior	likelihood	prior	treeLikelihood.file596d3881af5d	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate	
0	-726.2823145043506	-704.6363377167888	-21.645976787561764	-704.6363377167888	14.999954500575377	0.2733399921647859	0.5257776287387563	0.7298296150537691	1.3192957134304693	0.7844129962837848	0.26055378628859	0.23642397551765104	0.24666271099306228	0.25635952720069666	-13.951634536871307	0.1854792283690303	0.7588272595114606	5.98778164695697	14.999954500575377	0.7951152838200193	
1	-727.7633797106553	-702.4050706644439	-25.35830904621139	-702.4050706644439	14.999954500575377	0.7991401095568479	0.46987017761124306	0.4301281256547774	1.3192957134304693	0.7844129962837848	0.25747928318551594	0.23526807306401398	0.259299160448422	0.24795348330204806	-17.23406582794052	0.09019997769610068	0.5817118794154461	5.98778164695697	14.999954500575377	0.3318844059325285	
2	-727.7633797106553	-702.4050706644439	-25.35830904621139	-702.4050706644439	14.999954500575377	0.7991401095568479	0.46987017761124306	0.4301281256547774	1.3192957134304693	0.7844129962837848	0.25747928318551594	0.23526807306401398	0.259299160448422	0.24795348330204806	-17.23406582794052	0.09019997769610068	0.5817118794154461	5.98778164695697	14.999954500575377	0.3318844059325285	
3	-727.7633797106553	-702.4050706644439	-25.35830904621139	-702.4050706644439	14.999954500575377	0.7991401095568479	0.46987017761124306	0.4301281256547774	1.3192957134304693	0.7844129962837848	0.25747928318551594	0.23526807306401398	0.259299160448422	0.24795348330204806	-17.23406582794052	0.09019997769610068	0.5817118794154461	5.98778164695697	14.999954500575377	0.3318844059325285	
4	-727.7633797106553	-702.4050706644439	-25.35830904621139	-702.4050706644439	14.999954500575377	0.7991401095568479	0.46987017761124306	0.4301281256547774	1.3192957134304693	0.7844129962837848	0.25747928318551594	0.23526807306401398	0.259299160448422	0.24795348330204806	-17.23406582794052	0.09019997769610068	0.5817118794154461	5.98778164695697	14.999954500575377	0.3318844059325285	
5	-727.7633797106553	-702.4050706644439	-25.35830904621139	-702.4050706644439	14.999954500575377	0.7991401095568479	0.46987017761124306	0.4301281256547774	1.3192957134304693	0.7844129962837848	0.25747928318551594	0.23526807306401398	0.259299160448422	0.24795348330204806	-17.23406582794052	0.09019997769610068	0.5817118794154461	5.98778164695697	14.999954500575377	0.3318844059325285	
6	-727.0900306345308	-700.9520242903315	-26.138006344199297	-700.9520242903315	14.999954500575377	0.7055357502492258	0.46987017761124306	0.7008945020380205	1.3192957134304693	0.7844129962837848	0.2544765156715009	0.24365833723519917	0.259299160448422	0.24256598664487788	-17.650536289000367	0.07622111911617946	0.7470958295692711	5.98778164695697	14.999954500575377	0.19439626448675032	
7	-728.3800426324708	-700.9016199554826	-27.47842267698819	-700.9016199554826	14.999954500575377	0.7055357502492258	0.46987017761124306	0.917846674111324	1.9318258299953401	0.6117588608811436	0.26132534501020815	0.23680950789649197	0.259299160448422	0.24256598664487788	-18.542948920752238	0.09481139078056218	0.746918169649653	5.98778164695697	14.999954500575377	0.11655098509453339	
8	-727.770061993894	-699.3135361254582	-28.45652586843589	-699.3135361254582	14.999954500575377	0.7055357502492258	0.4671173355018077	0.917846674111324	1.9318258299953401	1.1230305254418325	0.26132534501020815	0.23680950789649197	0.259299160448422	0.24256598664487788	-18.898569196512696	0.19038497224638654	0.5069112744181737	5.98778164695697	14.999954500575377	0.13928106579519745	
9	-727.770061993894	-699.3135361254582	-28.45652586843589	-699.3135361254582	14.999954500575377	0.7055357502492258	0.4671173355018077	0.917846674111324	1.9318258299953401	1.1230305254418325	0.26132534501020815	0.23680950789649197	0.259299160448422	0.24256598664487788	-18.898569196512696	0.19038497224638654	0.5069112744181737	5.98778164695697	14.999954500575377	0.13928106579519745	
10	-728.8415398994194	-698.7675287734444	-30.074011125975034	-698.7675287734444	14.999954500575377	0.7055357502492258	1.1691534535541248	0.6847132695035928	1.2689657732750779	1.5400683391925407	0.26132534501020815	0.2454738281428485	0.26415345766291004	0.22904736918403337	-20.034888946558823	0.22953247439941785	0.41843680267921407	5.98778164695697	14.999954500575377	0.1341226548669455	
11	-727.7087533273805	-698.5635292066728	-29.14522412070763	-698.5635292066728	14.999954500575377	0.7055357502492258	1.1691534535541248	0.6847132695035928	0.9707132731194928	1.4918319509498614	0.26132534501020815	0.2454738281428485	0.26415345766291004	0.22904736918403337	-19.425511706642535	0.1333742374764778	0.20335209293794668	5.98778164695697	14.999954500575377	0.13389950655134647	
