#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:file28dd219a93c4" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:file28dd219a93c4" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:file28dd219a93c4" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:file28dd219a93c4">
#                <taxonset id="TaxonSet.file28dd219a93c4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:file28dd219a93c4" name="distribution" x="@BDBirthRate.t:file28dd219a93c4">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:file28dd219a93c4" name="distribution" x="@BDDeathRate.t:file28dd219a93c4">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:file28dd219a93c4">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t16" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean">15.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma">0.001</parameter>
#            </Normal>
#        </distribution>
#        <prior id="MeanRatePrior.c:file28dd219a93c4" name="distribution">
#            <parameter id="ucldMean.c:file28dd219a93c4" name="x">1.0</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:file28dd219a93c4" name="distribution">
#            <parameter id="ucldStdev.c:file28dd219a93c4" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@file28dd219a93c4" id="treeLikelihood.file28dd219a93c4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:file28dd219a93c4">
#            <siteModel id="SiteModel.s:file28dd219a93c4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:file28dd219a93c4" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:file28dd219a93c4" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:file28dd219a93c4" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:file28dd219a93c4" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:file28dd219a93c4" id="RelaxedClock.c:file28dd219a93c4" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:file28dd219a93c4">
#                <LogNormal S="@ucldStdev.c:file28dd219a93c4" id="LogNormalDistributionModel.c:file28dd219a93c4" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="14" id="rateCategories.c:file28dd219a93c4" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.file28dd219a93c4	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)
0	-1055.00441314747	-1636.9050463547303	-1055.00441314747	-581.9006332072604	-1055.00441314747	15.033523145197025	0.8326047501138145	0.3844229651603468	0.8413675409770706	0.12384232333414089	0.44687558019980084	-25.443462132881205	0.31974999981337227	0.24488387980358392	-555.9118152046266	15.033523145197025
1	-1034.132245912133	-1609.0329651273737	-1034.132245912133	-574.9007192152409	-1034.132245912133	15.033523145197025	0.4682724440067474	0.07773765992077183	0.4529748350527429	0.0011757294661030383	0.07473868139831713	-19.982504491855764	0.1516056257653912	0.498625126422361	-555.9118152046266	15.033523145197025
2	-945.13807872252	-962.7411559764644	-945.13807872252	-17.60307725394437	-945.13807872252	15.000721221853986	0.18154608126928454	0.08160509112439754	0.1727559391996613	1.8915445978703627E-4	0.07831444626499726	-24.29293392173208	0.1395906709338299	0.42349144524880694	5.728736264443772	15.000721221853986
3	-893.1084548678014	-906.137798399011	-893.1084548678014	-13.029343531209609	-893.1084548678014	15.000721221853986	0.14766056421156754	0.22275949351042187	0.14532264488052507	7.226623525206127E-4	0.18797262637198944	-18.887255143900713	0.056549655617206734	0.8590008130676954	5.728736264443772	15.000721221853986
4	-882.3318281578019	-897.1149834669122	-882.3318281578019	-14.783155309110361	-882.3318281578019	15.000721221853986	0.15009110942387793	0.12648830913020767	0.1492328821707654	2.327288473391044E-4	0.10093934971364595	-21.15371178455359	0.06830652525424372	0.6832884344347728	5.728736264443772	15.000721221853986
5	-880.7473672655829	-896.6539039160133	-880.7473672655829	-15.906536650430398	-880.7473672655829	15.000721221853986	0.04195262690554936	0.06171151138350414	0.042333697602148376	7.438879587092608E-6	0.06404166497739894	-22.777129894022142	0.030179242372843897	0.726235325374259	5.728736264443772	15.000721221853986
6	-861.1873809206248	-880.4177441219373	-861.1873809206248	-19.230363201312446	-861.1873809206248	15.000721221853986	0.04026579436570152	0.7301770146122365	0.03961191822849206	0.0015089448224324643	0.805605905164896	-23.21302461937602	0.02637930795631079	0.8550473490547693	5.728736264443772	15.000721221853986
7	-788.7207626060261	-808.6153785560364	-788.7207626060261	-19.894615950010195	-788.7207626060261	15.000721221853986	0.02760262959492028	0.24954792669827988	0.02913324383324474	3.730286039319009E-5	0.2311042371146004	-25.6301001690827	0.021082499319717393	0.5635032799113457	5.728736264443772	15.000721221853986
8	-780.7759099593363	-796.1077709032946	-780.7759099593363	-15.331860943958354	-780.7759099593363	15.000721221853986	0.06928835254744492	0.1732970105039928	0.06895458821284238	4.727115588440467E-5	0.09784181351875129	-21.43488927555893	0.029734214614811665	0.7340325102745996	5.728736264443772	15.000721221853986
9	-724.9495273896885	-738.8454585393406	-724.9495273896885	-13.895931149652125	-724.9495273896885	15.000721221853986	0.05551371140117655	0.03948141367872095	0.05513617890804619	5.389729629188369E-6	0.04144816800115931	-21.030366873174685	0.10106997984022224	0.509871935183249	5.728736264443772	15.000721221853986
10	-719.3835512136187	-736.0222293223104	-719.3835512136187	-16.638678108691746	-719.3835512136187	15.000721221853986	0.03949762140878891	0.03108626239274809	0.03954464812439667	6.805492274742702E-7	0.020999893254321108	-23.905161499065038	0.05877185305871297	0.5395138519879159	5.728736264443772	15.000721221853986
11	-708.2664365743955	-721.9560816788455	-708.2664365743955	-13.68964510445004	-708.2664365743955	15.000721221853986	0.05709439045536143	0.017837242664215127	0.0567286360756999	7.331938019811059E-7	0.015102091409664115	-21.24656268855143	0.08621883435692305	0.4032820685751859	5.728736264443772	15.000721221853986
12	-699.3325705980465	-709.943409692161	-699.3325705980465	-10.61083909411461	-699.3325705980465	15.000721221853986	0.11060736987438326	0.008638875335233514	0.11125082955791728	5.216911819808077E-7	0.006524175048731249	-18.525639915044714	0.06417620285628754	0.7667342702549932	5.728736264443772	15.000721221853986
13	-690.4775981950013	-699.6936969511993	-690.4775981950013	-9.216098756197972	-690.4775981950013	15.000721221853986	0.11582973748231075	4.822925725570936E-4	0.11580325356949331	4.060786848403478E-9	5.502653609532547E-4	-18.480730977968022	0.041439371583802107	0.8775075702782978	5.728736264443772	15.000721221853986
14	-680.9827214050139	-691.7163695285274	-680.9827214050139	-10.733648123513527	-680.9827214050139	15.000721221853986	0.09071072730812854	8.741269584099246E-5	0.09071382041067644	8.191520358220552E-11	9.977567610539099E-5	-20.78563627806387	0.07757822462520533	0.8106660597690819	5.728736264443772	15.000721221853986
15	-678.0382618583833	-689.4606784350568	-678.0382618583833	-11.422416576673582	-678.0382618583833	15.000721221853986	0.09071072730812854	4.958261934797406E-4	0.09073646681938086	2.3838177796612027E-9	5.381584956753296E-4	-20.674272010895102	0.21919816178280055	0.4424859193652211	5.728736264443772	15.000721221853986
16	-677.92789190511	-687.5313683094039	-677.92789190511	-9.60347640429396	-677.92789190511	15.000721221853986	0.12929099462412233	5.165449810978039E-4	0.1292847824691408	4.490247523051563E-9	5.182322225307126E-4	-18.836430226790753	0.12193478170409809	0.6034605055911528	5.728736264443772	15.000721221853986
17	-676.3443904939763	-687.4523001927224	-676.3443904939763	-11.107909698746077	-676.3443904939763	15.000721221853986	0.11829843351603925	0.0013161742950296902	0.11834638988437214	2.6294955289067672E-8	0.0013706532145136559	-19.90814737417359	0.10670474130573165	0.215677330190921	5.728736264443772	15.000721221853986
18	-676.0857023526937	-689.0701369194175	-676.0857023526937	-12.984434566723747	-676.0857023526937	15.000721221853986	0.10293687787932769	0.031230435803166687	0.10315685845966394	1.617353539366356E-5	0.038921464937538945	-20.248410111262842	0.21905718138016939	0.4174472858090185	5.728736264443772	15.000721221853986
19	-675.1514805420359	-688.275299379356	-675.1514805420359	-13.123818837320231	-675.1514805420359	15.000721221853986	0.10293687787932769	0.05174381844233801	0.10909752756664932	4.03630318161206E-5	0.060204491036329036	-20.101618950862374	0.13628047972895171	0.7259075612325073	5.728736264443772	15.000721221853986
20	-675.0464557634737	-692.9192874607744	-675.0464557634737	-17.872831697300715	-675.0464557634737	15.000721221853986	0.08002729155623452	0.01058246137371928	0.07942434320104967	6.697826625130738E-7	0.010242910642070252	-25.689116300395757	0.22694276431331953	0.8379083526985226	5.728736264443772	15.000721221853986
21	-674.1079145659565	-688.2061471693935	-674.1079145659565	-14.098232603436996	-674.1079145659565	15.000721221853986	0.08439757819784352	0.143704873639604	0.08208192661596504	1.239420394732776E-4	0.13382279328552	-20.364955254063503	0.1147365536179905	0.4019077836464124	5.728736264443772	15.000721221853986
22	-673.2908571914292	-690.571639423206	-673.2908571914292	-17.280782231776843	-673.2908571914292	15.000721221853986	0.07803174119342503	0.7234081886486233	0.06905461553182272	0.0023541672662945002	0.7548836530111273	-21.28545559632924	0.023410357841675285	0.9721509874721825	5.728736264443772	15.000721221853986
23	-672.2786488788316	-687.337675547926	-672.2786488788316	-15.059026669094388	-672.2786488788316	15.000721221853986	0.09055446158998377	0.32993954776268974	0.07456255500924143	1.7206948542022413E-4	0.1801438256419526	-20.455435916896203	0.10354884919687579	0.6464473591490203	5.728736264443772	15.000721221853986
24	-672.2364726321991	-684.0129001657372	-672.2364726321991	-11.776427533538005	-672.2364726321991	15.000721221853986	0.09055446158998377	0.024713989407314913	0.09133934935951932	7.5698125226746374E-6	0.030302700997066286	-19.165210802645934	0.06525820578008393	0.7643868547422553	5.728736264443772	15.000721221853986
25	-672.0627751928517	-685.1085399777629	-672.0627751928517	-13.04576478491114	-672.0627751928517	15.000721221853986	0.07490136940971848	0.006610114643569375	0.07480899076440348	1.1262837834824815E-7	0.004482810766182423	-21.08911380420034	0.16097423052916385	0.5608591615016657	5.728736264443772	15.000721221853986
26	-671.7017164859091	-684.8076581781206	-671.7017164859091	-13.105941692211584	-671.7017164859091	15.000721221853986	0.07312101717092351	0.01991603774629632	0.07355249219612837	2.8377269263258006E-6	0.02309855531782255	-20.606662971423653	0.10354881383592132	0.7367445777869163	5.728736264443772	15.000721221853986
27	-671.2293192916284	-684.5014750085177	-671.2293192916284	-13.272155716889328	-671.2293192916284	15.000721221853986	0.07312101717092351	0.03381078128397801	0.07217814413577475	3.1329481454663206E-6	0.02449552428627282	-20.492825071543415	0.08131940542873753	0.5361321624383636	5.728736264443772	15.000721221853986
28	-671.208180474546	-685.7477750520235	-671.208180474546	-14.539594577477455	-671.208180474546	15.000721221853986	0.07230364290992325	0.23998992673274985	0.05695482595287357	1.7750000652739367E-4	0.20943091791323376	-20.31808676929741	0.055491756289768726	0.801914059661531	5.728736264443772	15.000721221853986
29	-671.1108221430441	-685.2320183149005	-671.1108221430441	-14.12119617185645	-671.1108221430441	15.000721221853986	0.06129671003663601	0.1651020951278085	0.060108304160179066	9.430429309884394E-5	0.1499539743599736	-20.267985892443047	0.052397501793101924	0.7547288715401349	5.728736264443772	15.000721221853986
30	-671.0667886564505	-686.0545947713892	-671.0667886564505	-14.98780611493873	-671.0667886564505	15.000721221853986	0.060209140438519375	0.17863375596204473	0.06184946322754375	9.886634826527892E-5	0.15679065766133393	-21.062895992760446	0.05701266218238066	0.4922692479175813	5.728736264443772	15.000721221853986
31	-670.745705888601	-684.9693669491202	-670.745705888601	-14.22366106051914	-670.745705888601	15.000721221853986	0.06673226595303224	0.1313608227848678	0.06632087369542061	8.586621321979198E-5	0.13394238074560522	-20.564056714728718	0.060564031398474875	0.6437392432436796	5.728736264443772	15.000721221853986
32	-670.5722709087676	-686.324965628947	-670.5722709087676	-15.75269472017945	-670.5722709087676	15.000721221853986	0.05745131559473772	0.3540528263268972	0.06424026752231285	3.7380398035785325E-4	0.31071494393861	-21.053488585839144	0.12253225104001503	0.6183279412163767	5.728736264443772	15.000721221853986
33	-670.5587048033668	-686.8963865547389	-670.5587048033668	-16.33768175137214	-670.5587048033668	15.000721221853986	0.05745131559473772	0.2660316523573494	0.06653312579609606	3.814104638499422E-4	0.3129814641533025	-22.000554389778188	0.13498855191358575	0.6514060490818346	5.728736264443772	15.000721221853986
34	-670.5496437896456	-686.0300083883905	-670.5496437896456	-15.480364598744785	-670.5496437896456	15.000721221853986	0.05095603761609817	0.3595757466592086	0.057870590971073804	3.150520862481099E-4	0.33064672765276804	-20.759570366504853	0.0805246433187011	0.5953789238674283	5.728736264443772	15.000721221853986
35	-670.5471208726434	-686.5141188838261	-670.5471208726434	-15.966998011182625	-670.5471208726434	15.000721221853986	0.05095603761609817	0.4435478837171315	0.05932682979891369	6.908628358986054E-4	0.5558173912092569	-20.929694700061493	0.09969962770805897	0.6333769718445662	5.728736264443772	15.000721221853986
36	-670.3895593898778	-686.0733796391173	-670.3895593898778	-15.683820249239536	-670.3895593898778	15.000721221853986	0.05095603761609817	0.5182030707958886	0.0565997827763587	0.0010482887830749344	0.6089681296703863	-20.379412854990832	0.07502362224802225	0.636472414595416	5.728736264443772	15.000721221853986
37	-670.360976424708	-687.220636312395	-670.360976424708	-16.85965988768689	-670.360976424708	15.000721221853986	0.05185954100246228	0.8237413678534776	0.05749731914770077	0.002168024751545945	0.68113881563502	-20.5418140572433	0.08915352995713145	0.4129200260659298	5.728736264443772	15.000721221853986
38	-669.7671528090628	-688.9527998900194	-669.7671528090628	-19.185647080956585	-669.7671528090628	15.000721221853986	0.05299171533494509	1.388722880576023	0.07533296698655993	0.006862251622203769	1.1075335966637405	-21.147945590230023	0.17302689295951923	0.3812371122742757	5.728736264443772	15.000721221853986
39	-669.1189280759675	-686.8646464966281	-669.1189280759675	-17.74571842066069	-669.1189280759675	15.000721221853986	0.05299171533494509	0.9901233873406423	0.06261548530007018	0.003837999548694367	1.043363843271735	-20.907502364013574	0.09205596884769311	0.44038097811630544	5.728736264443772	15.000721221853986
40	-668.869579822053	-686.7111415541972	-668.869579822053	-17.841561732144157	-668.869579822053	15.000721221853986	0.05299171533494509	0.9362458677620912	0.06596935245938922	0.0034978444461841044	0.9730834470667405	-21.170183280541977	0.14027271359676596	0.28077935499600004	5.728736264443772	15.000721221853986
41	-668.8622343516525	-685.9874516338331	-668.8622343516525	-17.12521728218055	-668.8622343516525	15.000721221853986	0.052887710908213335	0.9122831161540086	0.0631579246375164	0.0035926158647781917	0.9804338919453014	-20.52852210629073	0.11397535955774099	0.30559925266472143	5.728736264443772	15.000721221853986
42	-668.7671626764172	-686.3475570234363	-668.7671626764172	-17.580394347019062	-668.7671626764172	15.000721221853986	0.052887710908213335	0.8648588064639116	0.0677066880270155	0.003316238428967195	0.8875637666091063	-21.13245713177937	0.12511212122956483	0.5421166996672656	5.728736264443772	15.000721221853986
43	-668.7591257830439	-686.0662912473945	-668.7591257830439	-17.307165464350557	-668.7591257830439	15.000721221853986	0.052887710908213335	0.8648588064639116	0.06428535037644884	0.0031737730727174496	0.9718952048958982	-20.859228249110863	0.11094831223386575	0.6495889083582149	5.728736264443772	15.000721221853986
44	-668.7367455217291	-685.9240050460555	-668.7367455217291	-17.18725952432641	-668.7367455217291	15.001149089396787	0.047661269256659825	0.7022336021540149	0.06210425309286081	0.0016267958887299706	0.7376947615068103	-20.860932862481967	0.14161306245965735	0.2793995398955949	5.328613524873646	15.001149089396787
45	-668.6428537802516	-685.5145326809193	-668.6428537802516	-16.871678900667728	-668.6428537802516	14.998957608954584	0.048243682014072364	0.7561149051763788	0.062092867856625926	0.0013265521151925965	0.6633847597958418	-20.487142347132558	0.051319939768643075	0.7602018631452896	5.445527199995234	14.998957608954584
