"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-1-0.1/1","JC69","strict","birth_death","twin",-8562.92910480359,5.60739020149835,2.00874493539197e-07,7.6503340013421
"2","data/0.2-0-1-0.1/1","JC69","strict","yule","twin",-8547.50851979743,4.24616661602738,0.999999471990091,6.81362156445806
"3","data/0.2-0-1-0.1/1","HKY","strict","yule","twin",-8562.44206976171,5.43813300688679,3.26919951619115e-07,9.9457832747082
"4","data/0.2-0-1-0.1/1","HKY","strict","birth_death","twin",-8569.76674668164,6.30338694723478,2.15463970155807e-10,7.65184479425856
"5","data/0.2-0-1-0.1/1","JC69","strict","birth_death","true",-8490.34711248683,5.84979672429162,0.298548482280033,6.39574428441817
"6","data/0.2-0-1-0.1/1","JC69","strict","yule","true",-8489.49291980984,5.8023280453079,0.701432741155597,9.2444671405878
"7","data/0.2-0-1-0.1/1","HKY","strict","yule","true",-8500.32019382083,6.30514896826697,1.3923892985761e-05,8.60991804024094
"8","data/0.2-0-1-0.1/1","HKY","strict","birth_death","true",-8501.37427075083,7.67347076194754,4.85267138491976e-06,6.36635688762214
"9","data/0.2-0-1-0.1/2","JC69","strict","birth_death","twin",-7031.81667328183,4.28951106606403,0.0769455264225676,7.56919609991195
"10","data/0.2-0-1-0.1/2","JC69","strict","yule","twin",-7029.33210552909,4.09621945251904,0.923033450755031,3.6334399357004
"11","data/0.2-0-1-0.1/2","HKY","strict","yule","twin",-7040.02192823856,4.93665783977857,2.10225998984652e-05,6.75882506297837
"12","data/0.2-0-1-0.1/2","HKY","strict","birth_death","twin",-7051.47809627148,6.12386700838019,2.22502996679755e-10,7.37280752697855
"13","data/0.2-0-1-0.1/2","JC69","strict","birth_death","true",-6764.46682129169,4.95027097755357,0.177580949604704,6.15933933337897
"14","data/0.2-0-1-0.1/2","JC69","strict","yule","true",-6774.16294250238,5.84804836091326,1.09250752339471e-05,5.68219781685506
"15","data/0.2-0-1-0.1/2","HKY","strict","yule","true",-6783.12130818075,6.39660154386498,1.40558027968309e-09,5.88129445618047
"16","data/0.2-0-1-0.1/2","HKY","strict","birth_death","true",-6762.93401107781,4.1499238953872,0.822408123914482,7.41466839958781
