"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",3
"2","data/0.2-0-0-0.1/2",2
"3","data/0.2-0-0-0.15/17",2
"4","data/0.2-0-0-0.15/18",3
"5","data/0.2-0-0-0.2/33",4
"6","data/0.2-0-0-0.2/34",3
"7","data/0.2-0-0.5-0.1/5",3
"8","data/0.2-0-0.5-0.1/6",13
"9","data/0.2-0-0.5-0.15/21",3
"10","data/0.2-0-0.5-0.15/22",12
"11","data/0.2-0-0.5-0.2/37",15
"12","data/0.2-0-0.5-0.2/38",5
"13","data/0.2-0-1-0.1/10",5
"14","data/0.2-0-1-0.1/9",3
"15","data/0.2-0-1-0.15/25",3
"16","data/0.2-0-1-0.15/26",6
"17","data/0.2-0-1-0.2/41",8
"18","data/0.2-0-1-0.2/42",18
"19","data/0.2-0-2-0.1/13",9
"20","data/0.2-0-2-0.1/14",29
"21","data/0.2-0-2-0.15/29",16
"22","data/0.2-0-2-0.15/30",3
"23","data/0.2-0-2-0.2/45",6
"24","data/0.2-0-2-0.2/46",16
"25","data/0.2-0.15-0-0.1/3",3
"26","data/0.2-0.15-0-0.1/4",4
"27","data/0.2-0.15-0-0.15/19",3
"28","data/0.2-0.15-0-0.15/20",3
"29","data/0.2-0.15-0-0.2/35",3
"30","data/0.2-0.15-0-0.2/36",5
"31","data/0.2-0.15-0.5-0.1/7",11
"32","data/0.2-0.15-0.5-0.1/8",3
"33","data/0.2-0.15-0.5-0.15/23",8
"34","data/0.2-0.15-0.5-0.15/24",5
"35","data/0.2-0.15-0.5-0.2/39",3
"36","data/0.2-0.15-0.5-0.2/40",8
"37","data/0.2-0.15-1-0.1/11",5
"38","data/0.2-0.15-1-0.1/12",3
"39","data/0.2-0.15-1-0.15/27",7
"40","data/0.2-0.15-1-0.15/28",4
"41","data/0.2-0.15-1-0.2/43",5
"42","data/0.2-0.15-1-0.2/44",2
"43","data/0.2-0.15-2-0.1/15",17
"44","data/0.2-0.15-2-0.1/16",4
"45","data/0.2-0.15-2-0.15/31",10
"46","data/0.2-0.15-2-0.15/32",18
"47","data/0.2-0.15-2-0.2/47",26
"48","data/0.2-0.15-2-0.2/48",7
