"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0.1/1","JC69","strict","birth_death","twin",-1963.00449128206,2.33920115145617,1,4.0669069057145
"2","data/0.2-0-0-0.1/1","JC69","strict","yule","twin",-2027.96496591025,2.14688959637637,6.13796386222539e-29,3.28667827018013
"3","data/0.2-0-0-0.1/1","HKY","strict","yule","twin",-2029.92715530371,2.41497036946329,8.62693053628041e-30,4.70083789268801
"4","data/0.2-0-0-0.1/1","HKY","strict","birth_death","twin",-2031.19399797927,2.58212239498578,2.4303762788042e-30,6.45766680029692
"5","data/0.2-0-0-0.1/1","JC69","strict","birth_death","true",-1927.47274828378,2.39920740979186,4.50532242851582e-22,3.18803751362483
"6","data/0.2-0-0-0.1/1","JC69","strict","yule","true",-1879.62894806421,4.04343238251969,0.270410969883437,4.01378808408024
"7","data/0.2-0-0-0.1/1","HKY","strict","yule","true",-1941.04230179944,4.2236855134988,5.76160742183033e-28,5.41609031792305
"8","data/0.2-0-0-0.1/1","HKY","strict","birth_death","true",-1878.63640957348,2.80387952046498,0.729589030116563,14.7105321825595
"9","data/0.2-0-0-0.1/2","JC69","strict","birth_death","twin",-1386.29436145168,1.96218792425601e-06,0.294184489474539,2.8037933574496
"10","data/0.2-0-0-0.1/2","JC69","strict","yule","twin",-1386.29436134555,1.1452131071028e-06,0.294184520696228,2.9578729844125
"11","data/0.2-0-0-0.1/2","HKY","strict","yule","twin",-1386.64082872894,0.081065423390408,0.208041963820871,3.13016018065395
"12","data/0.2-0-0-0.1/2","HKY","strict","birth_death","twin",-1386.66246515397,0.0904412855372714,0.203589026008363,3.00779922265952
"13","data/0.2-0-0-0.1/2","JC69","strict","birth_death","true",-1386.29436145168,1.96218792425601e-06,0.294184489474539,2.8037933574496
"14","data/0.2-0-0-0.1/2","JC69","strict","yule","true",-1386.29436134555,1.1452131071028e-06,0.294184520696228,2.9578729844125
"15","data/0.2-0-0-0.1/2","HKY","strict","yule","true",-1386.64082872894,0.081065423390408,0.208041963820871,3.13016018065395
"16","data/0.2-0-0-0.1/2","HKY","strict","birth_death","true",-1386.66246515397,0.0904412855372714,0.203589026008363,3.00779922265952
"17","data/0.2-0-0-0.15/17","JC69","strict","birth_death","twin",-1386.29436174255,3.44154284530604e-06,0.333058073392873,2.92643075399266
"18","data/0.2-0-0-0.15/17","JC69","strict","yule","twin",-1386.29436121194,4.43896675591683e-07,0.333058250118268,2.71939760363644
"19","data/0.2-0-0-0.15/17","HKY","strict","yule","twin",-1386.37721505091,0.222666186979739,0.306575348680953,3.9242381123831
"20","data/0.2-0-0-0.15/17","HKY","strict","birth_death","twin",-1388.79548690832,1.25570056450083,0.0273083278079056,5.24240177913525
"21","data/0.2-0-0-0.15/17","JC69","strict","birth_death","true",-1386.29436174255,3.44154284530604e-06,0.333058073392873,2.92643075399266
"22","data/0.2-0-0-0.15/17","JC69","strict","yule","true",-1386.29436121194,4.43896675591683e-07,0.333058250118268,2.71939760363644
"23","data/0.2-0-0-0.15/17","HKY","strict","yule","true",-1386.37721505091,0.222666186979739,0.306575348680953,3.9242381123831
"24","data/0.2-0-0-0.15/17","HKY","strict","birth_death","true",-1388.79548690832,1.25570056450083,0.0273083278079056,5.24240177913525
"25","data/0.2-0-0-0.15/18","JC69","strict","birth_death","twin",-2020.12241139648,2.06675091940441,0.931664677927054,2.89650963349563
"26","data/0.2-0-0-0.15/18","JC69","strict","yule","twin",-2023.26977691587,2.57188278179465,0.0400291301544362,3.26784327381347
"27","data/0.2-0-0-0.15/18","HKY","strict","yule","twin",-2079.17909072567,0.0892257399533181,2.095413213733e-26,3.33266611444951
"28","data/0.2-0-0-0.15/18","HKY","strict","birth_death","twin",-2023.61630378237,2.42012259897286,0.0283061919185101,5.16255399390441
"29","data/0.2-0-0-0.15/18","JC69","strict","birth_death","true",-1969.63764076766,1.69457253993348,7.56147724188926e-19,4.28278194827396
"30","data/0.2-0-0-0.15/18","JC69","strict","yule","true",-1971.50368433962,2.21059976152116,1.17002252587096e-19,3.49063040964787
"31","data/0.2-0-0-0.15/18","HKY","strict","yule","true",-1972.59518537552,2.66701242707307,3.9279083534129e-20,4.23290687825691
"32","data/0.2-0-0-0.15/18","HKY","strict","birth_death","true",-1927.91159057424,4.78400036054749,1,7.49964370324521
"33","data/0.2-0-0-0.2/33","JC69","strict","birth_death","twin",-2138.12617932967,3.60229103875833,6.99838754110933e-31,3.74826994762358
"34","data/0.2-0-0-0.2/33","JC69","strict","yule","twin",-2068.69172449851,4.48382788464344,0.99999671959718,8.27018922753446
"35","data/0.2-0-0-0.2/33","HKY","strict","yule","twin",-2081.31926555019,5.4258834359052,3.28040282016405e-06,8.52176980128553
"36","data/0.2-0-0-0.2/33","HKY","strict","birth_death","twin",-2773.91236094981,0.627701283877077,5.32804200732557e-307,5.81605127907306
"37","data/0.2-0-0-0.2/33","JC69","strict","birth_death","true",-2110.61840731221,3.69365392008908,0.999999912189947,4.67930288205913
"38","data/0.2-0-0-0.2/33","JC69","strict","yule","true",-2129.73788001423,5.90980304631738,4.97185518501307e-09,4.35735978352101
"39","data/0.2-0-0-0.2/33","HKY","strict","yule","true",-2772.84843447504,0.220884456649696,2.49547609750479e-288,3.90209685867876
"40","data/0.2-0-0-0.2/33","HKY","strict","birth_death","true",-2126.92478377896,4.83158446094836,8.28381979062989e-08,9.17524925013307
"41","data/0.2-0-0-0.2/34","JC69","strict","birth_death","twin",-1931.19110412062,3.33799588884235,0.00018731643847079,3.10370768765515
"42","data/0.2-0-0-0.2/34","JC69","strict","yule","twin",-1922.6085802677,2.18675573864962,0.999812683561529,3.58681053268169
"43","data/0.2-0-0-0.2/34","HKY","strict","yule","twin",-2079.42371799258,0.149314083824974,7.86990788453174e-69,3.61623852288714
"44","data/0.2-0-0-0.2/34","HKY","strict","birth_death","twin",-2081.9215006731,0.595358039371824,6.47435358518737e-70,5.82081277880408
"45","data/0.2-0-0-0.2/34","JC69","strict","birth_death","true",-1702.23960997876,2.75552366241021,0.238606143921834,4.55136681106979
"46","data/0.2-0-0-0.2/34","JC69","strict","yule","true",-1701.0792734633,2.33889315303619,0.761393856078166,3.97617852335671
"47","data/0.2-0-0-0.2/34","HKY","strict","yule","true",-2078.23064825855,0.0942399638070314,1.22137338556737e-164,3.26535402052982
"48","data/0.2-0-0-0.2/34","HKY","strict","birth_death","true",-2079.41569597001,0.321083258155523,3.73412429898885e-165,4.23024648841021
"49","data/0.2-0-0.5-0.1/5","JC69","strict","birth_death","twin",-2004.80812387309,2.09282098069495,8.1640712876072e-32,3.82264896959941
"50","data/0.2-0-0.5-0.1/5","JC69","strict","yule","twin",-2005.09927073852,2.20763759321471,6.10187506366071e-32,4.0454687742584
"51","data/0.2-0-0.5-0.1/5","HKY","strict","yule","twin",-1933.22514442407,2.16109483856978,0.99999945007396,5.40535918128657
"52","data/0.2-0-0.5-0.1/5","HKY","strict","birth_death","twin",-1947.63862591439,4.22250565193858,5.49926040129259e-07,6.31988187036057
"53","data/0.2-0-0.5-0.1/5","JC69","strict","birth_death","true",-1855.11892865026,2.65698316311759,0.289214287996783,3.62292803862434
"54","data/0.2-0-0.5-0.1/5","JC69","strict","yule","true",-1902.86504547771,2.74019035462552,5.31305943297328e-22,2.77743572029401
"55","data/0.2-0-0.5-0.1/5","HKY","strict","yule","true",-1854.219804237,2.03802406548244,0.710729784448503,5.65161544416393
"56","data/0.2-0-0.5-0.1/5","HKY","strict","birth_death","true",-1863.66979463614,3.75135281328832,5.59275547140014e-05,4.17710343631674
"57","data/0.2-0-0.5-0.1/6","JC69","strict","birth_death","twin",-5280.24292951389,7.27091441670898,0.0323083100748469,8.27111174590593
"58","data/0.2-0-0.5-0.1/6","JC69","strict","yule","twin",-5276.8433627499,6.75484437042852,0.967670115083269,8.25066302927542
"59","data/0.2-0-0.5-0.1/6","HKY","strict","yule","twin",-5287.55448135961,8.11045227236417,2.15748418836658e-05,9.02618755540598
"60","data/0.2-0-0.5-0.1/6","HKY","strict","birth_death","twin",-9010.23110571945,0.906564127717542,0,3.87529145393216
"61","data/0.2-0-0.5-0.1/6","JC69","strict","birth_death","true",-4947.82345052863,7.69600086825613,1.64333391058852e-10,5.07991109706696
"62","data/0.2-0-0.5-0.1/6","JC69","strict","yule","true",-4925.29432664951,6.55917723680775,0.999999999835617,7.95550193906167
"63","data/0.2-0-0.5-0.1/6","HKY","strict","yule","true",-4955.93913034711,7.96700665623519,4.91055811387212e-14,9.79963991304247
"64","data/0.2-0-0.5-0.1/6","HKY","strict","birth_death","true",-9010.23979053989,0.940918943861177,0,5.32917757987988
"65","data/0.2-0-0.5-0.15/21","JC69","strict","birth_death","twin",-2019.9577120367,1.3284161424322,5.42949898731348e-23,2.88142087351363
"66","data/0.2-0-0.5-0.15/21","JC69","strict","yule","twin",-2021.09707222538,1.45842969620286,1.73756841544232e-23,2.89935522198302
"67","data/0.2-0-0.5-0.15/21","HKY","strict","yule","twin",-2080.2530416006,0.666908471638951,3.53859485985005e-49,5.02149466091532
"68","data/0.2-0-0.5-0.15/21","HKY","strict","birth_death","twin",-1968.69010175999,4.13259272951922,1,4.12083796458144
"69","data/0.2-0-0.5-0.15/21","JC69","strict","birth_death","true",-1818.50498848047,2.28001744623667,1,5.50495130434847
"70","data/0.2-0-0.5-0.15/21","JC69","strict","yule","true",-1872.42940876636,2.3678973205443,3.80997240363837e-24,3.42367536656339
"71","data/0.2-0-0.5-0.15/21","HKY","strict","yule","true",-2075.66236554065,0.409490157065366,2.0795538076653e-112,4.29561419506389
"72","data/0.2-0-0.5-0.15/21","HKY","strict","birth_death","true",-1873.22967239925,3.17876526189583,1.71147969161518e-24,8.61317836755417
"73","data/0.2-0-0.5-0.15/22","JC69","strict","birth_death","twin",-5660.56093143527,7.1917834399358,0.000192418889523485,7.46184903504525
"74","data/0.2-0-0.5-0.15/22","JC69","strict","yule","twin",-5652.00533228795,5.656666929034,0.999763329173079,12.3056584955159
"75","data/0.2-0-0.5-0.15/22","HKY","strict","yule","twin",-5664.00482692841,8.24929773074456,6.14586328351304e-06,4.99634276997497
"76","data/0.2-0-0.5-0.15/22","HKY","strict","birth_death","twin",-5662.1802324521,7.51113677185677,3.81060741135437e-05,9.1046105720358
"77","data/0.2-0-0.5-0.15/22","JC69","strict","birth_death","true",-5403.0955577461,7.06571841634488,7.54900134923014e-09,8.30201562025791
"78","data/0.2-0-0.5-0.15/22","JC69","strict","yule","true",-5384.39370719959,6.88293143881036,0.999999992450999,6.16685597969807
"79","data/0.2-0-0.5-0.15/22","HKY","strict","yule","true",-5423.44051873937,7.76310542212698,1.10200917181503e-17,11.297046432133
"80","data/0.2-0-0.5-0.15/22","HKY","strict","birth_death","true",-5425.98456652016,9.45144428186623,8.65604082755764e-19,9.46147926870373
"81","data/0.2-0-0.5-0.2/37","JC69","strict","birth_death","twin",-5880.89712800649,8.10687009106668,0.999546921725769,12.0414644555508
"82","data/0.2-0-0.5-0.2/37","JC69","strict","yule","twin",-5894.18420763058,9.20383504947728,1.69550011927008e-06,10.6922535656558
"83","data/0.2-0-0.5-0.2/37","HKY","strict","yule","twin",-5892.93638511972,7.46484611134274,5.90500480748266e-06,9.58307074180494
"84","data/0.2-0-0.5-0.2/37","HKY","strict","birth_death","twin",-5888.61303803839,7.5493680728436,0.000445477769304222,11.9568126667388
"85","data/0.2-0-0.5-0.2/37","JC69","strict","birth_death","true",-5968.76867642934,7.31319308419959,0.999998356481592,5.46819256631253
"86","data/0.2-0-0.5-0.2/37","JC69","strict","yule","true",-5982.0873509292,8.48607048479999,1.64351035484369e-06,9.01847949868692
"87","data/0.2-0-0.5-0.2/37","HKY","strict","yule","true",-5994.31366656003,7.89235849762496,8.05287637856791e-12,5.45670044903002
"88","data/0.2-0-0.5-0.2/37","HKY","strict","birth_death","true",-6003.90764250874,7.94105200825546,5.48706643100079e-16,10.99278726858
"89","data/0.2-0-0.5-0.2/38","JC69","strict","birth_death","twin",-2192.76536784029,3.89760253510435,0.000146566768307054,6.95235847223858
"90","data/0.2-0-0.5-0.2/38","JC69","strict","yule","twin",-2183.93748517935,2.62432376076341,0.999853194739124,7.20469835769688
"91","data/0.2-0-0.5-0.2/38","HKY","strict","yule","twin",-2200.92736030483,4.67482866293212,4.18145303618402e-08,7.35320247907572
"92","data/0.2-0-0.5-0.2/38","HKY","strict","birth_death","twin",-2199.37903612924,5.11583863101845,1.96678038810586e-07,6.94001096937592
"93","data/0.2-0-0.5-0.2/38","JC69","strict","birth_death","true",-2219.3245278732,3.93721272387919,0.897867446656065,3.75814733593826
"94","data/0.2-0-0.5-0.2/38","JC69","strict","yule","true",-2221.49829915027,4.15416551794884,0.102130475848233,6.18702216616608
"95","data/0.2-0-0.5-0.2/38","HKY","strict","yule","true",-2232.3197099458,4.90071911025627,2.03927765460701e-06,7.7821502389514
"96","data/0.2-0-0.5-0.2/38","HKY","strict","birth_death","true",-2236.29675304892,5.46387452206308,3.82180466763839e-08,10.3585815898432
