"","folder","n_taxa"
"1","data/0.2-0-0-0/1",9
"2","data/0.2-0-0-0/10",13
"3","data/0.2-0-0-0/11",3
"4","data/0.2-0-0-0/12",3
"5","data/0.2-0-0-0/13",5
"6","data/0.2-0-0-0/14",9
"7","data/0.2-0-0-0/15",22
"8","data/0.2-0-0-0/16",5
"9","data/0.2-0-0-0/17",4
"10","data/0.2-0-0-0/18",4
"11","data/0.2-0-0-0/19",2
"12","data/0.2-0-0-0/2",3
"13","data/0.2-0-0-0/20",7
"14","data/0.2-0-0-0/3",3
"15","data/0.2-0-0-0/4",12
"16","data/0.2-0-0-0/5",3
"17","data/0.2-0-0-0/6",20
"18","data/0.2-0-0-0/7",9
"19","data/0.2-0-0-0/8",5
"20","data/0.2-0-0-0/9",4
"21","data/0.2-0-0.5-0.1/41",4
"22","data/0.2-0-0.5-0.1/42",18
"23","data/0.2-0-0.5-0.1/43",11
"24","data/0.2-0-0.5-0.1/44",2
"25","data/0.2-0-0.5-0.1/45",3
"26","data/0.2-0-0.5-0.1/46",10
"27","data/0.2-0-0.5-0.1/47",11
"28","data/0.2-0-0.5-0.1/48",34
"29","data/0.2-0-0.5-0.1/49",6
"30","data/0.2-0-0.5-0.1/50",9
"31","data/0.2-0-0.5-0.1/51",13
"32","data/0.2-0-0.5-0.1/52",9
"33","data/0.2-0-0.5-0.1/53",6
"34","data/0.2-0-0.5-0.1/54",6
"35","data/0.2-0-0.5-0.1/55",27
"36","data/0.2-0-0.5-0.1/56",14
"37","data/0.2-0-0.5-0.1/57",6
"38","data/0.2-0-0.5-0.1/58",3
"39","data/0.2-0-0.5-0.1/59",17
"40","data/0.2-0-0.5-0.1/60",13
"41","data/0.2-0-0.5-0.15/161",6
"42","data/0.2-0-0.5-0.15/162",2
"43","data/0.2-0-0.5-0.15/163",10
"44","data/0.2-0-0.5-0.15/164",11
"45","data/0.2-0-0.5-0.15/165",8
"46","data/0.2-0-0.5-0.15/166",10
"47","data/0.2-0-0.5-0.15/167",6
"48","data/0.2-0-0.5-0.15/168",9
"49","data/0.2-0-0.5-0.15/169",20
"50","data/0.2-0-0.5-0.15/170",14
"51","data/0.2-0-0.5-0.15/171",16
"52","data/0.2-0-0.5-0.15/172",8
"53","data/0.2-0-0.5-0.15/173",14
"54","data/0.2-0-0.5-0.15/174",7
"55","data/0.2-0-0.5-0.15/175",23
"56","data/0.2-0-0.5-0.15/176",3
"57","data/0.2-0-0.5-0.15/177",8
"58","data/0.2-0-0.5-0.15/178",12
"59","data/0.2-0-0.5-0.15/179",12
"60","data/0.2-0-0.5-0.15/180",14
"61","data/0.2-0-0.5-0.2/281",11
"62","data/0.2-0-0.5-0.2/282",14
"63","data/0.2-0-0.5-0.2/283",8
"64","data/0.2-0-0.5-0.2/284",6
"65","data/0.2-0-0.5-0.2/285",6
"66","data/0.2-0-0.5-0.2/286",3
"67","data/0.2-0-0.5-0.2/287",5
"68","data/0.2-0-0.5-0.2/288",16
"69","data/0.2-0-0.5-0.2/289",19
"70","data/0.2-0-0.5-0.2/290",53
"71","data/0.2-0-0.5-0.2/291",21
"72","data/0.2-0-0.5-0.2/292",5
"73","data/0.2-0-0.5-0.2/293",18
"74","data/0.2-0-0.5-0.2/294",11
"75","data/0.2-0-0.5-0.2/295",11
"76","data/0.2-0-0.5-0.2/296",20
"77","data/0.2-0-0.5-0.2/297",10
"78","data/0.2-0-0.5-0.2/298",15
"79","data/0.2-0-0.5-0.2/299",8
