"","folder","n_mb_species","f_mb_species"
"1","data/0.2-0-0-0/1",0,0
"2","data/0.2-0-0-0/10",0,0
"3","data/0.2-0-0-0/11",0,0
"4","data/0.2-0-0-0/12",0,0
"5","data/0.2-0-0-0/13",0,0
"6","data/0.2-0-0-0/14",0,0
"7","data/0.2-0-0-0/15",0,0
"8","data/0.2-0-0-0/16",0,0
"9","data/0.2-0-0-0/17",0,0
"10","data/0.2-0-0-0/18",0,0
"11","data/0.2-0-0-0/19",0,0
"12","data/0.2-0-0-0/2",0,0
"13","data/0.2-0-0-0/20",0,0
"14","data/0.2-0-0-0/3",0,0
"15","data/0.2-0-0-0/4",0,0
"16","data/0.2-0-0-0/5",0,0
"17","data/0.2-0-0-0/6",0,0
"18","data/0.2-0-0-0/7",0,0
"19","data/0.2-0-0-0/8",0,0
"20","data/0.2-0-0-0/9",0,0
"21","data/0.2-0-0.5-0.1/41",0,0
"22","data/0.2-0-0.5-0.1/42",2,0.111111111111111
"23","data/0.2-0-0.5-0.1/43",0,0
"24","data/0.2-0-0.5-0.1/44",0,0
"25","data/0.2-0-0.5-0.1/45",0,0
"26","data/0.2-0-0.5-0.1/46",0,0
"27","data/0.2-0-0.5-0.1/47",0,0
"28","data/0.2-0-0.5-0.1/48",3,0.0882352941176471
"29","data/0.2-0-0.5-0.1/49",0,0
"30","data/0.2-0-0.5-0.1/50",0,0
"31","data/0.2-0-0.5-0.1/51",2,0.153846153846154
"32","data/0.2-0-0.5-0.1/52",0,0
"33","data/0.2-0-0.5-0.1/53",0,0
"34","data/0.2-0-0.5-0.1/54",0,0
"35","data/0.2-0-0.5-0.1/55",6,0.222222222222222
"36","data/0.2-0-0.5-0.1/56",0,0
"37","data/0.2-0-0.5-0.1/57",0,0
"38","data/0.2-0-0.5-0.1/58",0,0
"39","data/0.2-0-0.5-0.1/59",4,0.235294117647059
"40","data/0.2-0-0.5-0.1/60",0,0
"41","data/0.2-0-0.5-0.15/161",0,0
"42","data/0.2-0-0.5-0.15/162",0,0
"43","data/0.2-0-0.5-0.15/163",0,0
"44","data/0.2-0-0.5-0.15/164",0,0
"45","data/0.2-0-0.5-0.15/165",0,0
"46","data/0.2-0-0.5-0.15/166",0,0
"47","data/0.2-0-0.5-0.15/167",0,0
"48","data/0.2-0-0.5-0.15/168",0,0
"49","data/0.2-0-0.5-0.15/169",5,0.25
"50","data/0.2-0-0.5-0.15/170",2,0.142857142857143
"51","data/0.2-0-0.5-0.15/171",0,0
"52","data/0.2-0-0.5-0.15/172",2,0.25
"53","data/0.2-0-0.5-0.15/173",3,0.214285714285714
"54","data/0.2-0-0.5-0.15/174",2,0.285714285714286
"55","data/0.2-0-0.5-0.15/175",5,0.217391304347826
"56","data/0.2-0-0.5-0.15/176",0,0
"57","data/0.2-0-0.5-0.15/177",0,0
"58","data/0.2-0-0.5-0.15/178",3,0.25
"59","data/0.2-0-0.5-0.15/179",4,0.333333333333333
"60","data/0.2-0-0.5-0.15/180",0,0
"61","data/0.2-0-0.5-0.2/281",2,0.181818181818182
"62","data/0.2-0-0.5-0.2/282",0,0
"63","data/0.2-0-0.5-0.2/283",4,0.5
"64","data/0.2-0-0.5-0.2/284",0,0
"65","data/0.2-0-0.5-0.2/285",0,0
"66","data/0.2-0-0.5-0.2/286",0,0
"67","data/0.2-0-0.5-0.2/287",0,0
"68","data/0.2-0-0.5-0.2/288",5,0.3125
"69","data/0.2-0-0.5-0.2/289",5,0.263157894736842
"70","data/0.2-0-0.5-0.2/290",22,0.415094339622642
"71","data/0.2-0-0.5-0.2/291",6,0.285714285714286
"72","data/0.2-0-0.5-0.2/292",0,0
"73","data/0.2-0-0.5-0.2/293",5,0.277777777777778
"74","data/0.2-0-0.5-0.2/294",0,0
"75","data/0.2-0-0.5-0.2/295",0,0
"76","data/0.2-0-0.5-0.2/296",4,0.2
"77","data/0.2-0-0.5-0.2/297",0,0
"78","data/0.2-0-0.5-0.2/298",4,0.266666666666667
"79","data/0.2-0-0.5-0.2/299",0,0
"80","data/0.2-0-0.5-0.2/300",9,0.310344827586207
"81","data/0.2-0-1-0.1/100",0,0
"82","data/0.2-0-1-0.1/81",0,0
"83","data/0.2-0-1-0.1/82",2,0.5
"84","data/0.2-0-1-0.1/83",0,0
"85","data/0.2-0-1-0.1/84",0,0
"86","data/0.2-0-1-0.1/85",0,0
"87","data/0.2-0-1-0.1/86",2,0.133333333333333
"88","data/0.2-0-1-0.1/87",0,0
"89","data/0.2-0-1-0.1/88",2,0.2
"90","data/0.2-0-1-0.1/89",2,0.153846153846154
"91","data/0.2-0-1-0.1/90",4,0.173913043478261
"92","data/0.2-0-1-0.1/91",4,0.266666666666667
"93","data/0.2-0-1-0.1/92",4,0.333333333333333
"94","data/0.2-0-1-0.1/93",0,0
"95","data/0.2-0-1-0.1/94",13,0.393939393939394
"96","data/0.2-0-1-0.1/95",0,0
"97","data/0.2-0-1-0.1/96",2,0.166666666666667
"98","data/0.2-0-1-0.1/97",0,0
"99","data/0.2-0-1-0.1/98",3,0.25
"100","data/0.2-0-1-0.1/99",0,0
"101","data/0.2-0-1-0.15/201",0,0
"102","data/0.2-0-1-0.15/202",0,0
"103","data/0.2-0-1-0.15/203",0,0
"104","data/0.2-0-1-0.15/204",0,0
"105","data/0.2-0-1-0.15/205",4,0.5
"106","data/0.2-0-1-0.15/206",5,0.185185185185185
"107","data/0.2-0-1-0.15/207",0,0
"108","data/0.2-0-1-0.15/208",6,0.171428571428571
"109","data/0.2-0-1-0.15/209",0,0
"110","data/0.2-0-1-0.15/210",0,0
"111","data/0.2-0-1-0.15/211",0,0
"112","data/0.2-0-1-0.15/212",2,0.222222222222222
"113","data/0.2-0-1-0.15/213",0,0
"114","data/0.2-0-1-0.15/214",14,0.538461538461538
"115","data/0.2-0-1-0.15/215",4,0.235294117647059
"116","data/0.2-0-1-0.15/216",11,0.611111111111111
"117","data/0.2-0-1-0.15/217",2,0.285714285714286
"118","data/0.2-0-1-0.15/218",4,0.25
"119","data/0.2-0-1-0.15/219",11,0.647058823529412
"120","data/0.2-0-1-0.15/220",7,0.388888888888889
"121","data/0.2-0-1-0.2/321",11,0.407407407407407
"122","data/0.2-0-1-0.2/322",11,0.379310344827586
"123","data/0.2-0-1-0.2/323",25,0.480769230769231
"124","data/0.2-0-1-0.2/324",2,0.285714285714286
"125","data/0.2-0-1-0.2/325",0,0
