"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0/1","JC69","strict","birth_death","twin",-8529.12194026687,6.16007602754416,0.999897198555584,4.97556253879948
"2","data/0.2-0-0-0/1","JC69","strict","yule","twin",-8538.58103708259,6.47592731754895,7.79689706619089e-05,9.64666019157318
"3","data/0.2-0-0-0/1","HKY","strict","yule","twin",-12479.0181176472,1.35072426648359,0,3.57223663906181
"4","data/0.2-0-0-0/1","HKY","strict","birth_death","twin",-8539.72519579591,6.17552133829155,2.48324737542399e-05,9.27226748054479
"5","data/0.2-0-0-0/1","JC69","strict","birth_death","true",-7859.58189826336,7.86208494688324,3.10023100329128e-07,4.29769995623769
"6","data/0.2-0-0-0/1","JC69","strict","yule","true",-7862.62652145565,7.87587690342244,1.47615174123919e-08,12.2205134327786
"7","data/0.2-0-0-0/1","HKY","strict","yule","true",-12477.8820763298,0.615128192021962,0,5.16098902131896
"8","data/0.2-0-0-0/1","HKY","strict","birth_death","true",-7844.59527956309,5.91110176246044,0.999999675215382,5.44849777411202
"9","data/0.2-0-0-0/10","JC69","strict","birth_death","twin",-11322.5863300243,7.24630038378129,0.0486158948703889,5.40575766685243
"10","data/0.2-0-0-0/10","JC69","strict","yule","twin",-11322.0031441047,6.29030502637619,0.0871069306613831,5.6748835696502
"11","data/0.2-0-0-0/10","HKY","strict","yule","twin",-11319.7083870356,6.35606775602667,0.864277174468111,9.40436271677877
"12","data/0.2-0-0-0/10","HKY","strict","birth_death","twin",-11349.3402255042,8.17116945447007,1.16871631811931e-13,11.9652714244209
"13","data/0.2-0-0-0/10","JC69","strict","birth_death","true",-11704.1398867575,7.14820431779568,0.00297059439635205,7.10941563008183
"14","data/0.2-0-0-0/10","JC69","strict","yule","true",-11698.3238686334,6.59217335581741,0.997029332543782,6.58758973171164
"15","data/0.2-0-0-0/10","HKY","strict","yule","true",-11719.453792401,7.70369046612022,6.6389384168908e-10,14.0768567226792
"16","data/0.2-0-0-0/10","HKY","strict","birth_death","true",-11714.7620087121,8.21214977824781,7.23959725154258e-08,9.40816811600487
"17","data/0.2-0-0-0/11","JC69","strict","birth_death","twin",-4022.91324663315,1.25920318384661,0.99263214318554,4.65069773011741
"18","data/0.2-0-0-0/11","JC69","strict","yule","twin",-4028.10333227881,2.36183008266879,0.00553047938470981,4.88612280176361
"19","data/0.2-0-0-0/11","HKY","strict","yule","twin",-4029.35150544559,2.56300117017435,0.00158740615171819,6.4849324353053
"20","data/0.2-0-0-0/11","HKY","strict","birth_death","twin",-4031.20001603419,3.18497840450291,0.000249971278031481,5.37149148357353
"21","data/0.2-0-0-0/11","JC69","strict","birth_death","true",-3905.06046455731,0.390221590645914,0.999990059625188,4.36704058836303
"22","data/0.2-0-0-0/11","JC69","strict","yule","true",-3916.91960809627,3.51288088990614,7.07351182452369e-06,2.92700687559205
"23","data/0.2-0-0-0/11","HKY","strict","yule","true",-4157.28146732001,0.852563515687699,2.89604938211615e-110,4.69944842893497
"24","data/0.2-0-0-0/11","HKY","strict","birth_death","true",-3917.82274677845,3.30164757521629,2.86686298790669e-06,5.82197472480247
"25","data/0.2-0-0-0/12","JC69","strict","birth_death","twin",-3365.21837937409,3.079991325256,0.999781769390079,3.14000442310437
"26","data/0.2-0-0-0/12","JC69","strict","yule","twin",-3493.03417288435,1.4486185225346,3.09179999196673e-56,3.84931387396443
"27","data/0.2-0-0-0/12","HKY","strict","yule","twin",-3373.64815981772,4.12985130968793,0.00021822177450336,5.82346087938119
"28","data/0.2-0-0-0/12","HKY","strict","birth_death","twin",-3383.76265856949,4.34231633332795,8.83541774056137e-09,6.89825552159697
"29","data/0.2-0-0-0/12","JC69","strict","birth_death","true",-3068.28897906031,3.04864236598966,0.94222367975449,4.24228405057297
"30","data/0.2-0-0-0/12","JC69","strict","yule","true",-3189.29007081615,2.04528184199356,2.65489629116302e-53,5.61958307150435
"31","data/0.2-0-0-0/12","HKY","strict","yule","true",-3071.08064275126,2.91231426518145,0.05777632024551,5.46236077389977
"32","data/0.2-0-0-0/12","HKY","strict","birth_death","true",-3207.38828930409,4.73817511556294,3.66514481762149e-61,5.39534239155912
