"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0/1",0.2,0,0,0,1,6,1
"2","data/0.2-0-0-0/10",0.2,0,0,0,1,6,10
"3","data/0.2-0-0-0/11",0.2,0,0,0,1,6,11
"4","data/0.2-0-0-0/12",0.2,0,0,0,1,6,12
"5","data/0.2-0-0-0/13",0.2,0,0,0,1,6,13
"6","data/0.2-0-0-0/14",0.2,0,0,0,1,6,14
"7","data/0.2-0-0-0/15",0.2,0,0,0,1,6,15
"8","data/0.2-0-0-0/16",0.2,0,0,0,1,6,16
"9","data/0.2-0-0-0/17",0.2,0,0,0,1,6,17
"10","data/0.2-0-0-0/18",0.2,0,0,0,1,6,18
"11","data/0.2-0-0-0/19",0.2,0,0,0,1,6,19
"12","data/0.2-0-0-0/2",0.2,0,0,0,1,6,2
"13","data/0.2-0-0-0/20",0.2,0,0,0,1,6,20
"14","data/0.2-0-0-0/3",0.2,0,0,0,1,6,3
"15","data/0.2-0-0-0/4",0.2,0,0,0,1,6,4
"16","data/0.2-0-0-0/5",0.2,0,0,0,1,6,5
"17","data/0.2-0-0-0/6",0.2,0,0,0,1,6,6
"18","data/0.2-0-0-0/7",0.2,0,0,0,1,6,7
"19","data/0.2-0-0-0/8",0.2,0,0,0,1,6,8
"20","data/0.2-0-0-0/9",0.2,0,0,0,1,6,9
"21","data/0.2-0-0.5-0.1/41",0.2,0,0.5,0.1,1,6,41
"22","data/0.2-0-0.5-0.1/42",0.2,0,0.5,0.1,1,6,42
"23","data/0.2-0-0.5-0.1/43",0.2,0,0.5,0.1,1,6,43
"24","data/0.2-0-0.5-0.1/44",0.2,0,0.5,0.1,1,6,44
"25","data/0.2-0-0.5-0.1/45",0.2,0,0.5,0.1,1,6,45
"26","data/0.2-0-0.5-0.1/46",0.2,0,0.5,0.1,1,6,46
"27","data/0.2-0-0.5-0.1/47",0.2,0,0.5,0.1,1,6,47
"28","data/0.2-0-0.5-0.1/48",0.2,0,0.5,0.1,1,6,48
"29","data/0.2-0-0.5-0.1/49",0.2,0,0.5,0.1,1,6,49
"30","data/0.2-0-0.5-0.1/50",0.2,0,0.5,0.1,1,6,50
