"","folder","n_taxa"
"1","data/0.2-0-1-0.1/1",10
"2","data/0.2-0-1-0.1/2",13
"3","data/0.2-0-1-0.15/17",10
"4","data/0.2-0-1-0.15/18",14
"5","data/0.2-0-1-0.2/33",30
"6","data/0.2-0-1-0.2/34",18
"7","data/0.2-0-1.5-0.1/5",26
"8","data/0.2-0-1.5-0.1/6",51
"9","data/0.2-0-1.5-0.15/21",32
"10","data/0.2-0-1.5-0.15/22",72
"11","data/0.2-0-1.5-0.2/37",23
"12","data/0.2-0-1.5-0.2/38",23
"13","data/0.2-0-2-0.1/10",20
"14","data/0.2-0-2-0.1/9",25
"15","data/0.2-0-2-0.15/25",10
"16","data/0.2-0-2-0.15/26",73
"17","data/0.2-0-2-0.2/41",260
"18","data/0.2-0-2-0.2/42",297
"19","data/0.2-0-2.5-0.1/13",26
"20","data/0.2-0-2.5-0.1/14",154
"21","data/0.2-0-2.5-0.15/29",50
"22","data/0.2-0-2.5-0.15/30",21
"23","data/0.2-0-2.5-0.2/45",80
"24","data/0.2-0-2.5-0.2/46",143
"25","data/0.2-0.15-1-0.1/3",10
"26","data/0.2-0.15-1-0.1/4",23
"27","data/0.2-0.15-1-0.15/19",9
"28","data/0.2-0.15-1-0.15/20",7
"29","data/0.2-0.15-1-0.2/35",25
"30","data/0.2-0.15-1-0.2/36",14
"31","data/0.2-0.15-1.5-0.1/7",8
"32","data/0.2-0.15-1.5-0.1/8",15
"33","data/0.2-0.15-1.5-0.15/23",5
"34","data/0.2-0.15-1.5-0.15/24",18
"35","data/0.2-0.15-1.5-0.2/39",7
"36","data/0.2-0.15-1.5-0.2/40",26
"37","data/0.2-0.15-2-0.1/11",9
"38","data/0.2-0.15-2-0.1/12",16
"39","data/0.2-0.15-2-0.15/27",83
"40","data/0.2-0.15-2-0.15/28",26
"41","data/0.2-0.15-2-0.2/43",37
"42","data/0.2-0.15-2-0.2/44",10
"43","data/0.2-0.15-2.5-0.1/15",39
"44","data/0.2-0.15-2.5-0.1/16",35
"45","data/0.2-0.15-2.5-0.15/31",176
"46","data/0.2-0.15-2.5-0.15/32",30
"47","data/0.2-0.15-2.5-0.2/47",146
"48","data/0.2-0.15-2.5-0.2/48",469
