"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight"
"1","data/0.2-0-1-0.1/1","JC69","strict","birth_death","twin",-9746.852684495,6.09009175796276,1
"2","data/0.2-0-1-0.1/1","JC69","strict","yule","twin",-13785.6291768589,0.562837847419443,0
"3","data/0.2-0-1-0.1/1","GTR","strict","birth_death","twin",-13860.7574211681,0.784882119835043,0
"4","data/0.2-0-1-0.1/1","JC69","strict","birth_death","true",-13863.2989925881,0.406941545519829,0
"5","data/0.2-0-1-0.1/1","JC69","strict","yule","true",-9224.33758488646,5.32434639751924,1
"6","data/0.2-0-1-0.1/1","GTR","strict","birth_death","true",-13863.4485327269,0.415089362344136,0
"7","data/0.2-0-1-0.1/2","JC69","strict","birth_death","twin",-8715.69632234567,8.76629482845485,1
"8","data/0.2-0-1-0.1/2","JC69","strict","yule","twin",-18022.1907769843,0.455614830921073,0
"9","data/0.2-0-1-0.1/2","GTR","strict","birth_death","twin",-8754.81167289916,10.4076500576877,1.0290088191358e-17
"10","data/0.2-0-1-0.1/2","JC69","strict","birth_death","true",-7882.00778071989,7.55547144449004,1
"11","data/0.2-0-1-0.1/2","JC69","strict","yule","true",-18022.1865883819,0.378113599599948,0
"12","data/0.2-0-1-0.1/2","GTR","strict","birth_death","true",-7944.84002975093,11.5973526066499,5.15585814864392e-28
"13","data/0.2-0-1-0.15/17","JC69","strict","birth_death","twin",-7963.81024877042,6.28613033508061,0.999931595014975
"14","data/0.2-0-1-0.15/17","JC69","strict","yule","twin",-7973.4002452186,6.21636113103671,6.84049850251918e-05
"15","data/0.2-0-1-0.15/17","GTR","strict","birth_death","twin",-13864.6000080093,0.617803264378856,0
"16","data/0.2-0-1-0.15/17","JC69","strict","birth_death","true",-6396.12530810711,5.23741827312911,0.999999653578466
"17","data/0.2-0-1-0.15/17","JC69","strict","yule","true",-6411.00091725777,6.53872122653515,3.46421533993889e-07
