"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-0-0.1/1",704,"true","gen"
"2","data/0.2-0-0-0.1/1",134,"true","best"
"3","data/0.2-0-0-0.1/1",817,"twin","gen"
"4","data/0.2-0-0-0.1/1",901,"twin","best"
"5","data/0.2-0-0-0.1/2",901,"true","gen"
"6","data/0.2-0-0-0.1/2",821,"true","best"
"7","data/0.2-0-0-0.1/2",901,"twin","gen"
"8","data/0.2-0-0-0.1/2",852,"twin","best"
"9","data/0.2-0-0-0.15/17",887,"true","gen"
"10","data/0.2-0-0-0.15/17",787,"true","best"
"11","data/0.2-0-0-0.15/17",859,"twin","gen"
"12","data/0.2-0-0-0.15/17",873,"twin","best"
"13","data/0.2-0-0-0.15/18",901,"true","gen"
"14","data/0.2-0-0-0.15/18",901,"true","best"
"15","data/0.2-0-0-0.15/18",7,"twin","gen"
"16","data/0.2-0-0-0.15/18",178,"twin","best"
"17","data/0.2-0-0-0.2/33",901,"true","gen"
"18","data/0.2-0-0-0.2/33",140,"true","best"
"19","data/0.2-0-0-0.2/33",901,"twin","gen"
"20","data/0.2-0-0-0.2/33",724,"twin","best"
"21","data/0.2-0-0-0.2/34",901,"true","gen"
"22","data/0.2-0-0-0.2/34",134,"true","best"
"23","data/0.2-0-0-0.2/34",838,"twin","gen"
"24","data/0.2-0-0-0.2/34",140,"twin","best"
"25","data/0.2-0-0.5-0.1/5",901,"true","gen"
"26","data/0.2-0-0.5-0.1/5",144,"true","best"
"27","data/0.2-0-0.5-0.1/5",901,"twin","gen"
"28","data/0.2-0-0.5-0.1/5",101,"twin","best"
"29","data/0.2-0-0.5-0.1/6",705,"true","gen"
"30","data/0.2-0-0.5-0.1/6",220,"true","best"
"31","data/0.2-0-0.5-0.1/6",645,"twin","gen"
"32","data/0.2-0-0.5-0.1/6",507,"twin","best"
"33","data/0.2-0-0.5-0.15/21",901,"true","gen"
"34","data/0.2-0-0.5-0.15/21",791,"true","best"
"35","data/0.2-0-0.5-0.15/21",901,"twin","gen"
"36","data/0.2-0-0.5-0.15/21",813,"twin","best"
"37","data/0.2-0-0.5-0.15/22",901,"true","gen"
"38","data/0.2-0-0.5-0.15/22",175,"true","best"
"39","data/0.2-0-0.5-0.15/22",901,"twin","gen"
"40","data/0.2-0-0.5-0.15/22",893,"twin","best"
"41","data/0.2-0-0.5-0.2/37",790,"true","gen"
"42","data/0.2-0-0.5-0.2/37",810,"true","best"
"43","data/0.2-0-0.5-0.2/37",738,"twin","gen"
"44","data/0.2-0-0.5-0.2/37",680,"twin","best"
"45","data/0.2-0-0.5-0.2/38",689,"true","gen"
"46","data/0.2-0-0.5-0.2/38",119,"true","best"
"47","data/0.2-0-0.5-0.2/38",767,"twin","gen"
"48","data/0.2-0-0.5-0.2/38",901,"twin","best"
"49","data/0.2-0-1-0.1/10",901,"true","gen"
"50","data/0.2-0-1-0.1/10",848,"true","best"
"51","data/0.2-0-1-0.1/10",827,"twin","gen"
"52","data/0.2-0-1-0.1/10",117,"twin","best"
"53","data/0.2-0-1-0.1/9",901,"true","gen"
"54","data/0.2-0-1-0.1/9",692,"true","best"
"55","data/0.2-0-1-0.1/9",704,"twin","gen"
"56","data/0.2-0-1-0.1/9",151,"twin","best"
"57","data/0.2-0-1-0.15/25",862,"true","gen"
"58","data/0.2-0-1-0.15/25",71,"true","best"
"59","data/0.2-0-1-0.15/25",901,"twin","gen"
"60","data/0.2-0-1-0.15/25",888,"twin","best"
"61","data/0.2-0-1-0.15/26",803,"true","gen"
"62","data/0.2-0-1-0.15/26",901,"true","best"
"63","data/0.2-0-1-0.15/26",747,"twin","gen"
"64","data/0.2-0-1-0.15/26",838,"twin","best"
"65","data/0.2-0-1-0.2/41",796,"true","gen"
"66","data/0.2-0-1-0.2/41",681,"true","best"
"67","data/0.2-0-1-0.2/41",613,"twin","gen"
"68","data/0.2-0-1-0.2/41",392,"twin","best"
"69","data/0.2-0-1-0.2/42",3,"true","gen"
"70","data/0.2-0-1-0.2/42",50,"true","best"
"71","data/0.2-0-1-0.2/42",739,"twin","gen"
"72","data/0.2-0-1-0.2/42",167,"twin","best"
"73","data/0.2-0-2-0.1/13",732,"true","gen"
"74","data/0.2-0-2-0.1/13",219,"true","best"
"75","data/0.2-0-2-0.1/13",790,"twin","gen"
"76","data/0.2-0-2-0.1/13",731,"twin","best"
"77","data/0.2-0-2-0.1/14",455,"true","gen"
"78","data/0.2-0-2-0.1/14",742,"true","best"
"79","data/0.2-0-2-0.1/14",88,"twin","gen"
"80","data/0.2-0-2-0.1/14",371,"twin","best"
"81","data/0.2-0-2-0.15/29",644,"true","gen"
"82","data/0.2-0-2-0.15/29",875,"true","best"
"83","data/0.2-0-2-0.15/29",379,"twin","gen"
"84","data/0.2-0-2-0.15/29",448,"twin","best"
"85","data/0.2-0-2-0.15/30",901,"true","gen"
"86","data/0.2-0-2-0.15/30",901,"true","best"
