"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",7
"2","data/0.2-0-0-0.1/2",5
"3","data/0.2-0-0-0.15/21",22
"4","data/0.2-0-0-0.15/22",6
"5","data/0.2-0-0-0.2/41",7
"6","data/0.2-0-0-0.2/42",19
"7","data/0.2-0-0.5-0.1/5",6
"8","data/0.2-0-0.5-0.1/6",33
"9","data/0.2-0-0.5-0.15/25",13
"10","data/0.2-0-0.5-0.15/26",9
"11","data/0.2-0-0.5-0.2/45",4
"12","data/0.2-0-0.5-0.2/46",25
"13","data/0.2-0-1-0.1/10",12
"14","data/0.2-0-1-0.1/9",11
"15","data/0.2-0-1-0.15/29",20
"16","data/0.2-0-1-0.15/30",3
"17","data/0.2-0-1-0.2/49",20
"18","data/0.2-0-1-0.2/50",9
"19","data/0.2-0-1.5-0.1/13",19
"20","data/0.2-0-1.5-0.1/14",35
"21","data/0.2-0-1.5-0.15/33",62
"22","data/0.2-0-1.5-0.15/34",37
"23","data/0.2-0-1.5-0.2/53",40
"24","data/0.2-0-1.5-0.2/54",160
"25","data/0.2-0-2-0.1/17",13
"26","data/0.2-0-2-0.1/18",31
"27","data/0.2-0-2-0.15/37",14
"28","data/0.2-0-2-0.15/38",37
"29","data/0.2-0-2-0.2/57",22
"30","data/0.2-0-2-0.2/58",42
"31","data/0.2-0.15-0-0.1/3",11
"32","data/0.2-0.15-0-0.1/4",8
"33","data/0.2-0.15-0-0.15/23",4
"34","data/0.2-0.15-0-0.15/24",4
"35","data/0.2-0.15-0-0.2/43",10
"36","data/0.2-0.15-0-0.2/44",9
"37","data/0.2-0.15-0.5-0.1/7",12
"38","data/0.2-0.15-0.5-0.1/8",5
"39","data/0.2-0.15-0.5-0.15/27",5
"40","data/0.2-0.15-0.5-0.15/28",12
"41","data/0.2-0.15-0.5-0.2/47",20
"42","data/0.2-0.15-0.5-0.2/48",12
"43","data/0.2-0.15-1-0.1/11",8
"44","data/0.2-0.15-1-0.1/12",8
"45","data/0.2-0.15-1-0.15/31",12
"46","data/0.2-0.15-1-0.15/32",9
"47","data/0.2-0.15-1-0.2/51",22
"48","data/0.2-0.15-1-0.2/52",15
"49","data/0.2-0.15-1.5-0.1/15",7
"50","data/0.2-0.15-1.5-0.1/16",10
"51","data/0.2-0.15-1.5-0.15/35",13
"52","data/0.2-0.15-1.5-0.15/36",19
"53","data/0.2-0.15-1.5-0.2/55",49
"54","data/0.2-0.15-1.5-0.2/56",23
"55","data/0.2-0.15-2-0.1/19",15
"56","data/0.2-0.15-2-0.1/20",11
"57","data/0.2-0.15-2-0.15/39",22
"58","data/0.2-0.15-2-0.15/40",56
"59","data/0.2-0.15-2-0.2/59",18
"60","data/0.2-0.15-2-0.2/60",70
