"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0.1/1",0.2,0,0,0.1,1,7,1
"2","data/0.2-0-0-0.1/2",0.2,0,0,0.1,1,7,2
"3","data/0.2-0-0-0.15/21",0.2,0,0,0.15,1,7,21
"4","data/0.2-0-0-0.15/22",0.2,0,0,0.15,1,7,22
"5","data/0.2-0-0-0.2/41",0.2,0,0,0.2,1,7,41
"6","data/0.2-0-0-0.2/42",0.2,0,0,0.2,1,7,42
"7","data/0.2-0-0.5-0.1/5",0.2,0,0.5,0.1,1,7,5
"8","data/0.2-0-0.5-0.1/6",0.2,0,0.5,0.1,1,7,6
"9","data/0.2-0-0.5-0.15/25",0.2,0,0.5,0.15,1,7,25
"10","data/0.2-0-0.5-0.15/26",0.2,0,0.5,0.15,1,7,26
"11","data/0.2-0-0.5-0.2/45",0.2,0,0.5,0.2,1,7,45
"12","data/0.2-0-0.5-0.2/46",0.2,0,0.5,0.2,1,7,46
"13","data/0.2-0-1-0.1/10",0.2,0,1,0.1,1,7,10
"14","data/0.2-0-1-0.1/9",0.2,0,1,0.1,1,7,9
"15","data/0.2-0-1-0.15/29",0.2,0,1,0.15,1,7,29
"16","data/0.2-0-1-0.15/30",0.2,0,1,0.15,1,7,30
"17","data/0.2-0-1-0.2/49",0.2,0,1,0.2,1,7,49
"18","data/0.2-0-1-0.2/50",0.2,0,1,0.2,1,7,50
"19","data/0.2-0-1.5-0.1/13",0.2,0,1.5,0.1,1,7,13
"20","data/0.2-0-1.5-0.1/14",0.2,0,1.5,0.1,1,7,14
"21","data/0.2-0-1.5-0.15/33",0.2,0,1.5,0.15,1,7,33
"22","data/0.2-0-1.5-0.15/34",0.2,0,1.5,0.15,1,7,34
"23","data/0.2-0-1.5-0.2/53",0.2,0,1.5,0.2,1,7,53
"24","data/0.2-0-1.5-0.2/54",0.2,0,1.5,0.2,1,7,54
"25","data/0.2-0-2-0.1/17",0.2,0,2,0.1,1,7,17
"26","data/0.2-0-2-0.1/18",0.2,0,2,0.1,1,7,18
"27","data/0.2-0-2-0.15/37",0.2,0,2,0.15,1,7,37
"28","data/0.2-0-2-0.15/38",0.2,0,2,0.15,1,7,38
"29","data/0.2-0-2-0.2/57",0.2,0,2,0.2,1,7,57
"30","data/0.2-0-2-0.2/58",0.2,0,2,0.2,1,7,58
"31","data/0.2-0.15-0-0.1/3",0.2,0.15,0,0.1,1,7,3
"32","data/0.2-0.15-0-0.1/4",0.2,0.15,0,0.1,1,7,4
"33","data/0.2-0.15-0-0.15/23",0.2,0.15,0,0.15,1,7,23
"34","data/0.2-0.15-0-0.15/24",0.2,0.15,0,0.15,1,7,24
"35","data/0.2-0.15-0-0.2/43",0.2,0.15,0,0.2,1,7,43
"36","data/0.2-0.15-0-0.2/44",0.2,0.15,0,0.2,1,7,44
"37","data/0.2-0.15-0.5-0.1/7",0.2,0.15,0.5,0.1,1,7,7
"38","data/0.2-0.15-0.5-0.1/8",0.2,0.15,0.5,0.1,1,7,8
"39","data/0.2-0.15-0.5-0.15/27",0.2,0.15,0.5,0.15,1,7,27
"40","data/0.2-0.15-0.5-0.15/28",0.2,0.15,0.5,0.15,1,7,28
"41","data/0.2-0.15-0.5-0.2/47",0.2,0.15,0.5,0.2,1,7,47
"42","data/0.2-0.15-0.5-0.2/48",0.2,0.15,0.5,0.2,1,7,48
"43","data/0.2-0.15-1-0.1/11",0.2,0.15,1,0.1,1,7,11
"44","data/0.2-0.15-1-0.1/12",0.2,0.15,1,0.1,1,7,12
"45","data/0.2-0.15-1-0.15/31",0.2,0.15,1,0.15,1,7,31
"46","data/0.2-0.15-1-0.15/32",0.2,0.15,1,0.15,1,7,32
"47","data/0.2-0.15-1-0.2/51",0.2,0.15,1,0.2,1,7,51
"48","data/0.2-0.15-1-0.2/52",0.2,0.15,1,0.2,1,7,52
"49","data/0.2-0.15-1.5-0.1/15",0.2,0.15,1.5,0.1,1,7,15
"50","data/0.2-0.15-1.5-0.1/16",0.2,0.15,1.5,0.1,1,7,16
"51","data/0.2-0.15-1.5-0.15/35",0.2,0.15,1.5,0.15,1,7,35
"52","data/0.2-0.15-1.5-0.15/36",0.2,0.15,1.5,0.15,1,7,36
"53","data/0.2-0.15-1.5-0.2/55",0.2,0.15,1.5,0.2,1,7,55
"54","data/0.2-0.15-1.5-0.2/56",0.2,0.15,1.5,0.2,1,7,56
"55","data/0.2-0.15-2-0.1/19",0.2,0.15,2,0.1,1,7,19
"56","data/0.2-0.15-2-0.1/20",0.2,0.15,2,0.1,1,7,20
"57","data/0.2-0.15-2-0.15/39",0.2,0.15,2,0.15,1,7,39
"58","data/0.2-0.15-2-0.15/40",0.2,0.15,2,0.15,1,7,40
"59","data/0.2-0.15-2-0.2/59",0.2,0.15,2,0.2,1,7,59
"60","data/0.2-0.15-2-0.2/60",0.2,0.15,2,0.2,1,7,60
