"","folder","n_mb_species","f_mb_species"
"1","data/0.2-0-0-0.1/1",0,0
"2","data/0.2-0-0-0.1/2",0,0
"3","data/0.2-0-0-0.15/21",0,0
"4","data/0.2-0-0-0.15/22",0,0
"5","data/0.2-0-0-0.2/41",0,0
"6","data/0.2-0-0-0.2/42",0,0
"7","data/0.2-0-0.5-0.1/5",0,0
"8","data/0.2-0-0.5-0.1/6",3,0.0909090909090909
"9","data/0.2-0-0.5-0.15/25",0,0
"10","data/0.2-0-0.5-0.15/26",2,0.222222222222222
"11","data/0.2-0-0.5-0.2/45",0,0
"12","data/0.2-0-0.5-0.2/46",11,0.44
"13","data/0.2-0-1-0.1/10",2,0.166666666666667
"14","data/0.2-0-1-0.1/9",2,0.181818181818182
"15","data/0.2-0-1-0.15/29",2,0.1
"16","data/0.2-0-1-0.15/30",0,0
"17","data/0.2-0-1-0.2/49",8,0.4
"18","data/0.2-0-1-0.2/50",0,0
"19","data/0.2-0-1.5-0.1/13",2,0.105263157894737
"20","data/0.2-0-1.5-0.1/14",10,0.285714285714286
"21","data/0.2-0-1.5-0.15/33",36,0.580645161290323
"22","data/0.2-0-1.5-0.15/34",18,0.486486486486487
"23","data/0.2-0-1.5-0.2/53",14,0.35
"24","data/0.2-0-1.5-0.2/54",110,0.6875
"25","data/0.2-0-2-0.1/17",2,0.153846153846154
"26","data/0.2-0-2-0.1/18",12,0.387096774193548
"27","data/0.2-0-2-0.15/37",5,0.357142857142857
"28","data/0.2-0-2-0.15/38",11,0.297297297297297
"29","data/0.2-0-2-0.2/57",10,0.454545454545455
"30","data/0.2-0-2-0.2/58",15,0.357142857142857
"31","data/0.2-0.15-0-0.1/3",0,0
"32","data/0.2-0.15-0-0.1/4",0,0
"33","data/0.2-0.15-0-0.15/23",0,0
"34","data/0.2-0.15-0-0.15/24",0,0
"35","data/0.2-0.15-0-0.2/43",0,0
"36","data/0.2-0.15-0-0.2/44",0,0
"37","data/0.2-0.15-0.5-0.1/7",0,0
"38","data/0.2-0.15-0.5-0.1/8",0,0
"39","data/0.2-0.15-0.5-0.15/27",0,0
"40","data/0.2-0.15-0.5-0.15/28",0,0
"41","data/0.2-0.15-0.5-0.2/47",2,0.1
"42","data/0.2-0.15-0.5-0.2/48",0,0
"43","data/0.2-0.15-1-0.1/11",0,0
"44","data/0.2-0.15-1-0.1/12",0,0
"45","data/0.2-0.15-1-0.15/31",2,0.166666666666667
"46","data/0.2-0.15-1-0.15/32",4,0.444444444444444
"47","data/0.2-0.15-1-0.2/51",4,0.181818181818182
"48","data/0.2-0.15-1-0.2/52",4,0.266666666666667
"49","data/0.2-0.15-1.5-0.1/15",0,0
"50","data/0.2-0.15-1.5-0.1/16",0,0
"51","data/0.2-0.15-1.5-0.15/35",3,0.230769230769231
"52","data/0.2-0.15-1.5-0.15/36",6,0.315789473684211
"53","data/0.2-0.15-1.5-0.2/55",29,0.591836734693878
"54","data/0.2-0.15-1.5-0.2/56",3,0.130434782608696
"55","data/0.2-0.15-2-0.1/19",0,0
"56","data/0.2-0.15-2-0.1/20",0,0
"57","data/0.2-0.15-2-0.15/39",8,0.363636363636364
"58","data/0.2-0.15-2-0.15/40",21,0.375
"59","data/0.2-0.15-2-0.2/59",10,0.555555555555556
"60","data/0.2-0.15-2-0.2/60",39,0.557142857142857
