"","folder","n_taxa"
"1","data/0.2-0-1-0.1/1",9
"2","data/0.2-0-1-0.1/10",9
"3","data/0.2-0-1-0.1/2",7
"4","data/0.2-0-1-0.1/3",8
"5","data/0.2-0-1-0.1/4",27
"6","data/0.2-0-1-0.1/5",8
"7","data/0.2-0-1-0.1/6",29
"8","data/0.2-0-1-0.1/7",19
"9","data/0.2-0-1-0.1/8",10
"10","data/0.2-0-1-0.1/9",9
"11","data/0.2-0-1-0.15/81",8
"12","data/0.2-0-1-0.15/82",4
"13","data/0.2-0-1-0.15/83",9
"14","data/0.2-0-1-0.15/84",8
"15","data/0.2-0-1-0.15/85",5
"16","data/0.2-0-1-0.15/86",15
"17","data/0.2-0-1-0.15/87",7
"18","data/0.2-0-1-0.15/88",12
"19","data/0.2-0-1-0.15/89",16
"20","data/0.2-0-1-0.15/90",23
"21","data/0.2-0-1-0.2/161",10
"22","data/0.2-0-1-0.2/162",11
"23","data/0.2-0-1-0.2/163",15
"24","data/0.2-0-1-0.2/164",38
"25","data/0.2-0-1-0.2/165",33
"26","data/0.2-0-1-0.2/166",21
"27","data/0.2-0-1-0.2/167",11
"28","data/0.2-0-1-0.2/168",49
"29","data/0.2-0-1-0.2/169",16
"30","data/0.2-0-1-0.2/170",16
"31","data/0.2-0-1.5-0.1/21",5
"32","data/0.2-0-1.5-0.1/22",38
"33","data/0.2-0-1.5-0.1/23",33
"34","data/0.2-0-1.5-0.1/24",20
"35","data/0.2-0-1.5-0.1/25",3
"36","data/0.2-0-1.5-0.1/26",29
"37","data/0.2-0-1.5-0.1/27",5
"38","data/0.2-0-1.5-0.1/28",14
"39","data/0.2-0-1.5-0.1/29",16
"40","data/0.2-0-1.5-0.1/30",3
"41","data/0.2-0-1.5-0.15/101",26
"42","data/0.2-0-1.5-0.15/102",21
"43","data/0.2-0-1.5-0.15/103",5
"44","data/0.2-0-1.5-0.15/104",5
"45","data/0.2-0-1.5-0.15/105",36
"46","data/0.2-0-1.5-0.15/106",40
"47","data/0.2-0-1.5-0.15/107",6
"48","data/0.2-0-1.5-0.15/108",9
"49","data/0.2-0-1.5-0.15/109",23
"50","data/0.2-0-1.5-0.15/110",31
"51","data/0.2-0-1.5-0.2/181",53
"52","data/0.2-0-1.5-0.2/182",38
"53","data/0.2-0-1.5-0.2/183",125
"54","data/0.2-0-1.5-0.2/184",10
"55","data/0.2-0-1.5-0.2/185",63
"56","data/0.2-0-1.5-0.2/186",16
"57","data/0.2-0-1.5-0.2/187",21
"58","data/0.2-0-1.5-0.2/188",14
"59","data/0.2-0-1.5-0.2/189",34
"60","data/0.2-0-1.5-0.2/190",105
"61","data/0.2-0-2-0.1/41",29
"62","data/0.2-0-2-0.1/42",46
"63","data/0.2-0-2-0.1/43",12
"64","data/0.2-0-2-0.1/44",10
"65","data/0.2-0-2-0.1/45",40
"66","data/0.2-0-2-0.1/46",20
"67","data/0.2-0-2-0.1/47",7
"68","data/0.2-0-2-0.1/48",31
"69","data/0.2-0-2-0.1/49",16
"70","data/0.2-0-2-0.1/50",6
"71","data/0.2-0-2-0.15/121",25
"72","data/0.2-0-2-0.15/122",5
"73","data/0.2-0-2-0.15/123",21
"74","data/0.2-0-2-0.15/124",21
"75","data/0.2-0-2-0.15/125",48
"76","data/0.2-0-2-0.15/126",42
"77","data/0.2-0-2-0.15/127",42
"78","data/0.2-0-2-0.15/128",39
"79","data/0.2-0-2-0.15/129",32
"80","data/0.2-0-2-0.15/130",60
"81","data/0.2-0-2-0.2/201",50
"82","data/0.2-0-2-0.2/202",192
"83","data/0.2-0-2-0.2/203",9
"84","data/0.2-0-2-0.2/204",15
"85","data/0.2-0-2-0.2/205",21
"86","data/0.2-0-2-0.2/206",56
"87","data/0.2-0-2-0.2/207",39
"88","data/0.2-0-2-0.2/208",74
"89","data/0.2-0-2-0.2/209",48
