"","folder","ess_likelihood","tree","best_or_gen"
"100","data/0.2-0-1-0.2/165",465,"twin","best"
"101","data/0.2-0-1-0.2/166",4,"true","gen"
"102","data/0.2-0-1-0.2/166",786,"true","best"
"103","data/0.2-0-1-0.2/166",29,"twin","gen"
"104","data/0.2-0-1-0.2/166",265,"twin","best"
"105","data/0.2-0-1-0.2/167",798,"true","gen"
"106","data/0.2-0-1-0.2/167",189,"true","best"
"107","data/0.2-0-1-0.2/167",12,"twin","gen"
"108","data/0.2-0-1-0.2/167",900,"twin","best"
"109","data/0.2-0-1-0.2/168",553,"true","gen"
"110","data/0.2-0-1-0.2/168",251,"true","best"
"111","data/0.2-0-1-0.2/168",14,"twin","gen"
"112","data/0.2-0-1-0.2/168",240,"twin","best"
"113","data/0.2-0-1-0.2/169",825,"true","gen"
"114","data/0.2-0-1-0.2/169",781,"true","best"
"115","data/0.2-0-1-0.2/169",670,"twin","gen"
"116","data/0.2-0-1-0.2/169",282,"twin","best"
"117","data/0.2-0-1-0.2/170",901,"true","gen"
"118","data/0.2-0-1-0.2/170",186,"true","best"
"119","data/0.2-0-1-0.2/170",17,"twin","gen"
"120","data/0.2-0-1-0.2/170",10,"twin","best"
"121","data/0.2-0-1.5-0.1/21",901,"true","gen"
"122","data/0.2-0-1.5-0.1/21",53,"true","best"
"123","data/0.2-0-1.5-0.1/21",901,"twin","gen"
"124","data/0.2-0-1.5-0.1/21",103,"twin","best"
"125","data/0.2-0-1.5-0.1/22",18,"true","gen"
"126","data/0.2-0-1.5-0.1/22",567,"true","best"
"127","data/0.2-0-1.5-0.1/22",22,"twin","gen"
"128","data/0.2-0-1.5-0.1/22",81,"twin","best"
"129","data/0.2-0-1.5-0.1/23",645,"true","gen"
"130","data/0.2-0-1.5-0.1/23",278,"true","best"
"131","data/0.2-0-1.5-0.1/23",396,"twin","gen"
"132","data/0.2-0-1.5-0.1/23",8,"twin","best"
"133","data/0.2-0-1.5-0.1/24",41,"true","gen"
"134","data/0.2-0-1.5-0.1/24",688,"true","best"
"135","data/0.2-0-1.5-0.1/24",20,"twin","gen"
"136","data/0.2-0-1.5-0.1/24",421,"twin","best"
"137","data/0.2-0-1.5-0.1/25",34,"true","gen"
"138","data/0.2-0-1.5-0.1/25",901,"true","best"
"139","data/0.2-0-1.5-0.1/25",761,"twin","gen"
"140","data/0.2-0-1.5-0.1/25",901,"twin","best"
"141","data/0.2-0-1.5-0.1/26",12,"true","gen"
"142","data/0.2-0-1.5-0.1/26",778,"true","best"
"143","data/0.2-0-1.5-0.1/26",533,"twin","gen"
"144","data/0.2-0-1.5-0.1/26",493,"twin","best"
"145","data/0.2-0-1.5-0.1/27",901,"true","gen"
"146","data/0.2-0-1.5-0.1/27",695,"true","best"
"147","data/0.2-0-1.5-0.1/27",896,"twin","gen"
"148","data/0.2-0-1.5-0.1/27",846,"twin","best"
"149","data/0.2-0-1.5-0.1/28",716,"true","gen"
"150","data/0.2-0-1.5-0.1/28",716,"true","best"
"151","data/0.2-0-1.5-0.1/28",672,"twin","gen"
"152","data/0.2-0-1.5-0.1/28",746,"twin","best"
"153","data/0.2-0-1.5-0.1/29",741,"true","gen"
"154","data/0.2-0-1.5-0.1/29",816,"true","best"
"155","data/0.2-0-1.5-0.1/29",697,"twin","gen"
"156","data/0.2-0-1.5-0.1/29",397,"twin","best"
"157","data/0.2-0-1.5-0.1/30",901,"true","gen"
"158","data/0.2-0-1.5-0.1/30",181,"true","best"
"159","data/0.2-0-1.5-0.1/30",901,"twin","gen"
"160","data/0.2-0-1.5-0.1/30",760,"twin","best"
"161","data/0.2-0-1.5-0.15/101",647,"true","gen"
"162","data/0.2-0-1.5-0.15/101",736,"true","best"
"163","data/0.2-0-1.5-0.15/101",612,"twin","gen"
"164","data/0.2-0-1.5-0.15/101",657,"twin","best"
"165","data/0.2-0-1.5-0.15/102",315,"true","gen"
"166","data/0.2-0-1.5-0.15/102",8,"true","best"
"167","data/0.2-0-1.5-0.15/102",621,"twin","gen"
"168","data/0.2-0-1.5-0.15/102",23,"twin","best"
