"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",7
"2","data/0.2-0-0-0.1/2",5
"3","data/0.2-0-0-0.15/17",5
"4","data/0.2-0-0-0.15/18",4
"5","data/0.2-0-0-0.2/33",6
"6","data/0.2-0-0-0.2/34",5
"7","data/0.2-0-0.5-0.1/5",6
"8","data/0.2-0-0.5-0.1/6",33
"9","data/0.2-0-0.5-0.15/21",5
"10","data/0.2-0-0.5-0.15/22",20
"11","data/0.2-0-0.5-0.2/37",23
"12","data/0.2-0-0.5-0.2/38",8
"13","data/0.2-0-1-0.1/10",12
"14","data/0.2-0-1-0.1/9",11
"15","data/0.2-0-1-0.15/25",4
"16","data/0.2-0-1-0.15/26",27
"17","data/0.2-0-1-0.2/41",54
"18","data/0.2-0-1-0.2/42",65
"19","data/0.2-0-2-0.1/13",58
"20","data/0.2-0-2-0.1/14",93
"21","data/0.2-0-2-0.15/29",85
"22","data/0.2-0-2-0.15/30",13
"23","data/0.2-0-2-0.2/45",34
"24","data/0.2-0-2-0.2/46",38
"25","data/0.2-0.15-0-0.1/3",11
"26","data/0.2-0.15-0-0.1/4",8
"27","data/0.2-0.15-0-0.15/19",3
"28","data/0.2-0.15-0-0.15/20",4
"29","data/0.2-0.15-0-0.2/35",3
"30","data/0.2-0.15-0-0.2/36",4
"31","data/0.2-0.15-0.5-0.1/7",12
"32","data/0.2-0.15-0.5-0.1/8",5
"33","data/0.2-0.15-0.5-0.15/23",3
"34","data/0.2-0.15-0.5-0.15/24",3
"35","data/0.2-0.15-0.5-0.2/39",7
"36","data/0.2-0.15-0.5-0.2/40",6
"37","data/0.2-0.15-1-0.1/11",8
"38","data/0.2-0.15-1-0.1/12",8
"39","data/0.2-0.15-1-0.15/27",16
"40","data/0.2-0.15-1-0.15/28",21
"41","data/0.2-0.15-1-0.2/43",11
"42","data/0.2-0.15-1-0.2/44",3
"43","data/0.2-0.15-2-0.1/15",8
"44","data/0.2-0.15-2-0.1/16",10
"45","data/0.2-0.15-2-0.15/31",42
"46","data/0.2-0.15-2-0.15/32",16
"47","data/0.2-0.15-2-0.2/47",121
"48","data/0.2-0.15-2-0.2/48",471
