"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0.1/1","JC69","strict","birth_death","twin",-6653.82257007699,6.92692715996096,0.00290068077883832,4.30601216519539
"2","data/0.2-0-0-0.1/1","JC69","strict","yule","twin",-6648.03606443766,5.81892210092072,0.945251566582122,8.14219573228003
"3","data/0.2-0-0-0.1/1","HKY","strict","yule","twin",-6677.17660821573,7.84447220287927,2.08915202077976e-13,6.62452205118397
"4","data/0.2-0-0-0.1/1","HKY","strict","birth_death","twin",-6650.93920394753,5.24556266460613,0.0518477526388311,5.95026376346261
"5","data/0.2-0-0-0.1/1","JC69","strict","birth_death","true",-6114.21464748661,5.17883544165118,0.0174777997488285,9.62576400902173
"6","data/0.2-0-0-0.1/1","JC69","strict","yule","true",-6110.18597571838,4.75273325392113,0.982011734659128,9.3291339436173
"7","data/0.2-0-0-0.1/1","HKY","strict","yule","true",-6117.74801102724,6.09612141576174,0.000510465588639309,9.59496727093225
"8","data/0.2-0-0-0.1/1","HKY","strict","birth_death","true",-6136.57370825553,7.17301012331687,3.40463098009735e-12,5.75055177339497
"9","data/0.2-0-0-0.1/2","JC69","strict","birth_death","twin",-4450.19813946925,3.86931015861243,0.9982353973815,6.04982674252745
"10","data/0.2-0-0-0.1/2","JC69","strict","yule","twin",-4456.53620333068,5.47373154851131,0.00176460215348063,5.34995318626538
"11","data/0.2-0-0-0.1/2","HKY","strict","yule","twin",-4471.68566552885,6.41749744381862,4.64856564684809e-10,11.038498186406
"12","data/0.2-0-0-0.1/2","HKY","strict","birth_death","twin",-4479.64195628548,6.67191044534003,1.62909269551441e-13,6.65787581578925
"13","data/0.2-0-0-0.1/2","JC69","strict","birth_death","true",-4658.61355498763,4.38123448384995,0.999937494105816,5.24806472700333
"14","data/0.2-0-0-0.1/2","JC69","strict","yule","true",-4671.54553758571,5.25383415708626,2.41926905714337e-06,5.24712027057547
"15","data/0.2-0-0-0.1/2","HKY","strict","yule","true",-4668.33387142525,5.45221499234674,6.00472416046966e-05,9.42360271494191
"16","data/0.2-0-0-0.1/2","HKY","strict","birth_death","true",-4675.66341081705,5.1341684104626,3.9383521771933e-08,8.65982854393114
"17","data/0.2-0-0-0.15/17","JC69","strict","birth_death","twin",-4060.34349525573,3.81798312477797,0.0557712923077869,5.47503883350768
"18","data/0.2-0-0-0.15/17","JC69","strict","yule","twin",-4057.51438610622,3.67967282708428,0.944228707540102,6.47278034144546
"19","data/0.2-0-0-0.15/17","HKY","strict","yule","twin",-4082.03957835242,5.42039071954993,2.10824723824311e-11,6.58529593597501
"20","data/0.2-0-0-0.15/17","HKY","strict","birth_death","twin",-4080.2126065617,5.88830888946276,1.31028360639937e-10,5.19530912108141
"21","data/0.2-0-0-0.15/17","JC69","strict","birth_death","true",-4048.31461561397,3.88111631544152,0.997151341128533,8.00673715899906
"22","data/0.2-0-0-0.15/17","JC69","strict","yule","true",-4054.70401524047,5.34573178249942,0.00167448043391678,3.80257803219647
"23","data/0.2-0-0-0.15/17","HKY","strict","yule","true",-4055.06676435473,4.63140149294793,0.00116503812778094,8.03105229550651
"24","data/0.2-0-0-0.15/17","HKY","strict","birth_death","true",-4059.91457917136,5.14020549189569,9.14030976969828e-06,10.1132629168573
"25","data/0.2-0-0-0.15/18","JC69","strict","birth_death","twin",-4420.33592197267,3.9511193795661,0.0599749421791181,3.77831811546047
"26","data/0.2-0-0-0.15/18","JC69","strict","yule","twin",-4417.58398670641,3.70705263096059,0.939983301654435,5.58110865753934
