"","filename","state","cpu_time"
"1","/home/richel/data/razzo_project_20190915/run_r_cmd_7670791.log",NA,NA
"2","/home/richel/data/razzo_project_20190915/run_r_cmd_7670792.log",NA,NA
"3","/home/richel/data/razzo_project_20190915/run_r_cmd_7670793.log","COMPLETED","02:53:09"
"4","/home/richel/data/razzo_project_20190915/run_r_cmd_7670794.log","COMPLETED","23:03:35"
"5","/home/richel/data/razzo_project_20190915/run_r_cmd_7670795.log",NA,NA
"6","/home/richel/data/razzo_project_20190915/run_r_cmd_7670796.log",NA,NA
"7","/home/richel/data/razzo_project_20190915/run_r_cmd_7670797.log",NA,NA
"8","/home/richel/data/razzo_project_20190915/run_r_cmd_7670798.log",NA,NA
"9","/home/richel/data/razzo_project_20190915/run_r_cmd_7670799.log",NA,NA
"10","/home/richel/data/razzo_project_20190915/run_r_cmd_7670800.log",NA,NA
"11","/home/richel/data/razzo_project_20190915/run_r_cmd_7670801.log",NA,NA
"12","/home/richel/data/razzo_project_20190915/run_r_cmd_7670802.log",NA,NA
"13","/home/richel/data/razzo_project_20190915/run_r_cmd_7670803.log",NA,NA
"14","/home/richel/data/razzo_project_20190915/run_r_cmd_7670804.log",NA,NA
"15","/home/richel/data/razzo_project_20190915/run_r_cmd_7670805.log",NA,NA
"16","/home/richel/data/razzo_project_20190915/run_r_cmd_7670806.log",NA,NA
"17","/home/richel/data/razzo_project_20190915/run_r_cmd_7670807.log",NA,NA
"18","/home/richel/data/razzo_project_20190915/run_r_cmd_7670808.log",NA,NA
"19","/home/richel/data/razzo_project_20190915/run_r_cmd_7670809.log",NA,NA
"20","/home/richel/data/razzo_project_20190915/run_r_cmd_7670810.log",NA,NA
"21","/home/richel/data/razzo_project_20190915/run_r_cmd_7670811.log",NA,NA
"22","/home/richel/data/razzo_project_20190915/run_r_cmd_7670812.log",NA,NA
"23","/home/richel/data/razzo_project_20190915/run_r_cmd_7670813.log",NA,NA
"24","/home/richel/data/razzo_project_20190915/run_r_cmd_7670814.log",NA,NA
"25","/home/richel/data/razzo_project_20190915/run_r_cmd_7670815.log",NA,NA
"26","/home/richel/data/razzo_project_20190915/run_r_cmd_7670816.log",NA,NA
"27","/home/richel/data/razzo_project_20190915/run_r_cmd_7670817.log","COMPLETED","19:39:01"
"28","/home/richel/data/razzo_project_20190915/run_r_cmd_7670818.log",NA,NA
"29","/home/richel/data/razzo_project_20190915/run_r_cmd_7670819.log",NA,NA
"30","/home/richel/data/razzo_project_20190915/run_r_cmd_7670820.log",NA,NA
"31","/home/richel/data/razzo_project_20190915/run_r_cmd_7670821.log",NA,NA
"32","/home/richel/data/razzo_project_20190915/run_r_cmd_7670822.log",NA,NA
"33","/home/richel/data/razzo_project_20190915/run_r_cmd_7670823.log",NA,NA
"34","/home/richel/data/razzo_project_20190915/run_r_cmd_7670824.log",NA,NA
"35","/home/richel/data/razzo_project_20190915/run_r_cmd_7670825.log",NA,NA
"36","/home/richel/data/razzo_project_20190915/run_r_cmd_7670826.log",NA,NA
"37","/home/richel/data/razzo_project_20190915/run_r_cmd_7670827.log",NA,NA
"38","/home/richel/data/razzo_project_20190915/run_r_cmd_7670828.log",NA,NA
"39","/home/richel/data/razzo_project_20190915/run_r_cmd_7670829.log",NA,NA
"40","/home/richel/data/razzo_project_20190915/run_r_cmd_7670830.log",NA,NA
"41","/home/richel/data/razzo_project_20190915/run_r_cmd_7670831.log",NA,NA
"42","/home/richel/data/razzo_project_20190915/run_r_cmd_7670832.log",NA,NA
"43","/home/richel/data/razzo_project_20190915/run_r_cmd_7670833.log",NA,NA
"44","/home/richel/data/razzo_project_20190915/run_r_cmd_7670834.log",NA,NA
"45","/home/richel/data/razzo_project_20190915/run_r_cmd_7670835.log",NA,NA
"46","/home/richel/data/razzo_project_20190915/run_r_cmd_7670836.log",NA,NA
"47","/home/richel/data/razzo_project_20190915/run_r_cmd_7670837.log",NA,NA
"48","/home/richel/data/razzo_project_20190915/run_r_cmd_7670838.log","COMPLETED","22:06:14"
