"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-1-0.1/1",901,"true","gen"
"2","data/0.2-0-1-0.1/1",901,"true","best"
"3","data/0.2-0-1-0.1/1",798,"twin","gen"
"4","data/0.2-0-1-0.1/1",220,"twin","best"
"5","data/0.2-0-1-0.1/2",901,"true","gen"
"6","data/0.2-0-1-0.1/2",161,"true","best"
"7","data/0.2-0-1-0.1/2",790,"twin","gen"
"8","data/0.2-0-1-0.1/2",901,"twin","best"
"9","data/0.2-0-1-0.15/17",901,"true","gen"
"10","data/0.2-0-1-0.15/17",901,"true","best"
"11","data/0.2-0-1-0.15/17",901,"twin","gen"
"12","data/0.2-0-1-0.15/17",901,"twin","best"
"13","data/0.2-0-1-0.15/18",841,"true","gen"
"14","data/0.2-0-1-0.15/18",864,"true","best"
"15","data/0.2-0-1-0.15/18",786,"twin","gen"
"16","data/0.2-0-1-0.15/18",784,"twin","best"
"17","data/0.2-0-1-0.2/33",10,"true","gen"
"18","data/0.2-0-1-0.2/33",739,"true","best"
"19","data/0.2-0-1-0.2/33",647,"twin","gen"
"20","data/0.2-0-1-0.2/33",300,"twin","best"
"21","data/0.2-0-1-0.2/34",607,"true","gen"
"22","data/0.2-0-1-0.2/34",219,"true","best"
"23","data/0.2-0-1-0.2/34",901,"twin","gen"
"24","data/0.2-0-1-0.2/34",901,"twin","best"
"25","data/0.2-0-1.5-0.1/5",467,"true","gen"
"26","data/0.2-0-1.5-0.1/5",626,"true","best"
"27","data/0.2-0-1.5-0.1/5",671,"twin","gen"
"28","data/0.2-0-1.5-0.1/5",628,"twin","best"
"29","data/0.2-0-1.5-0.1/6",636,"true","gen"
"30","data/0.2-0-1.5-0.1/6",3,"true","best"
"31","data/0.2-0-1.5-0.1/6",375,"twin","gen"
"32","data/0.2-0-1.5-0.1/6",4,"twin","best"
"33","data/0.2-0-1.5-0.15/21",703,"true","gen"
"34","data/0.2-0-1.5-0.15/21",770,"true","best"
"35","data/0.2-0-1.5-0.15/21",629,"twin","gen"
"36","data/0.2-0-1.5-0.15/21",551,"twin","best"
"37","data/0.2-0-1.5-0.15/22",18,"true","gen"
"38","data/0.2-0-1.5-0.15/22",7,"true","best"
"39","data/0.2-0-1.5-0.15/22",24,"twin","gen"
"40","data/0.2-0-1.5-0.15/22",3,"twin","best"
"41","data/0.2-0-1.5-0.2/37",12,"true","gen"
"42","data/0.2-0-1.5-0.2/37",4,"true","best"
"43","data/0.2-0-1.5-0.2/37",29,"twin","gen"
"44","data/0.2-0-1.5-0.2/37",761,"twin","best"
"45","data/0.2-0-1.5-0.2/38",718,"true","gen"
"46","data/0.2-0-1.5-0.2/38",378,"true","best"
"47","data/0.2-0-1.5-0.2/38",592,"twin","gen"
"48","data/0.2-0-1.5-0.2/38",901,"twin","best"
"49","data/0.2-0-2-0.1/10",798,"true","gen"
"50","data/0.2-0-2-0.1/10",901,"true","best"
"51","data/0.2-0-2-0.1/10",901,"twin","gen"
"52","data/0.2-0-2-0.1/10",858,"twin","best"
"53","data/0.2-0-2-0.1/9",614,"true","gen"
"54","data/0.2-0-2-0.1/9",687,"true","best"
"55","data/0.2-0-2-0.1/9",776,"twin","gen"
"56","data/0.2-0-2-0.1/9",720,"twin","best"
"57","data/0.2-0-2-0.15/25",729,"true","gen"
"58","data/0.2-0-2-0.15/25",644,"true","best"
"59","data/0.2-0-2-0.15/25",827,"twin","gen"
"60","data/0.2-0-2-0.15/25",790,"twin","best"
"61","data/0.2-0-2-0.15/26",5,"true","gen"
"62","data/0.2-0-2-0.15/26",378,"true","best"
"63","data/0.2-0-2-0.15/26",2,"twin","gen"
"64","data/0.2-0-2-0.15/26",12,"twin","best"
"65","data/0.2-0-2-0.2/41",6,"true","gen"
"66","data/0.2-0-2-0.2/41",12,"true","gen"
"67","data/0.2-0-2-0.2/41",6,"true","best"
"68","data/0.2-0-2-0.2/41",2,"true","best"
"69","data/0.2-0-2-0.2/41",149,"twin","gen"
"70","data/0.2-0-2-0.2/41",9,"twin","best"
"71","data/0.2-0-2-0.2/42",7,"true","gen"
"72","data/0.2-0-2-0.2/42",7,"true","best"
"73","data/0.2-0-2.5-0.1/13",901,"true","gen"
"74","data/0.2-0-2.5-0.1/13",720,"true","best"
"75","data/0.2-0-2.5-0.1/13",901,"twin","gen"
"76","data/0.2-0-2.5-0.1/13",778,"twin","best"
"77","data/0.2-0-2.5-0.1/14",7,"true","gen"
"78","data/0.2-0-2.5-0.1/14",150,"true","gen"
"79","data/0.2-0-2.5-0.1/14",6,"true","best"
"80","data/0.2-0-2.5-0.1/14",3,"true","best"
"81","data/0.2-0-2.5-0.15/29",483,"true","gen"
"82","data/0.2-0-2.5-0.15/29",660,"true","best"
"83","data/0.2-0-2.5-0.15/29",670,"twin","gen"
"84","data/0.2-0-2.5-0.15/29",623,"twin","best"
"85","data/0.2-0-2.5-0.15/30",866,"true","gen"
"86","data/0.2-0-2.5-0.15/30",747,"true","best"
"87","data/0.2-0-2.5-0.15/30",901,"twin","gen"
"88","data/0.2-0-2.5-0.15/30",901,"twin","best"
"89","data/0.2-0-2.5-0.2/45",390,"true","gen"
"90","data/0.2-0-2.5-0.2/45",548,"true","best"
