"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-1-0.1/1",901,"true","gen"
"2","data/0.2-0-1-0.1/1",738,"true","best"
"3","data/0.2-0-1-0.1/1",587,"twin","gen"
"4","data/0.2-0-1-0.1/1",765,"twin","best"
"5","data/0.2-0-1-0.1/2",511,"true","gen"
"6","data/0.2-0-1-0.1/2",762,"true","best"
"7","data/0.2-0-1-0.1/2",757,"twin","gen"
"8","data/0.2-0-1-0.1/2",797,"twin","best"
"9","data/0.2-0-1-0.15/17",73,"true","gen"
"10","data/0.2-0-1-0.15/17",816,"true","best"
"11","data/0.2-0-1-0.15/17",817,"twin","gen"
"12","data/0.2-0-1-0.15/17",901,"twin","best"
"13","data/0.2-0-1-0.15/18",901,"true","gen"
"14","data/0.2-0-1-0.15/18",901,"true","best"
"15","data/0.2-0-1-0.15/18",561,"twin","gen"
"16","data/0.2-0-1-0.15/18",150,"twin","best"
"17","data/0.2-0-1-0.2/33",593,"true","gen"
"18","data/0.2-0-1-0.2/33",772,"true","best"
"19","data/0.2-0-1-0.2/33",649,"twin","gen"
"20","data/0.2-0-1-0.2/33",634,"twin","best"
"21","data/0.2-0-1-0.2/34",678,"true","gen"
"22","data/0.2-0-1-0.2/34",174,"true","best"
"23","data/0.2-0-1-0.2/34",692,"twin","gen"
"24","data/0.2-0-1-0.2/34",432,"twin","best"
"25","data/0.2-0-1.5-0.1/5",19,"true","gen"
"26","data/0.2-0-1.5-0.1/5",662,"true","best"
"27","data/0.2-0-1.5-0.1/5",551,"twin","gen"
"28","data/0.2-0-1.5-0.1/5",12,"twin","best"
"29","data/0.2-0-1.5-0.1/6",453,"true","gen"
"30","data/0.2-0-1.5-0.1/6",11,"true","best"
"31","data/0.2-0-1.5-0.1/6",24,"twin","gen"
"32","data/0.2-0-1.5-0.1/6",337,"twin","best"
"33","data/0.2-0-1.5-0.15/21",42,"true","gen"
"34","data/0.2-0-1.5-0.15/21",16,"true","best"
"35","data/0.2-0-1.5-0.15/21",554,"twin","gen"
"36","data/0.2-0-1.5-0.15/21",165,"twin","best"
"37","data/0.2-0-1.5-0.15/22",285,"true","gen"
"38","data/0.2-0-1.5-0.15/22",345,"true","best"
"39","data/0.2-0-1.5-0.15/22",231,"twin","gen"
"40","data/0.2-0-1.5-0.15/22",6,"twin","best"
"41","data/0.2-0-1.5-0.2/37",10,"true","gen"
"42","data/0.2-0-1.5-0.2/37",49,"true","best"
"43","data/0.2-0-1.5-0.2/37",3,"twin","gen"
"44","data/0.2-0-1.5-0.2/37",180,"twin","best"
"45","data/0.2-0-1.5-0.2/38",3,"true","gen"
"46","data/0.2-0-1.5-0.2/38",765,"true","best"
