"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0/1",0.2,0,0,0,1,6,1
"2","data/0.2-0-0-0/2",0.2,0,0,0,1,6,2
"3","data/0.2-0-0.5-0.1/5",0.2,0,0.5,0.1,1,6,5
"4","data/0.2-0-0.5-0.1/6",0.2,0,0.5,0.1,1,6,6
"5","data/0.2-0-0.5-0.15/17",0.2,0,0.5,0.15,1,6,17
"6","data/0.2-0-0.5-0.15/18",0.2,0,0.5,0.15,1,6,18
"7","data/0.2-0-0.5-0.2/29",0.2,0,0.5,0.2,1,6,29
"8","data/0.2-0-0.5-0.2/30",0.2,0,0.5,0.2,1,6,30
"9","data/0.2-0-1-0.1/10",0.2,0,1,0.1,1,6,10
"10","data/0.2-0-1-0.1/9",0.2,0,1,0.1,1,6,9
"11","data/0.2-0-1-0.15/21",0.2,0,1,0.15,1,6,21
"12","data/0.2-0-1-0.15/22",0.2,0,1,0.15,1,6,22
"13","data/0.2-0-1-0.2/33",0.2,0,1,0.2,1,6,33
"14","data/0.2-0-1-0.2/34",0.2,0,1,0.2,1,6,34
"15","data/0.2-0-1.5-0.1/13",0.2,0,1.5,0.1,1,6,13
"16","data/0.2-0-1.5-0.1/14",0.2,0,1.5,0.1,1,6,14
"17","data/0.2-0-1.5-0.15/25",0.2,0,1.5,0.15,1,6,25
"18","data/0.2-0-1.5-0.15/26",0.2,0,1.5,0.15,1,6,26
"19","data/0.2-0-1.5-0.2/37",0.2,0,1.5,0.2,1,6,37
"20","data/0.2-0-1.5-0.2/38",0.2,0,1.5,0.2,1,6,38
"21","data/0.2-0.1-0-0/3",0.2,0.1,0,0,1,6,3
"22","data/0.2-0.1-0-0/4",0.2,0.1,0,0,1,6,4
"23","data/0.2-0.1-0.5-0.1/7",0.2,0.1,0.5,0.1,1,6,7
"24","data/0.2-0.1-0.5-0.1/8",0.2,0.1,0.5,0.1,1,6,8
"25","data/0.2-0.1-0.5-0.15/19",0.2,0.1,0.5,0.15,1,6,19
"26","data/0.2-0.1-0.5-0.15/20",0.2,0.1,0.5,0.15,1,6,20
"27","data/0.2-0.1-0.5-0.2/31",0.2,0.1,0.5,0.2,1,6,31
"28","data/0.2-0.1-0.5-0.2/32",0.2,0.1,0.5,0.2,1,6,32
"29","data/0.2-0.1-1-0.1/11",0.2,0.1,1,0.1,1,6,11
"30","data/0.2-0.1-1-0.1/12",0.2,0.1,1,0.1,1,6,12
"31","data/0.2-0.1-1-0.15/23",0.2,0.1,1,0.15,1,6,23
"32","data/0.2-0.1-1-0.15/24",0.2,0.1,1,0.15,1,6,24
"33","data/0.2-0.1-1-0.2/35",0.2,0.1,1,0.2,1,6,35
"34","data/0.2-0.1-1-0.2/36",0.2,0.1,1,0.2,1,6,36
"35","data/0.2-0.1-1.5-0.1/15",0.2,0.1,1.5,0.1,1,6,15
"36","data/0.2-0.1-1.5-0.1/16",0.2,0.1,1.5,0.1,1,6,16
"37","data/0.2-0.1-1.5-0.15/27",0.2,0.1,1.5,0.15,1,6,27
"38","data/0.2-0.1-1.5-0.15/28",0.2,0.1,1.5,0.15,1,6,28
"39","data/0.2-0.1-1.5-0.2/39",0.2,0.1,1.5,0.2,1,6,39
"40","data/0.2-0.1-1.5-0.2/40",0.2,0.1,1.5,0.2,1,6,40
