"","folder","n_taxa"
"1","data/0.2-0-0-0/1",9
"2","data/0.2-0-0-0/2",3
"3","data/0.2-0-0.5-0.1/5",4
"4","data/0.2-0-0.5-0.1/6",27
"5","data/0.2-0-0.5-0.15/17",10
"6","data/0.2-0-0.5-0.15/18",5
"7","data/0.2-0-0.5-0.2/29",5
"8","data/0.2-0-0.5-0.2/30",2
"9","data/0.2-0-1-0.1/10",9
"10","data/0.2-0-1-0.1/9",9
"11","data/0.2-0-1-0.15/21",15
"12","data/0.2-0-1-0.15/22",27
"13","data/0.2-0-1-0.2/33",17
"14","data/0.2-0-1-0.2/34",12
"15","data/0.2-0-1.5-0.1/13",19
"16","data/0.2-0-1.5-0.1/14",27
"17","data/0.2-0-1.5-0.15/25",4
"18","data/0.2-0-1.5-0.15/26",16
"19","data/0.2-0-1.5-0.2/37",12
"20","data/0.2-0-1.5-0.2/38",20
"21","data/0.2-0.1-0-0/3",9
"22","data/0.2-0.1-0-0/4",8
"23","data/0.2-0.1-0.5-0.1/7",9
"24","data/0.2-0.1-0.5-0.1/8",3
"25","data/0.2-0.1-0.5-0.15/19",9
"26","data/0.2-0.1-0.5-0.15/20",15
"27","data/0.2-0.1-0.5-0.2/31",3
"28","data/0.2-0.1-0.5-0.2/32",18
"29","data/0.2-0.1-1-0.1/11",11
"30","data/0.2-0.1-1-0.1/12",12
"31","data/0.2-0.1-1-0.15/23",6
"32","data/0.2-0.1-1-0.15/24",18
"33","data/0.2-0.1-1-0.2/35",6
"34","data/0.2-0.1-1-0.2/36",22
"35","data/0.2-0.1-1.5-0.1/15",36
"36","data/0.2-0.1-1.5-0.1/16",12
"37","data/0.2-0.1-1.5-0.15/27",49
"38","data/0.2-0.1-1.5-0.15/28",11
"39","data/0.2-0.1-1.5-0.2/39",10
"40","data/0.2-0.1-1.5-0.2/40",50
