"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",3
"2","data/0.2-0-0-0.1/2",4
"3","data/0.2-0-0-0.15/17",3
"4","data/0.2-0-0-0.15/18",3
"5","data/0.2-0-0-0.2/33",5
"6","data/0.2-0-0-0.2/34",4
"7","data/0.2-0-0.5-0.1/5",3
"8","data/0.2-0-0.5-0.1/6",21
"9","data/0.2-0-0.5-0.15/21",4
"10","data/0.2-0-0.5-0.15/22",14
"11","data/0.2-0-0.5-0.2/37",17
"12","data/0.2-0-0.5-0.2/38",6
"13","data/0.2-0-1-0.1/10",5
"14","data/0.2-0-1-0.1/9",5
"15","data/0.2-0-1-0.15/25",4
"16","data/0.2-0-1-0.15/26",9
"17","data/0.2-0-1-0.2/41",18
"18","data/0.2-0-1-0.2/42",21
"19","data/0.2-0-2-0.1/13",25
"20","data/0.2-0-2-0.1/14",42
"21","data/0.2-0-2-0.15/29",21
"22","data/0.2-0-2-0.15/30",4
"23","data/0.2-0-2-0.2/45",9
"24","data/0.2-0-2-0.2/46",18
"25","data/0.2-0.15-0-0.1/3",9
"26","data/0.2-0.15-0-0.1/4",4
"27","data/0.2-0.15-0-0.15/19",2
"28","data/0.2-0.15-0-0.15/20",4
"29","data/0.2-0.15-0-0.2/35",4
"30","data/0.2-0.15-0-0.2/36",5
"31","data/0.2-0.15-0.5-0.1/7",11
"32","data/0.2-0.15-0.5-0.1/8",3
"33","data/0.2-0.15-0.5-0.15/23",4
"34","data/0.2-0.15-0.5-0.15/24",8
"35","data/0.2-0.15-0.5-0.2/39",5
"36","data/0.2-0.15-0.5-0.2/40",7
"37","data/0.2-0.15-1-0.1/11",6
"38","data/0.2-0.15-1-0.1/12",5
"39","data/0.2-0.15-1-0.15/27",4
"40","data/0.2-0.15-1-0.15/28",5
"41","data/0.2-0.15-1-0.2/43",7
"42","data/0.2-0.15-1-0.2/44",2
"43","data/0.2-0.15-2-0.1/15",13
"44","data/0.2-0.15-2-0.1/16",3
"45","data/0.2-0.15-2-0.15/31",10
"46","data/0.2-0.15-2-0.15/32",16
"47","data/0.2-0.15-2-0.2/47",48
"48","data/0.2-0.15-2-0.2/48",31
