"","folder","n_taxa"
"1","data/0.2-0-1-0.1/1",9
"2","data/0.2-0-1-0.1/2",7
"3","data/0.2-0-1-0.15/17",4
"4","data/0.2-0-1-0.15/18",6
"5","data/0.2-0-1-0.2/33",17
"6","data/0.2-0-1-0.2/34",12
"7","data/0.2-0-1.5-0.1/5",20
"8","data/0.2-0-1.5-0.1/6",33
"9","data/0.2-0-1.5-0.15/21",26
"10","data/0.2-0-1.5-0.15/22",56
"11","data/0.2-0-1.5-0.2/37",12
"12","data/0.2-0-1.5-0.2/38",20
"13","data/0.2-0-2-0.1/10",14
"14","data/0.2-0-2-0.1/9",21
"15","data/0.2-0-2-0.15/25",5
"16","data/0.2-0-2-0.15/26",59
"17","data/0.2-0-2-0.2/41",79
"18","data/0.2-0-2-0.2/42",172
"19","data/0.2-0-2.5-0.1/13",12
"20","data/0.2-0-2.5-0.1/14",115
"21","data/0.2-0-2.5-0.15/29",28
"22","data/0.2-0-2.5-0.15/30",11
"23","data/0.2-0-2.5-0.2/45",43
"24","data/0.2-0-2.5-0.2/46",47
"25","data/0.2-0.15-1-0.1/3",14
"26","data/0.2-0.15-1-0.1/4",9
"27","data/0.2-0.15-1-0.15/19",11
"28","data/0.2-0.15-1-0.15/20",8
"29","data/0.2-0.15-1-0.2/35",23
"30","data/0.2-0.15-1-0.2/36",24
"31","data/0.2-0.15-1.5-0.1/7",17
"32","data/0.2-0.15-1.5-0.1/8",10
"33","data/0.2-0.15-1.5-0.15/23",3
"34","data/0.2-0.15-1.5-0.15/24",18
"35","data/0.2-0.15-1.5-0.2/39",20
"36","data/0.2-0.15-1.5-0.2/40",34
"37","data/0.2-0.15-2-0.1/11",6
"38","data/0.2-0.15-2-0.1/12",3
"39","data/0.2-0.15-2-0.15/27",30
"40","data/0.2-0.15-2-0.15/28",17
"41","data/0.2-0.15-2-0.2/43",18
"42","data/0.2-0.15-2-0.2/44",6
"43","data/0.2-0.15-2.5-0.1/15",4
"44","data/0.2-0.15-2.5-0.1/16",6
"45","data/0.2-0.15-2.5-0.15/31",17
"46","data/0.2-0.15-2.5-0.15/32",26
"47","data/0.2-0.15-2.5-0.2/47",72
"48","data/0.2-0.15-2.5-0.2/48",63
