"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0.15-1-0.1/1",0.2,0.15,1,0.1,1,8,1
"2","data/0.2-0.15-1-0.1/2",0.2,0.15,1,0.1,1,8,2
