"","lambda","mu","nu","q","seed","crown_age","cond","Sample","posterior","ess_likelihood","prior","treeLikelihood.mbd_twin","TreeHeight","YuleModel","birthRate","logP.mrca.auto_name_1..","mrca.age.auto_name_1.","clockRate","gen_model","site_model","clock_model","tree_prior","treeLikelihood.mbd","rateAC","rateAG","rateAT","rateCG","rateGT","freqParameter.1","freqParameter.2","freqParameter.3","freqParameter.4","BirthDeath","BDBirthRate","BDDeathRate","best_or_gen"
"1",0.2,0.15,1,0.1,1,15,1,"0","-8.625475552291847E9","-1799.532030120938","-8.625473752759817E9","-1799.532030120938","1.8657137601699028","-9.561706412509059","1.0","-8.62547374319811E9","1.8657137601699028","1.0","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"2",0.2,0.15,1,0.1,1,15,1,"1000","-67773.6556940672","-1093.48048765568","-66680.17520641153","-1093.48048765568","15.036510742531075","-36.7505997290538","1.4192362276879658","-66643.42460668247","15.036510742531075","2.003481683688987","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"3",0.2,0.15,1,0.1,1,15,1,"2000","-66146.81886568636","-923.7923395713539","-65223.026526115005","-923.7923395713539","15.036109317987894","-37.17565041325743","1.8082691544823324","-65185.85087570175","15.036109317987894","1.352918306513432","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"4",0.2,0.15,1,0.1,1,15,1,"3000","-66074.05491372319","-849.7638079078499","-65224.29110581533","-849.7638079078499","15.036109317987894","-38.44023011358306","1.6673167803029973","-65185.85087570175","15.036109317987894","0.9243231370162807","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"5",0.2,0.15,1,0.1,1,15,1,"0","-8.625475569643164E9","-1816.8833457230155","-8.625473752759817E9",NA,"1.8657137601699028","-9.561706412509059","1.0","-8.62547374319811E9","1.8657137601699028","1.0","mbd","JC69","strict","yule","-1816.8833457230155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"6",0.2,0.15,1,0.1,1,15,1,"1000","-275072.89151554694","-1061.2739158006584","-274011.61759974627",NA,"15.0740249953306","-34.912316818907584","1.627254563395005","-273976.7052829274","15.0740249953306","1.7212446735428537","mbd","JC69","strict","yule","-1061.2739158006584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"7",0.2,0.15,1,0.1,1,15,1,"2000","-274960.35311911034","-940.7628845427386","-274019.5902345676",NA,"15.0740249953306","-42.884951640193705","1.8205002303102698","-273976.7052829274","15.0740249953306","1.2877692062620276","mbd","JC69","strict","yule","-940.7628845427386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"8",0.2,0.15,1,0.1,1,15,1,"3000","-87758.87103936463","-860.3417034601448","-86898.52933590449",NA,"15.04168076968612","-42.492656371943845","1.500627819132506","-86856.03667953254","15.04168076968612","0.8176344395410845","mbd","JC69","strict","yule","-860.3417034601448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"9",0.2,0.15,1,0.1,2,15,1,"0","-9.811937776541752E9","-119.10902383644235","-9.811937657432728E9","-119.10902383644235","0.9914756935920946","-3.5630733961732126","1.0","-9.811937653869654E9","0.9914756935920946","1.0","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
"10",0.2,0.15,1,0.1,2,15,1,"1000","-307946.04229161143","-73.07308855818877","-307872.9692030532","-73.07308855818877","15.07846869379827","-14.465284563220525","0.1828631121737407","-307858.50391849","15.07846869379827","0.139012248872806","bd","JC69","strict","yule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"best"
