"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight"
"43","data/0.2-0-1.5-0.1/6","JC69","strict","birth_death","twin",-21901.8038882824,12.779217877425,0.204982903687246
"44","data/0.2-0-1.5-0.1/6","JC69","strict","yule","twin",-21900.4484512439,13.1672363218545,0.79501709494424
"45","data/0.2-0-1.5-0.1/6","GTR","strict","birth_death","twin",-21920.6286005568,13.7799621654773,1.36851315557203e-09
"46","data/0.2-0-1.5-0.1/6","JC69","strict","birth_death","true",-23426.4464837608,11.8489506782167,1
"47","data/0.2-0-1.5-0.1/6","JC69","strict","yule","true",-45747.9649616599,0.372633385319986,0
"48","data/0.2-0-1.5-0.1/6","GTR","strict","birth_death","true",-45752.1867207021,0.726045971217753,0
"49","data/0.2-0-1.5-0.15/21","JC69","strict","birth_death","twin",-18097.7523375921,9.16538208252937,0.999999603720594
"50","data/0.2-0-1.5-0.15/21","JC69","strict","yule","twin",-18112.4934834988,11.4523688349343,3.96279406300781e-07
"51","data/0.2-0-1.5-0.15/21","GTR","strict","birth_death","twin",-18140.5521097129,12.194882860674,2.5840146355036e-19
"52","data/0.2-0-1.5-0.15/21","JC69","strict","birth_death","true",-16576.0523189143,10.51238026153,0.958432515380581
"53","data/0.2-0-1.5-0.15/21","JC69","strict","yule","true",-16579.1902998259,11.7356664342112,0.0415674846194185
"54","data/0.2-0-1.5-0.15/21","GTR","strict","birth_death","true",-16610.8846651811,12.9493174986466,7.14604527768181e-16
"55","data/0.2-0-1.5-0.15/22","JC69","strict","birth_death","twin",-32777.4226835011,16.9810100344436,0.999999339623701
"56","data/0.2-0-1.5-0.15/22","JC69","strict","yule","twin",-32791.6531388555,17.2048841409149,6.60376298716346e-07
"57","data/0.2-0-1.5-0.15/22","GTR","strict","birth_death","twin",-32832.6510024546,17.9724087082571,1.03429767134928e-24
"58","data/0.2-0-1.5-0.15/22","JC69","strict","birth_death","true",-35465.3124973478,15.3296576994991,0.60077067682661
"59","data/0.2-0-1.5-0.15/22","JC69","strict","yule","true",-35465.7211746436,16.2604307089012,0.39922932317339
"60","data/0.2-0-1.5-0.15/22","GTR","strict","birth_death","true",-35512.4223914508,19.4724844750202,2.08517099372108e-21
"61","data/0.2-0-1.5-0.2/37","JC69","strict","birth_death","twin",-11587.0203230202,6.92927030310817,0.999926956806038
"62","data/0.2-0-1.5-0.2/37","JC69","strict","yule","twin",-11596.5447112004,7.30782861107164,7.30430747290395e-05
"63","data/0.2-0-1.5-0.2/37","GTR","strict","birth_death","twin",-11609.8701942331,8.48284503947852,1.19232677494632e-10
"64","data/0.2-0-1.5-0.2/37","JC69","strict","birth_death","true",-11218.7470707063,7.75341200043759,4.01247905216842e-11
"65","data/0.2-0-1.5-0.2/37","JC69","strict","yule","true",-11194.8080439512,5.84852429289592,0.999999999959875
"66","data/0.2-0-1.5-0.2/37","GTR","strict","birth_death","true",-11241.7776332397,9.04014912783033,3.99361830879153e-21
"67","data/0.2-0-1.5-0.2/38","JC69","strict","birth_death","twin",-9980.14942260049,9.63173177429896,0.999745672960998
"68","data/0.2-0-1.5-0.2/38","JC69","strict","yule","twin",-9988.42605780511,8.43056402500511,0.000254327039001666
"69","data/0.2-0-1.5-0.2/38","GTR","strict","birth_death","twin",-10036.1980525092,11.5192971082024,4.55280286117893e-25
"70","data/0.2-0-1.5-0.2/38","JC69","strict","birth_death","true",-10139.5687282118,9.40136121704402,0.999999573960952
"71","data/0.2-0-1.5-0.2/38","JC69","strict","yule","true",-10154.2374626473,9.18615283447753,4.26039035813709e-07
"72","data/0.2-0-1.5-0.2/38","GTR","strict","birth_death","true",-10171.6377189486,9.67342857260979,1.18199080420622e-14
"73","data/0.2-0-2-0.1/10","JC69","strict","birth_death","twin",-11434.6382487455,6.9317152287948,0.918855147579782
"74","data/0.2-0-2-0.1/10","JC69","strict","yule","twin",-11437.0651413768,7.36678290037716,0.0811448524193558
"75","data/0.2-0-2-0.1/10","GTR","strict","birth_death","twin",-11462.3326014193,9.01896998735788,8.62467038988056e-13
"76","data/0.2-0-2-0.1/10","JC69","strict","birth_death","true",-11191.3069383404,6.96923465561081,0.999999646804796
"77","data/0.2-0-2-0.1/10","JC69","strict","yule","true",-11207.2632793642,7.7788715423566,1.17557133731884e-07
"78","data/0.2-0-2-0.1/10","GTR","strict","birth_death","true",-11206.5679067966,6.7658536143847,2.35638070315964e-07
"79","data/0.2-0-2-0.1/9","JC69","strict","birth_death","twin",-15170.3762917407,9.97409570711085,0.999999999999804
"80","data/0.2-0-2-0.1/9","JC69","strict","yule","twin",-29112.551989567,0.413189460383536,0
"81","data/0.2-0-2-0.1/9","GTR","strict","birth_death","twin",-15199.6363759346,11.4654303000083,1.9611323087955e-13
"82","data/0.2-0-2-0.1/9","JC69","strict","birth_death","true",-13662.7110074483,9.75060074299297,0.999999999998731
"83","data/0.2-0-2-0.1/9","JC69","strict","yule","true",-29112.5652337507,0.432964445253696,0
"84","data/0.2-0-2-0.1/9","GTR","strict","birth_death","true",-13690.1040497821,10.9577210342879,1.26868227388953e-12
"85","data/0.2-0-2-0.15/25","JC69","strict","birth_death","twin",-5271.98999040879,3.33793923761445,0.0743762145985346
"86","data/0.2-0-2-0.15/25","JC69","strict","yule","twin",-5269.46865873043,3.55141889548079,0.925623785401466
"87","data/0.2-0-2-0.15/25","GTR","strict","birth_death","twin",-5313.85507681028,7.38251530341736,4.89393348538272e-20
"88","data/0.2-0-2-0.15/25","JC69","strict","birth_death","true",-5416.9836541359,3.07693790274195,0.211056349182602
"89","data/0.2-0-2-0.15/25","JC69","strict","yule","true",-5415.66508440127,3.18011680418064,0.788943643228741
"90","data/0.2-0-2-0.15/25","GTR","strict","birth_death","true",-5434.12463517282,5.52243351993362,7.5886573354664e-09
"91","data/0.2-0-2-0.15/26","JC69","strict","birth_death","twin",-33127.1109825434,18.2602498076721,0.999999983244501
"92","data/0.2-0-2-0.15/26","JC69","strict","yule","twin",-33145.0281867254,21.1027319195712,1.6544630997503e-08
"93","data/0.2-0-2-0.15/26","GTR","strict","birth_death","twin",-33149.3907719919,18.9949551662995,2.10867853516426e-10
"94","data/0.2-0-2-0.15/26","JC69","strict","birth_death","true",-36853.4867113923,17.7452597667208,0.999999999795011
"95","data/0.2-0-2-0.15/26","JC69","strict","yule","true",-36875.7947747155,19.7268424585912,2.04989302033119e-10
"96","data/0.2-0-2-0.15/26","GTR","strict","birth_death","true",-36924.0548887851,21.5057944274547,2.25231931022356e-31
"97","data/0.2-0-2-0.2/41","JC69","strict","birth_death","twin",-41515.0094245494,20.653387744727,0.999773937432146
"98","data/0.2-0-2-0.2/41","JC69","strict","yule","twin",-41523.4038972094,21.2417750174229,0.000226062567850544
"99","data/0.2-0-2-0.2/41","GTR","strict","birth_death","twin",-41548.4487692271,21.6443567993306,3.00178054956182e-15
"100","data/0.2-0-2-0.2/41","JC69","strict","birth_death","true",-46520.8622891971,20.6921893614263,2.12097945536405e-20
"101","data/0.2-0-2-0.2/41","JC69","strict","yule","true",-46475.5624653264,23.2252825851286,1
"102","data/0.2-0-2-0.2/41","GTR","strict","birth_death","true",-46520.220289575,25.1000369346706,4.03044830346063e-20
"103","data/0.2-0-2-0.2/42","JC69","strict","birth_death","twin",-88899.3332384201,32.9862780473012,4.92559782596353e-19
"104","data/0.2-0-2-0.2/42","JC69","strict","yule","twin",-88857.1785673064,30.8720179459014,1
"105","data/0.2-0-2-0.2/42","GTR","strict","birth_death","twin",-88968.0462600594,31.6573637674565,7.09206677499118e-49
"106","data/0.2-0-2-0.2/42","JC69","strict","birth_death","true",-111645.746965722,30.0591665258267,0.99998428685857
"107","data/0.2-0-2-0.2/42","JC69","strict","yule","true",-111656.807963171,32.7874727780747,1.5713141429819e-05
"108","data/0.2-0-2-0.2/42","GTR","strict","birth_death","true",-111709.840138017,32.2226745132825,1.46110733325656e-28
"109","data/0.2-0-2.5-0.1/13","JC69","strict","birth_death","twin",-11537.1783797752,7.70740564453947,0.994563096618065
"110","data/0.2-0-2.5-0.1/13","JC69","strict","yule","twin",-11542.3874737,6.55401447216716,0.00543690310737411
"111","data/0.2-0-2.5-0.1/13","GTR","strict","birth_death","twin",-11559.1887749778,7.88831306219925,2.74561197058859e-10
"112","data/0.2-0-2.5-0.1/13","JC69","strict","birth_death","true",-10781.6835767464,6.8838898357185,0.999999999722796
"113","data/0.2-0-2.5-0.1/13","JC69","strict","yule","true",-10803.689843678,8.31072709137237,2.77204134954151e-10
"114","data/0.2-0-2.5-0.1/13","GTR","strict","birth_death","true",-10817.7466363941,8.78751144734713,2.17777092014381e-16
"115","data/0.2-0-2.5-0.1/14","JC69","strict","birth_death","twin",-57456.4883890463,26.7254298080459,0.999989359590167
"116","data/0.2-0-2.5-0.1/14","JC69","strict","yule","twin",-57467.9392299625,26.6217647639457,1.0640409832621e-05
"117","data/0.2-0-2.5-0.1/14","GTR","strict","birth_death","twin",-57580.1065695722,27.5305041723945,2.05731936291822e-54
"118","data/0.2-0-2.5-0.1/14","JC69","strict","birth_death","true",-63108.1899578328,28.966712111725,1.74350565037806e-25
"119","data/0.2-0-2.5-0.1/14","JC69","strict","yule","true",-63051.1812283359,26.7879564082085,1
"120","data/0.2-0-2.5-0.1/14","GTR","strict","birth_death","true",-63092.3933625234,27.624496376302,1.26414687357047e-18
"121","data/0.2-0-2.5-0.15/29","JC69","strict","birth_death","twin",-19763.0926327023,10.0479001081214,0.999999963829957
"122","data/0.2-0-2.5-0.15/29","JC69","strict","yule","twin",-38816.5735805306,0.345866606195372,0
"123","data/0.2-0-2.5-0.15/29","GTR","strict","birth_death","twin",-19780.2276672799,11.9692836703948,3.61700425812114e-08
"124","data/0.2-0-2.5-0.15/29","JC69","strict","birth_death","true",-19412.4727623156,11.4731399309485,0.999999999986513
"125","data/0.2-0-2.5-0.15/29","JC69","strict","yule","true",-38816.5460871257,0.424660264574434,0
"126","data/0.2-0-2.5-0.15/29","GTR","strict","birth_death","true",-19437.5020766899,11.5298779539404,1.34867367777239e-11
"127","data/0.2-0-2.5-0.15/30","JC69","strict","birth_death","twin",-9171.98894867962,7.39702157405446,0.0467566051285345
"128","data/0.2-0-2.5-0.15/30","JC69","strict","yule","twin",-9168.97403396437,6.34001278411869,0.953243373447147
"129","data/0.2-0-2.5-0.15/30","GTR","strict","birth_death","twin",-9186.58488809811,7.79230326358021,2.14243188441001e-08
"130","data/0.2-0-2.5-0.15/30","JC69","strict","birth_death","true",-7625.09403363091,5.46030726956592,0.840829124247357
"131","data/0.2-0-2.5-0.15/30","JC69","strict","yule","true",-7626.75844377339,6.0601004097622,0.159170875719776
"132","data/0.2-0-2.5-0.15/30","GTR","strict","birth_death","true",-7649.05923549682,9.0458696264687,3.28664515809399e-11
"133","data/0.2-0-2.5-0.2/45","JC69","strict","birth_death","twin",-21688.1517873942,13.8655122911863,0.00508420882245398
"134","data/0.2-0-2.5-0.2/45","JC69","strict","yule","twin",-21682.8752687195,13.7270195880914,0.994915791168658
"135","data/0.2-0-2.5-0.2/45","GTR","strict","birth_death","twin",-21708.3165446662,15.1640214379664,8.88751952301207e-12
"136","data/0.2-0-2.5-0.2/45","JC69","strict","birth_death","true",-21193.6901923337,15.2113391370529,0.999991458951619
"137","data/0.2-0-2.5-0.2/45","JC69","strict","yule","true",-21205.3608105891,16.0855031731185,8.54104838081871e-06
"138","data/0.2-0-2.5-0.2/45","GTR","strict","birth_death","true",-21243.9988335127,18.1483897193012,1.41654714972158e-22
"139","data/0.2-0-2.5-0.2/46","JC69","strict","birth_death","twin",-28923.2209206961,14.8755598496089,0.999999961910611
"140","data/0.2-0-2.5-0.2/46","JC69","strict","yule","twin",-28940.3042507686,15.3166327094055,3.80893885039743e-08
"141","data/0.2-0-2.5-0.2/46","GTR","strict","birth_death","twin",-28982.0799743114,19.7291970631042,2.74055036822284e-26
"142","data/0.2-0-2.5-0.2/46","JC69","strict","birth_death","true",-29560.3919713476,14.9634998976132,3.31360759979428e-14
"143","data/0.2-0-2.5-0.2/46","JC69","strict","yule","true",-29529.3538175509,14.1064318102155,0.999999999999967
