"","folder","n_mb_species","f_mb_species"
"1","data/0.2-0-1-0.1/1",0,0
"2","data/0.2-0-1-0.1/2",0,0
"3","data/0.2-0-1-0.15/17",0,0
"4","data/0.2-0-1-0.15/18",0,0
"5","data/0.2-0-1-0.2/33",0,0
"6","data/0.2-0-1-0.2/34",0,0
"7","data/0.2-0-1.5-0.1/5",2,0.2
"8","data/0.2-0-1.5-0.1/6",1,0.0454545454545455
"9","data/0.2-0-1.5-0.15/21",2,0.111111111111111
"10","data/0.2-0-1.5-0.15/22",13,0.393939393939394
"11","data/0.2-0-1.5-0.2/37",2,0.181818181818182
"12","data/0.2-0-1.5-0.2/38",0,0
"13","data/0.2-0-2-0.1/10",1,0.0909090909090909
"14","data/0.2-0-2-0.1/9",2,0.142857142857143
"15","data/0.2-0-2-0.15/25",0,0
"16","data/0.2-0-2-0.15/26",19,0.41304347826087
"17","data/0.2-0-2-0.2/41",18,0.391304347826087
"18","data/0.2-0-2-0.2/42",98,0.695035460992908
"19","data/0.2-0-2.5-0.1/13",1,0.1
"20","data/0.2-0-2.5-0.1/14",31,0.492063492063492
"21","data/0.2-0-2.5-0.15/29",3,0.166666666666667
"22","data/0.2-0-2.5-0.15/30",0,0
"23","data/0.2-0-2.5-0.2/45",1,0.0714285714285714
"24","data/0.2-0-2.5-0.2/46",12,0.4
"25","data/0.2-0.15-1-0.1/3",0,0
"26","data/0.2-0.15-1-0.1/4",0,0
"27","data/0.2-0.15-1-0.15/19",0,0
"28","data/0.2-0.15-1-0.15/20",1,0.166666666666667
"29","data/0.2-0.15-1-0.2/35",0,0
"30","data/0.2-0.15-1-0.2/36",1,0.0666666666666667
"31","data/0.2-0.15-1.5-0.1/7",0,0
"32","data/0.2-0.15-1.5-0.1/8",0,0
"33","data/0.2-0.15-1.5-0.15/23",0,0
"34","data/0.2-0.15-1.5-0.15/24",2,0.133333333333333
"35","data/0.2-0.15-1.5-0.2/39",0,0
"36","data/0.2-0.15-1.5-0.2/40",1,0.111111111111111
"37","data/0.2-0.15-2-0.1/11",0,0
"38","data/0.2-0.15-2-0.1/12",0,0
"39","data/0.2-0.15-2-0.15/27",8,0.347826086956522
"40","data/0.2-0.15-2-0.15/28",6,0.3
"41","data/0.2-0.15-2-0.2/43",3,0.214285714285714
"42","data/0.2-0.15-2-0.2/44",0,0
"43","data/0.2-0.15-2.5-0.1/15",0,0
"44","data/0.2-0.15-2.5-0.1/16",0,0
"45","data/0.2-0.15-2.5-0.15/31",18,0.391304347826087
"46","data/0.2-0.15-2.5-0.15/32",3,0.15
"47","data/0.2-0.15-2.5-0.2/47",10,0.384615384615385
"48","data/0.2-0.15-2.5-0.2/48",11,0.354838709677419
