"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-1-0.1/1",720,"true","gen"
"2","data/0.2-0-1-0.1/1",901,"true","best"
"3","data/0.2-0-1-0.1/1",901,"twin","gen"
"4","data/0.2-0-1-0.1/1",901,"twin","best"
"5","data/0.2-0-1-0.1/2",901,"true","gen"
"6","data/0.2-0-1-0.1/2",901,"true","best"
"7","data/0.2-0-1-0.1/2",641,"twin","gen"
"8","data/0.2-0-1-0.1/2",772,"twin","best"
"9","data/0.2-0-1-0.15/17",901,"true","gen"
"10","data/0.2-0-1-0.15/17",901,"true","best"
"11","data/0.2-0-1-0.15/17",675,"twin","gen"
"12","data/0.2-0-1-0.15/17",121,"twin","best"
"13","data/0.2-0-1-0.15/18",877,"true","gen"
"14","data/0.2-0-1-0.15/18",770,"true","best"
"15","data/0.2-0-1-0.15/18",901,"twin","gen"
"16","data/0.2-0-1-0.15/18",190,"twin","best"
"17","data/0.2-0-1-0.2/33",901,"true","gen"
"18","data/0.2-0-1-0.2/33",741,"true","best"
"19","data/0.2-0-1-0.2/33",594,"twin","gen"
"20","data/0.2-0-1-0.2/33",152,"twin","best"
"21","data/0.2-0-1-0.2/34",791,"true","gen"
"22","data/0.2-0-1-0.2/34",175,"true","best"
"23","data/0.2-0-1-0.2/34",776,"twin","gen"
"24","data/0.2-0-1-0.2/34",156,"twin","best"
"25","data/0.2-0-1.5-0.1/5",901,"true","gen"
"26","data/0.2-0-1.5-0.1/5",878,"true","best"
"27","data/0.2-0-1.5-0.1/5",876,"twin","gen"
"28","data/0.2-0-1.5-0.1/5",786,"twin","best"
"29","data/0.2-0-1.5-0.1/6",901,"true","gen"
"30","data/0.2-0-1.5-0.1/6",3,"true","best"
"31","data/0.2-0-1.5-0.1/6",773,"twin","gen"
"32","data/0.2-0-1.5-0.1/6",681,"twin","best"
"33","data/0.2-0-1.5-0.15/21",834,"true","gen"
"34","data/0.2-0-1.5-0.15/21",745,"true","best"
"35","data/0.2-0-1.5-0.15/21",792,"twin","gen"
